Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ITS001_S1_L001_R1_001	99.08944946713936	47.0	250.0	36.36363636363637	92801.0
ITS001_S1_L001_R2_001	96.34055667503583	46.0	250.0	45.45454545454545	92801.0
ITS002_S2_L001_R1_001	99.12392912340454	47.0	250.0	27.27272727272727	247811.0
ITS002_S2_L001_R2_001	97.4686353713112	46.0	250.0	45.45454545454545	247811.0
ITS003_S3_L001_R1_001	99.17761146766411	47.0	250.0	36.36363636363637	318949.0
ITS003_S3_L001_R2_001	97.24814939065493	46.0	250.0	45.45454545454545	318949.0
ITS004_S4_L001_R1_001	98.86736180015203	47.0	250.0	27.27272727272727	172341.0
ITS004_S4_L001_R2_001	97.23687340795284	46.0	250.0	45.45454545454545	172341.0
ITS005_S5_L001_R1_001	99.0845228909465	47.0	250.0	36.36363636363637	124416.0
ITS005_S5_L001_R2_001	95.83895961934157	46.0	250.0	45.45454545454545	124416.0
ITS006_S6_L001_R1_001	98.95528963291287	47.0	250.0	36.36363636363637	222454.0
ITS006_S6_L001_R2_001	97.7339135281901	46.0	250.0	45.45454545454545	222454.0
ITS007_S7_L001_R1_001	99.00723372412072	47.0	250.0	36.36363636363637	100225.0
ITS007_S7_L001_R2_001	96.23547019206785	46.0	250.0	45.45454545454545	100225.0
ITS008_S8_L001_R1_001	98.70747006272572	47.0	250.0	36.36363636363637	231484.0
ITS008_S8_L001_R2_001	96.82613053169982	46.0	250.0	45.45454545454545	231484.0
ITS009_S9_L001_R1_001	99.3031638804865	47.0	250.0	27.27272727272727	286294.0
ITS009_S9_L001_R2_001	96.93846186088426	46.0	250.0	45.45454545454545	286294.0
ITS010_S10_L001_R1_001	98.95435509784814	47.0	250.0	36.36363636363637	189835.0
ITS010_S10_L001_R2_001	97.21863723760107	46.0	250.0	45.45454545454545	189835.0
ITS011_S11_L001_R1_001	99.17885153407352	47.0	250.0	36.36363636363637	192657.0
ITS011_S11_L001_R2_001	97.01645930332144	46.0	250.0	45.45454545454545	192657.0
ITS012_S12_L001_R1_001	98.48289170934461	47.0	250.0	27.27272727272727	67365.0
ITS012_S12_L001_R2_001	96.94054776219104	46.0	250.0	45.45454545454545	67365.0
ITS013_S13_L001_R1_001	99.29835368533341	47.0	250.0	27.27272727272727	266231.0
ITS013_S13_L001_R2_001	96.45683635639726	46.0	250.0	45.45454545454545	266231.0
ITS014_S14_L001_R1_001	98.95689887142473	47.0	250.0	27.27272727272727	189531.0
ITS014_S14_L001_R2_001	97.65420960159551	46.0	250.0	45.45454545454545	189531.0
ITS015_S15_L001_R1_001	98.89183532867969	47.0	250.0	36.36363636363637	153858.0
ITS015_S15_L001_R2_001	96.39407765602049	46.0	250.0	45.45454545454545	153858.0
ITS016_S16_L001_R1_001	97.58399240093337	47.0	250.0	36.36363636363637	48427.0
ITS016_S16_L001_R2_001	95.70074545191731	46.0	250.0	45.45454545454545	48427.0
ITS017_S17_L001_R1_001	99.21622281944784	47.0	250.0	36.36363636363637	204650.0
ITS017_S17_L001_R2_001	96.70364036159296	46.0	250.0	45.45454545454545	204650.0
ITS018_S18_L001_R1_001	99.11834553247931	47.0	250.0	36.36363636363637	205069.0
ITS018_S18_L001_R2_001	97.30773544514285	46.0	250.0	45.45454545454545	205069.0
ITS019_S19_L001_R1_001	98.91411564262748	47.0	250.0	36.36363636363637	234187.0
ITS019_S19_L001_R2_001	97.01947588892637	46.0	250.0	45.45454545454545	234187.0
ITS020_S20_L001_R1_001	93.57071213640923	47.0	250.0	36.36363636363637	9970.0
ITS020_S20_L001_R2_001	90.37111334002006	46.0	250.0	45.45454545454545	9970.0
ITS021_S21_L001_R1_001	99.27920744895341	47.0	250.0	27.27272727272727	218232.0
ITS021_S21_L001_R2_001	96.27231570072217	46.0	250.0	45.45454545454545	218232.0
ITS022_S22_L001_R1_001	98.65890795578892	47.0	250.0	36.36363636363637	117889.0
ITS022_S22_L001_R2_001	97.17870199933836	46.0	250.0	45.45454545454545	117889.0
ITS023_S23_L001_R1_001	99.17481028306399	47.0	250.0	36.36363636363637	221646.0
ITS023_S23_L001_R2_001	96.50478691246401	46.0	250.0	45.45454545454545	221646.0
ITS024_S24_L001_R1_001	98.77034157178562	47.0	250.0	36.36363636363637	90025.0
ITS024_S24_L001_R2_001	95.68675367953347	46.0	250.0	45.45454545454545	90025.0
