sample_uid	sample_name	frag	time	site	depth	genet
109445	ITS001	N11	T12	LP15	shallow	 C1683 
109446	ITS002	N11	T12	LP40	deep	 C1683 
109447	ITS003	N12	T12	LP15	shallow	 C1741 
109448	ITS004	N12	T12	LP40	deep	 C1741 
109449	ITS005	N35	T12	LP15	shallow	 C1725 
109450	ITS006	N35	T12	LP40	deep	 C1725 
109451	ITS007	N36	T12	LP15	shallow	 C1713 
109452	ITS008	N36	T12	LP40	deep	 C1713 
109453	ITS009	N43	T12	LP15	shallow	 C1727 
109454	ITS010	N43	T12	LP40	deep	 C1727 
109455	ITS011	N45	T12	LP15	shallow	 C1733 
109456	ITS012	N45	T12	LP40	deep	 C1733 
109457	ITS013	N66	T12	LP15	shallow	 C1691 
109458	ITS014	N66	T12	LP40	deep	 C1691 
109459	ITS015	N68	T12	LP15	shallow	 C1732 
109460	ITS016	N68	T12	LP40	deep	 C1732 
109461	ITS017	N85	T12	LP15	shallow	 C1708 
109462	ITS018	N85	T12	LP40	deep	 C1708 
109463	ITS019	N86	T12	LP40	deep	 C1691 
109464	ITS020	N86	T12	LP15	shallow	 C1691 
109465	ITS021	N90	T12	LP15	shallow	 C1722 
109466	ITS022	N90	T12	LP40	deep	 C1722 
109467	ITS023	V41	T12	LP15	shallow	 C1701 
109468	ITS024	V41	T12	LP40	deep	 C1701 
109470	ITS_025	V57	T12	LP15	shallow	 C1703 
109469	ITS_016	V57	T12	LP40	deep	 C1703 
