sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
ITS001,109445,-0.10252096454037847,-0.02177664667926107,0.04667728357154593,-0.01318498245512424,0.015233162766572392,0.0046704815673431705,-0.008137813801165038,0.00346382327250875,0.0069323330679750906,0.0063176369993023064,0.010428248984525657,0.006694417154447029,0.005716646179376014,0.011545882211915697,-0.007329717710504849,0.0030766806188213098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS002,109446,-0.10390011465091044,-0.023945335005230692,0.04384567748395716,-0.014613110951144563,0.00985070624965814,0.004024772053852715,-0.008280962345546827,0.005312938658868712,0.005777445284712298,0.0010879236459952885,0.00900277087447464,0.008396823757014784,0.006106607583884284,0.009415858019317394,0.0007722567339162457,-0.0011736026900554084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS003,109447,-0.1003718260727564,-0.02249866434194454,0.013320346464912642,-0.018351126788790147,-0.04528826752943585,-0.03980049799700964,0.016935668035332866,-0.018957161160767913,0.0042788789602676925,-0.009761903709261882,-0.01603555064866746,-0.009985189343852334,0.0009004574538751996,0.0007586825873282605,-0.0044143483134211695,0.000701188591903289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS004,109448,-0.1042166499807396,-0.030807387900231947,0.03049401413659284,-0.025523608690104206,-0.01350593161101288,-0.007710051724505753,-0.016629551223228834,0.004212862844449436,-0.00013744174797591108,-0.007258878538150976,-0.021869120921591396,-0.0046883478079197466,-0.023041441786699687,0.003127437425231532,-0.0037232815245952203,0.0007873289719436793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS005,109449,-0.08565265334617353,-0.010883944160284991,0.02404775913248208,0.011802783524372787,0.019600341808859795,0.01597494544878941,0.016589493489001586,0.009797979340037255,0.006507682076459449,-0.01461375848584422,-0.006239606900373441,0.0006650229273634251,-0.0054576247839727395,-0.003907359430127339,0.011401352751527073,0.003815464870399436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS006,109450,-0.08770086262277758,-0.007984037159872656,0.020554817566077757,0.012871052638507617,0.011419302396831935,0.00975616794075085,0.022541783344267426,-0.0014729597644696198,0.024347765956376177,-0.020216532499012466,-0.001347660785390605,-0.008514074381259366,0.01072577738331649,-0.0028776284402635887,0.0036138755720662545,-0.0031861309261740594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS007,109451,-0.036452093092980135,-6.953712957245871e-05,-0.08402397116786488,0.06659279301313183,0.02270482902174638,0.005801134277745921,-0.006375760158646215,0.0009976281452446704,0.005862078438027834,-0.00546136738784607,0.0009744765073112034,-0.002713765177242161,-0.00477591049495506,0.0061895331672978775,-0.005641828104155946,0.005698702017080415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS008,109452,-0.0314937179146814,0.00449536308330219,-0.08572756404773069,0.06909150312164053,0.021184955417116593,-0.002458226012326439,0.006567873813468627,0.012450105467582935,-0.002711988950944681,0.011618224754282808,-0.013111140587630098,0.0002024894604756101,0.0014216973997960806,0.0027565128042666737,-0.0013529241997794256,-0.003926947942319876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS009,109453,-0.07909801960502247,-0.014568956988467125,-0.027038986033579553,0.03692367308023618,-0.039273478172440056,-0.006293833495888568,-0.05716386463411452,-0.022863839870434655,-0.006391788079142911,0.000988752657079179,-0.010052992450906548,0.014001310587002266,0.007924299049339681,0.0002982433022643961,0.009674256158384263,-2.9948893429778014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS010,109454,-0.09444717975812686,0.0021760234061219373,0.05675268827485093,0.002282034319016364,-0.012938583468621366,0.010477535619927668,0.0034299346606420883,0.003988901905526873,-0.009820076952941912,-0.005747654725509068,0.011376029255047217,0.010377350069524944,-0.006680335890875896,-0.0026871852134278803,0.0019068861205104488,-0.0037563180521623324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
