sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
ITS001,109445,0.017817851846771333,-0.07415485150965284,0.002764949385618966,-0.01602375162515287,0.02210262044010059,0.005735155110640447,0.0002109345734609089,0.0036972785828040884,0.00536483133556409,-0.0007290278390864204,-0.005960819855583885,0.00025460746611341047,0.003715615350336207,0.005922161512702518,0.0014587245815597973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS002,109446,0.01613496930449605,-0.07567197684063752,0.002689822331624833,-0.013751339073657907,0.021130141662460897,0.00480005332342462,0.0015694525062153707,0.0030590044996956474,0.004972493058585129,-0.000550814346830655,-0.003198737173793888,0.0016049925810920655,0.005366733024625024,0.0021251029889981883,-0.0016622777311446767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS003,109447,0.0183912484508683,-0.09724227588347734,-0.0017514275829116524,0.0336816874524607,0.017922424512914877,0.014024197536040093,-0.01595487938009653,-0.009462255083943499,0.010863506416990637,0.013580147264545686,0.005353324167406545,0.008484625652917828,-0.0013557536252124765,-0.0016919001892488296,-3.0255227552986803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS004,109448,0.006455130974566236,-0.07848162159024434,-0.002328894124050866,0.00590546508494564,0.018204780946103484,0.0014271944986682784,0.008165746590746386,-0.0036904460360339644,0.001390774586595738,0.01004707903489742,0.00964311078891997,0.014352758240307533,-0.011254749404511152,0.0016604601987434274,0.00016573184981856962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS005,109449,0.022050946521869074,-0.05453282659090683,-0.011273217210016664,-0.02894855815538495,-0.010768483029737418,-0.011430919336078815,-0.02268704080474557,0.012050862986016332,-0.004368821603429807,-0.0022578746260293707,-0.008559942305858572,-0.002489247958717067,-0.005987160960919104,0.006865809988929248,-3.160052971362199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS006,109450,0.02539210626937167,-0.057837984944037905,-0.01567090862215728,-0.026125275760234486,-0.004942774178731902,0.008517780681237477,-0.0344890339065766,0.007305531072796585,-0.008855480020480361,-0.002907827466058081,-0.0054084692186987604,-0.0007231860946324231,-0.0005990250222858353,-0.002497328376688557,-3.853747168807139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS007,109451,0.0005246692289966527,-0.047575443153973135,-0.028395145611842077,-0.015568008093319449,-0.060135866938458016,0.02095593851054281,0.00963986536391844,-0.006461392589799781,-0.013879774651113393,0.0029710832076666953,0.006954228402984166,0.00472942501463131,0.0023780132017512485,-0.00015156743162862853,7.320421476327245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS008,109452,0.004678888575309952,-0.04829830026347708,-0.021580396811133617,-0.009983713673726729,-0.07175148454002252,0.0001429659422281312,0.003755012450451185,-0.003678226763281612,0.008310924152349382,0.0017296449113944426,0.005023659819669203,0.0006065909116751624,0.0021848560018659455,0.00010841022406318256,-3.100911622770324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS009,109453,0.02271512471947594,-0.08305090886936982,0.009378793611288688,-0.016753070390866553,0.009032569943286243,0.010635590133116981,0.01544401546666175,-0.013626688951522758,-8.164594533903879e-05,0.009627419169687044,0.006290356013768608,-0.0235653276446466,-0.00289703079366041,0.004276941653911298,-0.00011262719653122375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS010,109454,0.036004818394164466,-0.05178947283967145,0.0006859494972134337,-0.04190208667003873,0.032271924137464054,-0.009277980043379864,-0.01770844698653606,-0.006302788139544041,0.0010897655563048276,-0.00024498360379494524,0.015143624911646555,0.0021503225950497223,0.005708964698556221,-0.003162954795557523,7.703538536672153e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS011,109455,-0.0008949844636886864,-0.08647851294206423,0.0030366127279642862,0.017411231151086046,0.015389567158095014,-0.014310899868781682,0.013590202706510068,-0.001979123136161758,-0.01614627937008755,0.001690266886591215,-0.00522272170681606,-0.008272752830201447,-0.005836372466794683,-0.007907083498625771,-9.12899441941507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS012,109456,-0.07306288618185332,0.06511778124597553,-0.0016935690093913005,0.01955176461077806,-0.0007084954337470191,0.008306835025285928,0.00855499093913751,-0.0005464745089452332,7.389325086381454e-05,0.007049027458036889,0.0035867312264106915,-0.007085116381105808,0.004767205606354352,-0.006967976209559482,0.00040465001369277266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS013,109457,-0.07231905749763826,0.06104666212622477,-0.003844679989139048,0.013931336367851046,-0.01183429698467234,0.009386606948473587,-0.006061687987252929,0.006640864836073181,-0.012014684834345691,0.0018999524605712176,-0.0077206484933652385,0.005186448082867238,-0.005652313278126171,-0.0013986423575177034,-0.00021173121316402243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS014,109458,-0.5625060563656743,0.11743808343347634,-0.006524756090233403,-0.016302733390780744,0.010737318345108847,-0.0011614603063409125,-0.005888061950010759,-0.003599112705085348,0.0020444491981455727,-0.0008036838458418293,0.0008042305116348316,0.0003647556941419064,0.0003103484759709908,0.00027302264035574433,-2.3829165748176902e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS015,109459,0.11340157111009198,0.16786272256873205,-0.03256704760168986,-0.014004905471553837,0.020672538819122666,-0.003911663463493341,0.016983082091396005,-0.00833366947986149,-0.010028190350014666,0.015285175800767558,-0.0034634600120651985,0.005963198106121827,0.004551778274426774,0.00440917843142343,-0.00013155276454696011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS016,109460,0.0952081289233421,0.14841150355666685,-0.03802543225699598,-0.019092120510371964,-0.004733435706293225,-0.03667398292728842,-0.00036654972142329494,-0.0029400543673712364,0.009042187975724432,0.009917604572745984,-0.011368974063589513,-0.0034045354278537934,-0.0011208699776700368,-0.0029055887781666173,9.865973112969138e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS017,109461,-0.0036050741579326437,-0.08788481921971303,-0.010777688293032323,0.06172902338521272,-0.0031071176392109263,-0.024792451238207634,-0.01802656891930416,0.0003031996124814631,-0.008337832701305978,0.0011321115664217685,-0.0032957987516999444,-0.0036083694398522776,0.0049980420110427885,0.002235683065281844,7.593289327281384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS018,109462,-0.015809100041069085,-0.062143926775223755,-0.01232027311433832,0.027232291100004517,0.012056750166522861,-0.001395527416585875,-0.0019413558618905037,-0.002774153728879155,-0.009961030991779765,-0.016845030786694987,0.007830633395547897,-0.0026970889262580926,0.002608708500308005,0.0027516090882964564,6.49821378742433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS019,109463,0.1554897305058649,0.20312921858955407,-0.00936227695614118,0.033651238338778665,0.001121056713731304,0.02810043020878869,-0.024923324520897554,-0.0021990953003641497,0.0063570332366955674,-0.0015890015366470957,0.0002129262958263304,-0.0021219194306563204,0.0016084733177699798,-0.0008754351485965304,1.6029312710471777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS020,109464,0.11757947229101727,0.16646838417559628,-0.04253577663776232,-0.010530782917779086,0.01539554366676559,0.010546170905938972,0.009774845033986552,0.00013310141705198659,-0.0005948717910175813,-0.02244822217179996,0.009639325677755165,-0.0018477514335269196,-0.005913500995022395,-0.0005327676296522684,-2.409157658981544e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS021,109465,0.005524786104639506,0.05256709183807507,0.09675596009290767,0.0007282493185632157,-0.004102682863046255,0.043065552911518215,0.003199188696945054,0.006759478224161706,0.0031714089366499127,0.0019982187631299563,-0.008703891842941795,-0.0029821666129633776,-0.0009387644580353508,0.0013775455973128142,-5.318014955320183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
