sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
ITS001,109445,-0.0070540489532150375,-0.009058108709904396,0.01304269987711865,-0.0030550233740599965,-0.0014462661478449,0.0018501577875985444,-0.0010628369545943263,-0.0017328342178420098,0.001103650647503025,-0.0019377382398585404,0.00018769238797704314,-0.0007321531301747023,-0.00025154598743666254,0.0016768730934389878,0.002153227634328837,-0.0003789106533756073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS002,109446,-0.007008697663414517,-0.010768596991250082,0.012729898981573208,-0.002900475428665171,-0.0017336487474969953,0.0012501449913309211,-0.0009501895235464833,-0.001379612973859931,0.0010579742452157853,-0.0017608341370001716,0.0005936748013369471,-0.0003286023102885683,-0.0017667141364975465,-2.4600874972618354e-05,-0.0014640888078684738,-0.000763992785131867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS003,109447,-0.00641094589318209,-0.01723655286108788,-0.0006744539320798702,0.018855208775675324,0.006697678577006975,-0.0023792499817707822,-0.0020225169131698295,-0.0008578337071481873,0.0005523039826699759,0.0033191869511462473,-0.0004955691929374832,-0.0018100369160032102,-0.00034979133506942307,0.00043951012827180745,0.00014116812858031263,2.1059904037605345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS004,109448,-0.0036083335156770024,-0.011417609818883514,0.006878623301363501,0.002888570726451387,0.0007397453055338086,-0.003686738405081192,0.0016309133873936765,0.0005169170201631376,-5.325303944126361e-06,0.005466308356829573,-0.004274989142715292,-0.005036255021641988,0.0009836256214252775,-0.0007699191854315358,0.00036939454627311945,7.71026105015329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS005,109449,-0.0075859516630374805,-0.01570694065033397,-0.00410400929115917,-0.008431377063849698,-0.00320845410846713,0.008054527831273302,-0.0015652519076953923,-0.002672951990833204,0.0003817299623607838,0.0002896840884787108,-0.0029447905437033546,-0.0004894968620319925,0.0012483157264822347,-0.0003742928550649606,-0.0008530992604168655,-5.94866704294537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS006,109450,-0.0074463718423148076,-0.017082597358701837,-0.003009780911206448,0.0003931966635234881,-0.007643024459032236,0.004919073225904832,-0.00325403625485902,-0.007811238407505446,-0.0012229287590793585,0.00010877447427150046,0.00012420517643297753,0.0008857696472670215,-0.0001981141888346679,0.0002524350066418418,0.00022163324768834178,3.62858583077161e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS007,109451,-0.00046214668886811324,-0.010360171084928184,-0.016530291045475494,-0.0038147602605947766,-0.01002469421021082,-0.00802353920953042,0.001008689267223013,0.00019918276383042695,0.002537471117666907,-0.0013711169118451833,-0.0008162121265125483,0.0012865171154301867,0.0011336604260345836,-0.00019045489806849075,0.0003283070298346742,-9.705304173509084e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS008,109452,-0.002003722460892099,-0.010501443096794105,-0.021168458290001017,-0.00609484478048782,-0.002198281328554134,-0.0028369154662066815,0.0041569541467474025,0.0019582812817835298,0.0017518082456080696,0.0009329220070547718,0.0018144431266269763,-0.0010795732732663541,0.0002264851599371259,0.0015621377819543824,-0.00013437657664728273,4.572876991189864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS009,109453,-0.0026847546210996887,-0.011381791994475506,0.0034006129557975664,0.0004566847178219612,-0.002621364016408847,-0.005288421053158763,0.0021379871146064624,0.0024034840642952224,0.00564870552148765,0.00039989339153463226,0.0027228143423809687,-0.0009132708372132634,-0.000788270470929835,-4.1104803888352466e-07,-0.0011798848927342131,-7.502188240499648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITS010,109454,-0.00821263974307914,-0.0076325705880885015,0.01462980986551437,-0.0034781173215979178,-0.00181062813956079,0.0023130765770601937,-0.001043165173793383,-0.0023933567569232963,0.002944025777649933,-0.0014951511271240425,0.00099495946343488,-0.000534310331868731,-0.0006299419336986134,0.00026019022757764015,-0.001099089401563314,0.0008861094992417807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
