ITS2 type profile UID		76680	75883	75885	75886	75782	75825
Clade		A	A	A	A	A	A
Majority ITS2 sequence		A3	A3	A3	A3	A4	A3
Associated species		S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	S. linucheae	S. natans,S. tridacnidorum
ITS2 profile abundance local		9	6	6	4	1	1
ITS2 profile abundance DB		16	16	6	4	27	102
ITS2 type profile		A3-A3t-A3ae-A3ac	A3-A3t-A3af-A3ae	A3-A3ac-A3ak	A3-A3t-A3al	A4	A3
109445	ITS001	77807.0	0	0	0	0	0
109446	ITS002	210521.0	0	0	0	0	0
109454	ITS010	156906.0	0	0	0	0	0
109468	ITS024	69543.0	0	0	0	0	0
109448	ITS004	142702.0	0	0	0	0	0
109449	ITS005	100718.0	0	0	0	0	0
109450	ITS006	183497.0	0	0	0	0	0
109447	ITS003	245423.0	0	0	0	0	0
109467	ITS023	165458.0	0	0	0	0	0
109462	ITS018	0	172272.0	0	0	0	0
109466	ITS022	0	94569.0	0	0	0	0
109461	ITS017	0	160863.0	0	0	0	0
109453	ITS009	0	222760.0	0	0	0	0
109451	ITS007	0	75194.0	0	0	0	0
109452	ITS008	0	162740.0	0	0	0	0
109469	ITS_016	0	0	35009.0	0	0	0
109456	ITS012	0	0	50403.0	0	0	0
109457	ITS013	0	0	202321.0	0	0	0
109458	ITS014	0	0	129983.0	0	11544.0	0
109465	ITS021	0	0	145433.0	0	0	0
109470	ITS_025	0	0	38252.0	0	0	0
109459	ITS015	0	0	0	122436.0	0	0
109460	ITS016	0	0	0	35438.0	0	0
109464	ITS020	0	0	0	6396.0	0	0
109463	ITS019	0	0	0	172154.0	0	0
109455	ITS011	0	0	0	0	0	145331.0
Sequence accession / SymPortal UID		22385-35445-903836-364589	22385-35445-483064-903836	22385-364589-907383	22385-35445-364534	29206	22385
Average defining sequence proportions and [stdev]		0.880[0.010]-0.066[0.011]-0.046[0.006]-0.008[0.004]	0.847[0.007]-0.056[0.013]-0.054[0.018]-0.043[0.014]	0.739[0.031]-0.194[0.027]-0.068[0.012]	0.743[0.019]-0.177[0.012]-0.080[0.017]	1.000[nan]	1.000[nan]
