ITS2 type profile UID		76680	75883	75885	75886	75782	75825
Clade		A	A	A	A	A	A
Majority ITS2 sequence		A3	A3	A3	A3	A4	A3
Associated species		S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	S. linucheae	S. natans,S. tridacnidorum
ITS2 profile abundance local		9	6	6	4	1	1
ITS2 profile abundance DB		16	16	6	4	27	102
ITS2 type profile		A3-A3t-A3ae-A3ac	A3-A3t-A3af-A3ae	A3-A3ac-A3ak	A3-A3t-A3al	A4	A3
109445	ITS001	0.970634098876012	0	0	0	0	0
109446	ITS002	0.9687321688232804	0	0	0	0	0
109454	ITS010	0.963233985082415	0	0	0	0	0
109468	ITS024	0.9519266306207652	0	0	0	0	0
109448	ITS004	0.9443771632022342	0	0	0	0	0
109449	ITS005	0.9385092762563247	0	0	0	0	0
109450	ITS006	0.9304178075245918	0	0	0	0	0
109447	ITS003	0.9064762284667435	0	0	0	0	0
109467	ITS023	0.8859818689056551	0	0	0	0	0
109462	ITS018	0	0.9615109841043044	0	0	0	0
109466	ITS022	0	0.9488211096618843	0	0	0	0
109461	ITS017	0	0.9211225506476254	0	0	0	0
109453	ITS009	0	0.901603182890748	0	0	0	0
109451	ITS007	0	0.8779012749264465	0	0	0	0
109452	ITS008	0	0.8725490721726868	0	0	0	0
109469	ITS_016	0	0	0.9248916833984994	0	0	0
109456	ITS012	0	0	0.905470223659391	0	0	0
109457	ITS013	0	0	0.9009382500545494	0	0	0
109458	ITS014	0	0	0.8294757665677547	0	0.073667081458792	0
109465	ITS021	0	0	0.7995568799067578	0	0	0
109470	ITS_025	0	0	0.7563570213943924	0	0	0
109459	ITS015	0	0	0	0.9367067302175061	0	0
109460	ITS016	0	0	0	0.9263867830815078	0	0
109464	ITS020	0	0	0	0.9138448349764252	0	0
109463	ITS019	0	0	0	0.8885046733795424	0	0
109455	ITS011	0	0	0	0	0	0.8745870218028416
Sequence accession / SymPortal UID		22385-35445-903836-364589	22385-35445-483064-903836	22385-364589-907383	22385-35445-364534	29206	22385
Average defining sequence proportions and [stdev]		0.880[0.010]-0.066[0.011]-0.046[0.006]-0.008[0.004]	0.847[0.007]-0.056[0.013]-0.054[0.018]-0.043[0.014]	0.739[0.031]-0.194[0.027]-0.068[0.012]	0.743[0.019]-0.177[0.012]-0.080[0.017]	1.000[nan]	1.000[nan]
