sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A3t	A3ac	A3ae	A3ak	A3af	A3al	A3m	695980_A	33927_A	903851_A	903841_A	22415_A	A4	A3b	903839_A	363624_A	363581_A	364304_A	33881_A	73508_A	903838_A	363677_A	34357_A	529468_A	1150880_A	363573_A	904723_A	50857_A	363698_A	903844_A	363657_A	363585_A	363590_A	903852_A	697372_A	903840_A	364724_A	363172_A	903845_A	363701_A	363646_A	1150882_A	903842_A	364417_A	A3w	823222_A	903846_A	903853_A	363703_A	903854_A	1150883_A	364576_A	363583_A	22426_A	53434_A	1150881_A	364714_A	891954_B	1150877_B	29324_B	B19	B1	1150879_B	B5	1150878_B	C91g	G3b	892101_G
109445	ITS001	92801	82646	938	82646	938	0	0	0	0	80161	6	1920	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.72755600	-65.20415500	2019-04-28	5	68721	4930	363	3793	0	0	0	434	0	0	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109446	ITS002	247811	223699	1621	223699	1621	0	0	0	0	217316	7	5534	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.71090400	-65.20947000	2019-04-28	15	186121	12991	973	10436	0	0	0	1261	0	1072	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109454	ITS010	189835	167811	1505	167808	1504	3	1	0	0	162895	13	4920	20	0	0	0	0	8	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.57768800	-65.25199000	2019-04-28	15	134727	13536	792	7851	0	0	0	1006	0	1907	3013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	8	7	0	0	0	5	15	8
109468	ITS024	90025	76358	913	76358	913	0	0	0	0	73055	9	2447	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.34456000	-65.32640000	2019-04-28	15	60828	4102	1090	3523	0	0	0	1065	0	0	0	0	0	0	0	0	483	695	360	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109448	ITS004	172341	154051	1328	154051	1328	0	0	0	0	151107	9	7509	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.67760000	-65.22010000	2019-04-28	15	126889	7739	1164	6910	0	0	0	896	0	3327	0	0	0	0	0	0	0	0	0	0	2534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0
109449	ITS005	124416	109401	1185	109401	1185	0	0	0	0	107317	13	5446	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.66094800	-65.22541500	2019-04-28	5	88358	7621	879	3860	0	0	0	1153	0	610	1399	0	640	0	0	0	544	481	0	615	0	615	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109450	ITS006	222454	200303	1666	200303	1666	0	0	0	0	197220	14	11636	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.64429600	-65.23073000	2019-04-28	15	160577	14348	1319	7253	0	0	0	2087	0	1127	2790	0	1233	0	0	0	1165	0	937	1132	0	1201	0	0	0	0	0	0	1109	0	0	0	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109447	ITS003	318949	282199	2558	282199	2558	0	0	0	0	270744	14	23794	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.69425200	-65.21478500	2019-04-28	5	216426	13905	2148	12944	0	0	0	1527	0	5951	0	0	0	0	0	0	0	0	2396	0	4304	0	2123	0	0	0	0	0	0	2352	0	0	1736	0	0	0	0	1828	0	0	1525	1579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109467	ITS023	221646	195301	1912	195301	1912	0	0	0	0	186751	14	20016	18	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.36121200	-65.32108500	2019-04-28	5	148110	9747	1823	5778	0	0	0	1253	0	0	6001	0	0	0	0	0	1122	0	0	0	0	0	0	0	0	4638	0	0	0	0	0	3272	0	3143	0	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	6	0	0	0	0
109462	ITS018	205069	183606	1512	183606	1512	0	0	0	0	179168	9	3823	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.44447200	-65.29451000	2019-04-28	15	147747	6919	1037	7124	0	10482	0	2036	0	1011	0	0	2049	0	0	0	0	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
