sample_uid	A3	A3t	A3ac	A3ae	A3ak	A3af	A3al	A3m	695980_A	33927_A	903851_A	903841_A	22415_A	A4	A3b	903839_A	363624_A	363581_A	364304_A	33881_A	73508_A	903838_A	363677_A	34357_A	529468_A	1150880_A	363573_A	904723_A	50857_A	363698_A	903844_A	363657_A	363585_A	363590_A	903852_A	697372_A	903840_A	364724_A	363172_A	903845_A	363701_A	363646_A	1150882_A	903842_A	364417_A	A3w	823222_A	903846_A	903853_A	363703_A	903854_A	1150883_A	364576_A	363583_A	22426_A	53434_A	1150881_A	364714_A	891954_B	1150877_B	29324_B	B19	B1	1150879_B	B5	1150878_B	C91g	G3b	892101_G
109445	68721	4930	363	3793	0	0	0	434	0	0	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109446	186121	12991	973	10436	0	0	0	1261	0	1072	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109454	134727	13536	792	7851	0	0	0	1006	0	1907	3013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	8	7	0	0	0	5	15	8
109468	60828	4102	1090	3523	0	0	0	1065	0	0	0	0	0	0	0	0	483	695	360	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109448	126889	7739	1164	6910	0	0	0	896	0	3327	0	0	0	0	0	0	0	0	0	0	2534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0
109449	88358	7621	879	3860	0	0	0	1153	0	610	1399	0	640	0	0	0	544	481	0	615	0	615	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109450	160577	14348	1319	7253	0	0	0	2087	0	1127	2790	0	1233	0	0	0	1165	0	937	1132	0	1201	0	0	0	0	0	0	1109	0	0	0	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109447	216426	13905	2148	12944	0	0	0	1527	0	5951	0	0	0	0	0	0	0	0	2396	0	4304	0	2123	0	0	0	0	0	0	2352	0	0	1736	0	0	0	0	1828	0	0	1525	1579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109467	148110	9747	1823	5778	0	0	0	1253	0	0	6001	0	0	0	0	0	1122	0	0	0	0	0	0	0	0	4638	0	0	0	0	0	3272	0	3143	0	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	6	0	0	0	0
109462	147747	6919	1037	7124	0	10482	0	2036	0	1011	0	0	2049	0	0	0	0	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109466	80575	5728	847	5661	0	2605	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0
109461	136273	6192	915	7070	0	11328	0	1136	0	1087	0	0	909	0	0	0	0	971	1414	0	0	0	1783	0	0	0	0	0	1225	1313	0	0	1013	0	0	0	0	0	0	0	1063	946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109453	187021	15173	2539	12877	0	7689	0	1779	0	13840	0	0	3039	0	0	0	0	0	0	0	0	0	0	0	1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
109451	63541	4709	3194	2074	0	4870	0	851	0	0	0	0	550	0	0	2244	405	0	0	503	0	528	0	0	605	0	0	0	468	0	0	0	0	0	0	0	590	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109452	136925	10432	6888	4673	0	10710	0	1997	0	0	0	0	1133	0	0	4270	1113	1444	897	986	0	1096	0	0	1449	0	0	0	0	0	0	0	0	0	0	0	1274	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109469	24962	670	6999	0	3048	0	0	546	245	0	0	0	0	0	382	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	253	0	0	0	0	183	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109456	37824	1502	9276	0	3303	0	0	1298	449	0	0	0	302	0	816	0	0	0	0	0	0	0	0	0	257	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
