sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
109445	ITS001	92801	82646	938	82646	938	0	0	0	0	80161	6	1920	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.72755600	-65.20415500	2019-04-28	5
109446	ITS002	247811	223699	1621	223699	1621	0	0	0	0	217316	7	5534	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.71090400	-65.20947000	2019-04-28	15
109454	ITS010	189835	167811	1505	167808	1504	3	1	0	0	162895	13	4920	20	0	0	0	0	8	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.57768800	-65.25199000	2019-04-28	15
109468	ITS024	90025	76358	913	76358	913	0	0	0	0	73055	9	2447	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.34456000	-65.32640000	2019-04-28	15
109448	ITS004	172341	154051	1328	154051	1328	0	0	0	0	151107	9	7509	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.67760000	-65.22010000	2019-04-28	15
109449	ITS005	124416	109401	1185	109401	1185	0	0	0	0	107317	13	5446	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.66094800	-65.22541500	2019-04-28	5
109450	ITS006	222454	200303	1666	200303	1666	0	0	0	0	197220	14	11636	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.64429600	-65.23073000	2019-04-28	15
109447	ITS003	318949	282199	2558	282199	2558	0	0	0	0	270744	14	23794	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.69425200	-65.21478500	2019-04-28	5
109467	ITS023	221646	195301	1912	195301	1912	0	0	0	0	186751	14	20016	18	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.36121200	-65.32108500	2019-04-28	5
109462	ITS018	205069	183606	1512	183606	1512	0	0	0	0	179168	9	3823	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.44447200	-65.29451000	2019-04-28	15
109466	ITS022	117889	103598	1127	103598	1127	0	0	0	0	99670	9	3686	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.37786400	-65.31577000	2019-04-28	15
109461	ITS017	204650	179971	1927	179971	1927	0	0	0	0	174638	16	11724	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.46112400	-65.28919500	2019-04-28	5
109453	ITS009	286294	255653	2358	255653	2358	0	0	0	0	247071	11	19972	21	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.59434000	-65.24667500	2019-04-28	5
109451	ITS007	100225	87751	1157	87751	1157	0	0	0	0	85652	15	6413	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.62764400	-65.23604500	2019-04-28	5
109452	ITS008	231484	194290	1993	194290	1993	0	0	0	0	186511	16	14886	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.61099200	-65.24136000	2019-04-28	15
109469	ITS_016	67307	40092	1164	40089	1163	3	1	0	0	37852	12	1048	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.32790800	-65.33171500	2019-04-28	15
109456	ITS012	67365	58152	890	58152	890	0	0	0	0	55665	11	1646	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.54438400	-65.26262000	2019-04-28	5
109457	ITS013	266231	233326	2345	233326	2345	0	0	0	0	224567	12	7031	4	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.52773200	-65.26793500	2019-04-28	15
109458	ITS014	189531	164131	2105	164016	2103	115	2	0	0	156705	11	5476	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.51108000	-65.27325000	2019-04-28	5
109465	ITS021	218232	189523	2378	189523	2378	0	0	0	0	181892	11	20652	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.39451600	-65.31045500	2019-04-28	5
109470	ITS_025	87463	53265	1637	53265	1637	0	0	0	0	50574	12	6753	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.31125600	-65.33703000	2019-04-28	15
109459	ITS015	153858	135404	1633	135404	1633	0	0	0	0	130709	7	1263	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.49442800	-65.27856500	2019-04-28	5
109460	ITS016	48427	39470	685	39470	685	0	0	0	0	38254	9	663	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.47777600	-65.28388000	2019-04-28	15
109464	ITS020	9970	7163	169	7163	169	0	0	0	0	6999	9	277	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.41116800	-65.30514000	2019-04-28	15
109463	ITS019	234187	203585	2402	203585	2402	0	0	0	0	193757	10	11934	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.42782000	-65.29982500	2019-04-28	5
109455	ITS011	192657	171798	1447	171798	1447	0	0	0	0	166171	7	4047	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	cervicornis	18.56103600	-65.25730500	2019-04-28	5
