name	term	lev	seq	value
"lipid transport"	GO:0006869	2	isogroup19482	0
"lipid transport"	GO:0006869	2	isogroup2044	0
"lipid transport"	GO:0006869	2	isogroup337	0
"lipid transport"	GO:0006869	2	isogroup3672	0
"lipid transport"	GO:0006869	2	isogroup5258	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup11238	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup11934	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup13297	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup13432	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup16558	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup16767	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup17588	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup18732	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup2127	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup28381	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup2878	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup29812	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup3011	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup32499	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup51774	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup586	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup8077	0
"coenzyme biosynthetic process"	GO:0009108;GO:0006732	3	isogroup9847	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup10479	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup12790	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup1460	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup15465	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup16690	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup18664	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup18941	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup32643	0
"negative regulation of metabolic process"	GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0034401;GO:0010605;GO:1902679;GO:0010558;GO:0031327;GO:0009892;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172	7	isogroup36711	0
