name	term	lev	seq	value
"chromosomal part"	GO:0044427	3	isogroup10945	0
"chromosomal part"	GO:0044427	3	isogroup10951	0
"chromosomal part"	GO:0044427	3	isogroup12294	0
"chromosomal part"	GO:0044427	3	isogroup1289	0
"chromosomal part"	GO:0044427	3	isogroup13018	0
"chromosomal part"	GO:0044427	3	isogroup13825	0
"chromosomal part"	GO:0044427	3	isogroup14236	0
"chromosomal part"	GO:0044427	3	isogroup1549	0
"chromosomal part"	GO:0044427	3	isogroup15611	0
"chromosomal part"	GO:0044427	3	isogroup16605	0
"chromosomal part"	GO:0044427	3	isogroup1663	0
"chromosomal part"	GO:0044427	3	isogroup16841	0
"chromosomal part"	GO:0044427	3	isogroup17074	0
"chromosomal part"	GO:0044427	3	isogroup17152	0
"chromosomal part"	GO:0044427	3	isogroup18667	0
"chromosomal part"	GO:0044427	3	isogroup1956	0
"chromosomal part"	GO:0044427	3	isogroup19568	0
"chromosomal part"	GO:0044427	3	isogroup20383	0
"chromosomal part"	GO:0044427	3	isogroup20707	0
"chromosomal part"	GO:0044427	3	isogroup22985	0
"chromosomal part"	GO:0044427	3	isogroup2433	0
"chromosomal part"	GO:0044427	3	isogroup248	0
"chromosomal part"	GO:0044427	3	isogroup25040	0
"chromosomal part"	GO:0044427	3	isogroup25201	0
"chromosomal part"	GO:0044427	3	isogroup25232	0
"chromosomal part"	GO:0044427	3	isogroup27404	0
"chromosomal part"	GO:0044427	3	isogroup27536	0
"chromosomal part"	GO:0044427	3	isogroup27544	0
"chromosomal part"	GO:0044427	3	isogroup27771	0.572026347049642
"chromosomal part"	GO:0044427	3	isogroup28227	0
"chromosomal part"	GO:0044427	3	isogroup32197	0
"chromosomal part"	GO:0044427	3	isogroup32441	0
"chromosomal part"	GO:0044427	3	isogroup3696	0
"chromosomal part"	GO:0044427	3	isogroup396	0
"chromosomal part"	GO:0044427	3	isogroup41736	0
"chromosomal part"	GO:0044427	3	isogroup419	0
"chromosomal part"	GO:0044427	3	isogroup43357	0
"chromosomal part"	GO:0044427	3	isogroup43567	0
"chromosomal part"	GO:0044427	3	isogroup4841	0
"chromosomal part"	GO:0044427	3	isogroup48427	0
"chromosomal part"	GO:0044427	3	isogroup517	0
"chromosomal part"	GO:0044427	3	isogroup5272	0
"chromosomal part"	GO:0044427	3	isogroup54509	0
"chromosomal part"	GO:0044427	3	isogroup56039	0
"chromosomal part"	GO:0044427	3	isogroup5737	0
"chromosomal part"	GO:0044427	3	isogroup597	0
"chromosomal part"	GO:0044427	3	isogroup6188	0
"chromosomal part"	GO:0044427	3	isogroup6686	0
"chromosomal part"	GO:0044427	3	isogroup71	0
"chromosomal part"	GO:0044427	3	isogroup7729	0
"chromosomal part"	GO:0044427	3	isogroup7821	0
"chromosomal part"	GO:0044427	3	isogroup8276	0
"chromosomal part"	GO:0044427	3	isogroup8813	0
"chromosomal part"	GO:0044427	3	isogroup8818	0
"chromosomal part"	GO:0044427	3	isogroup8875	0
"chromosomal part"	GO:0044427	3	isogroup9209	0
"chromosomal part"	GO:0044427	3	isogroup9468	0
"chromosomal part"	GO:0044427	3	isogroup9902	0.650966826986957
"microtubule"	GO:0005874	4	isogroup11604	0
"microtubule"	GO:0005874	4	isogroup14223	0
"microtubule"	GO:0005874	4	isogroup1463	0
"microtubule"	GO:0005874	4	isogroup14765	0
"microtubule"	GO:0005874	4	isogroup1594	0
"microtubule"	GO:0005874	4	isogroup1672	0
"microtubule"	GO:0005874	4	isogroup17958	0
"microtubule"	GO:0005874	4	isogroup19	0
"microtubule"	GO:0005874	4	isogroup1965	0
"microtubule"	GO:0005874	4	isogroup19993	0
"microtubule"	GO:0005874	4	isogroup20532	0
"microtubule"	GO:0005874	4	isogroup24194	0
"microtubule"	GO:0005874	4	isogroup25730	0
"microtubule"	GO:0005874	4	isogroup30309	0
"microtubule"	GO:0005874	4	isogroup32026	0
"microtubule"	GO:0005874	4	isogroup3995	0
"microtubule"	GO:0005874	4	isogroup4015	0
"microtubule"	GO:0005874	4	isogroup51720	0
"microtubule"	GO:0005874	4	isogroup5613	0
"microtubule"	GO:0005874	4	isogroup6571	0
"microtubule"	GO:0005874	4	isogroup6593	0
"microtubule"	GO:0005874	4	isogroup7142	0
"microtubule"	GO:0005874	4	isogroup8031	0
"microtubule"	GO:0005874	4	isogroup81	0
"microtubule"	GO:0005874	4	isogroup8228	0
"microtubule"	GO:0005874	4	isogroup9070	0
"nuclear transcriptional repressor complex"	GO:0005677;GO:0090568;GO:0017053	4	isogroup10479	0
"nuclear transcriptional repressor complex"	GO:0005677;GO:0090568;GO:0017053	4	isogroup12790	0
