name	term	lev	seq	value
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup1035	0.0428243893124259
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup1145	0.194638915154159
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup1371	-2.36842736375596
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup1521	-0.252273043747302
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup23911	-1.19234493713586
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup25835	-0.88142257480681
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup26623	-0.387993201246585
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup26880	0.03835357303003
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup282	-2.05882447811375
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup411	-0.501085283377601
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup476	-0.783310158847545
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup489	-2.19548462680941
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup599	-0.396813697389783
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup866	-1.0172945922769
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup24811	0.28486102458403
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup4089	-1.94314503087133
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup8217	0.138970200932532
"obsolete secreted phospholipase A2 activity"	GO:0019904;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499	3	isogroup9948	-0.524666683465337
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup10033	0.596666997422324
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup10191	-0.114807158362884
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup10421	0.808514512899573
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup10513	-0.0283180912188252
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup10844	0.763795954544021
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup11028	0.26886977106607
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup11077	-0.235145470264139
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup11450	0.0483657009122955
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup11620	-0.374747585275725
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12187	0.288894646367573
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12249	0.413696090772543
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12314	0.0265683624972821
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12382	0.853553206171254
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup1243	-0.222036105603468
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12496	0.245670732462452
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12691	0.117280368116203
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12704	-0.373625663873271
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12732	0.0461930091797118
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup12747	0.545822185936403
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13032	0.146661309137428
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13090	-0.00988286283081283
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13267	0.283995201431408
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13482	0.45145765384353
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13577	0.0108494768526929
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13731	0.667048284147029
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13820	2.53406230575687
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup13900	0.897670534544861
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup14053	-0.338214680759025
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup14083	0.0850233066630284
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup14159	0.0542072437870632
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup14188	0.209708420764904
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup14270	-0.0835493207930998
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup14692	-0.518556070103549
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup14883	-0.257530895610359
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup15066	-0.0812123546091479
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup15128	-0.282520828167685
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup15194	0.123664154588571
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup1520	0.174390067264068
"transmembrane receptor protein kinase activity"	GO:0004714;GO:0019199	5	isogroup15281	-0.0237804524843782
