name	term	lev	seq	value
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup10090	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup10228	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup10384	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup11309	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup12034	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup12121	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup12174	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup12192	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup13233	0.857582995174211
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup13493	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup13886	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup1496	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup14962	0.580035753219448
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup1548	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup15532	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup15828	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup17301	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup17511	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup17652	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup18643	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup19578	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup20231	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup20972	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup21306	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup21374	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup22413	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup23493	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup24507	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup25124	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup25782	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup26117	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup26348	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup2655	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup27179	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup29715	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup3805	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup39254	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup4178	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup45564	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup46882	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup52195	0.687508145996411
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup53327	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup614	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup6140	0.595984722744614
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup72204	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup779	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup8108	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup8143	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup82454	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup8341	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup8628	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup8858	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup9358	0
"acetylglucosaminyltransferase activity"	GO:0008375	2	isogroup9938	0
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup10672	0
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup11188	0
