"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-531 0.41094406716504 2 11 "GO:0000041" "transition metal ion transport" 0.668654753353286
-311 0.600838501686767 -1 13 "GO:0000059" "obsolete protein import into nucleus, docking" 0.790143783040132
-102 0.899451915952984 2 7 "GO:0000096" "sulfur amino acid metabolic process" 0.959415377016516
12 0.989991537395842 2 5 "GO:0000097" "sulfur amino acid biosynthetic process" 0.996914555139869
-172 0.538067537718741 2 59 "GO:0000160" "phosphorelay signal transduction system" 0.742720087530702
264 0.621486871942435 2 16 "GO:0000226" "microtubule cytoskeleton organization" 0.799054549640274
271 0.580948820060593 2 19 "GO:0001505" "regulation of neurotransmitter levels" 0.778201210127678
-674 0.44082072605424 3 6 "GO:0001539;GO:0048870;GO:0040011" "cilium or flagellum-dependent cell motility" 0.69977113211047
126 0.472710800419265 7 152 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048583" "regulation of response to stimulus" 0.69977113211047
-1248 0.192462272312639 2 5 "GO:0003006;GO:0022414" "developmental process involved in reproduction" 0.460796391286522
-314 0.0402593058227477 2 201 "GO:0005975" "carbohydrate metabolic process" 0.207961995465385
383 0.63565511606567 3 7 "GO:0005976;GO:0044264" "polysaccharide metabolic process" 0.806469926990806
-988 0.0843365113541927 3 14 "GO:0006006" "glucose metabolic process" 0.296206283780579
-472 0.589292576354853 2 6 "GO:0006012" "galactose metabolic process" 0.783898274437558
946 0.111378349003246 2 13 "GO:0006066" "alcohol metabolic process" 0.337652258030893
1224 0.0864769880089405 3 9 "GO:0006071;GO:0019400;GO:0019751" "polyol metabolic process" 0.297876439369788
-568 0.0459169474189851 2 57 "GO:0006091" "generation of precursor metabolites and energy" 0.221991687180608
-646 0.393320994311213 2 8 "GO:0006094" "gluconeogenesis" 0.652043962747733
-1253 0.000266542102097901 5 39 "GO:0006096;GO:0006090;GO:0006757;GO:0016052;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "nucleoside diphosphate metabolic process" 0.00724049727603246
-41 0.966313972459968 3 5 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "pentose-phosphate shunt" 0.983341835345112
623 0.313729959164159 3 12 "GO:0006099" "tricarboxylic acid cycle" 0.568845832975539
-353 0.662477807301365 -1 7 "GO:0006100;GO:0006108" "malate metabolic process" 0.825946357154948
-201 0.0698998474373468 -1 395 "GO:0006118" "obsolete electron transport" 0.264883632394156
1677 0.0798475623105439 2 5 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 0.287451224317958
-18 0.817383356678681 2 808 "GO:0006139;GO:0046483" "heterocycle metabolic process" 0.906436899715778
-945 0.323740353502446 4 5 "GO:0006144" "purine nucleobase metabolic process" 0.579484699796228
-1231 0.0382511278564381 3 13 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0009220;GO:0046051;GO:0009148;GO:0009208;GO:0009218;GO:0006241;GO:0046036" "guanosine-containing compound biosynthetic process" 0.207961995465385
-941 0.281585480276938 6 6 "GO:0006189;GO:0006188;GO:0046040" "'de novo' IMP biosynthetic process" 0.548722385196614
-362 0.592978962524671 4 10 "GO:0006207;GO:0019856;GO:0006206" "pyrimidine nucleobase metabolic process" 0.783898274437558
370 0.00558748828241361 4 267 "GO:0006259" "DNA metabolic process" 0.0574713080476828
554 0.055877440411428 4 55 "GO:0006260" "DNA replication" 0.22688502536403
34 0.969169319091602 5 6 "GO:0006265" "DNA topological change" 0.983341835345112
42 0.939823363381149 2 15 "GO:0006270" "DNA replication initiation" 0.983341835345112
-181 0.779008548524873 6 11 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 0.906436899715778
313 0.0523691641033141 3 180 "GO:0006281;GO:0006974" "DNA repair" 0.221991687180608
-191 0.842073641742778 6 5 "GO:0006284" "base-excision repair" 0.917847933272986
543 0.172509167142615 6 29 "GO:0006289" "nucleotide-excision repair" 0.435367449198908
122 0.808678358824515 2 18 "GO:0006298" "mismatch repair" 0.906436899715778
580 0.0954216263573064 4 38 "GO:0006306;GO:0006305;GO:0043414;GO:0044728;GO:0006304;GO:0032259" "DNA modification" 0.316462803325521
-481 0.235549946913378 2 28 "GO:0006310" "DNA recombination" 0.513927156901916
-44 0.793670828323023 3 166 "GO:0006325" "chromatin organization" 0.906436899715778
578 0.239882808107927 4 19 "GO:0006333" "chromatin assembly or disassembly" 0.51944547921115
-1017 0.00730347010106146 4 32 "GO:0006334;GO:0034728;GO:0065004;GO:0071824" "protein-DNA complex subunit organization" 0.07011331297019
-1065 0.0628565448906616 6 14 "GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:1903507;GO:2000113;GO:0010605;GO:0009892;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172;GO:0034401" "negative regulation of metabolic process" 0.244630877412305
-310 0.538987841298322 6 18 "GO:0006352" "DNA-templated transcription, initiation" 0.742720087530702
-147 0.796812491321352 5 14 "GO:0006354" "DNA-templated transcription, elongation" 0.906436899715778
-812 0.352574262228807 2 6 "GO:0006364;GO:0016072" "rRNA processing" 0.608032260610158
-139 0.603986919221511 7 64 "GO:0006366;GO:0006351;GO:0097659" "transcription, DNA-templated" 0.790673785162705
-1659 0.0831392028385538 2 5 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 0.29560605453708
994 0.299259653547242 7 5 "GO:0006368" "transcription elongation from RNA polymerase II promoter" 0.559654417023414
62 0.739307010043993 2 136 "GO:0006396" "RNA processing" 0.887168412052792
-555 0.125485952098705 2 35 "GO:0006397" "mRNA processing" 0.36505004246896
-281 0.223256272974268 7 87 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.498432609430924
-631 4.41372417840376e-18 4 999 "GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0006518;GO:0043604;GO:1901566;GO:0043603" "macromolecule biosynthetic process" 4.23717521126761e-16
-650 0.115113139543628 2 27 "GO:0006413" "translational initiation" 0.345339418630884
-901 0.0129749922901498 4 35 "GO:0006414" "translational elongation" 0.113236296350398
-548 0.0868806281495214 3 45 "GO:0006418;GO:0043039;GO:0043038" "amino acid activation" 0.297876439369788
-638 0.465296178448176 3 6 "GO:0006422" "aspartyl-tRNA aminoacylation" 0.69977113211047
-210 0.768181645360599 6 9 "GO:0006446;GO:0006417;GO:0010608;GO:0032268;GO:0034248;GO:0051246" "regulation of protein metabolic process" 0.905452396716371
-393 0.00601680502548941 2 231 "GO:0006457" "protein folding" 0.0597530981841707
-1726 0.0482926623468915 2 6 "GO:0006465" "signal peptide processing" 0.221991687180608
-423 0.0338619398495026 2 117 "GO:0006470;GO:0016311" "dephosphorylation" 0.191220366208956
441 0.515105703264254 2 10 "GO:0006471" "protein ADP-ribosylation" 0.734408131386659
45 0.888355486566862 2 45 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.954650672131553
749 0.175883471205564 2 15 "GO:0006487" "protein N-linked glycosylation" 0.436676204372435
299 0.675797278877382 6 9 "GO:0006506;GO:0006497;GO:0006505;GO:0006661;GO:0009247;GO:0006664;GO:0046488;GO:1903509;GO:0006650;GO:0046486;GO:0046474;GO:0046467;GO:0045017" "liposaccharide metabolic process" 0.835320241702515
265 0.00294612734788747 3 632 "GO:0006508" "proteolysis" 0.038567485281436
-852 0.329638320085805 -1 6 "GO:0006510" "obsolete ATP-dependent proteolysis" 0.581528940946914
258 0.2562850264103 4 90 "GO:0006511;GO:0019941;GO:0043632;GO:0051603;GO:0044265" "cellular macromolecule catabolic process" 0.539775735702426
310 0.12323874038942 -1 115 "GO:0006512" "obsolete ubiquitin cycle" 0.36505004246896
-475 0.00790243342850742 2 146 "GO:0006520" "cellular amino acid metabolic process" 0.0734161557229076
-158 0.815194962264064 2 10 "GO:0006526;GO:0006525" "arginine metabolic process" 0.906436899715778
1391 0.11136227359639 3 6 "GO:0006537;GO:0006536;GO:0043650" "glutamate metabolic process" 0.337652258030893
426 0.426663151044516 3 16 "GO:0006544;GO:0042133" "neurotransmitter metabolic process" 0.686474790507378
-122 0.857114966397773 5 10 "GO:0006546;GO:0009071;GO:0042135;GO:0042737" "drug catabolic process" 0.924528503080744
-180 0.812415210349847 3 8 "GO:0006560" "proline metabolic process" 0.906436899715778
-1125 0.0221078038647705 5 19 "GO:0006563;GO:0009070" "L-serine metabolic process" 0.163257628539844
-1940 0.00266127926964772 2 11 "GO:0006564" "L-serine biosynthetic process" 0.038567485281436
996 0.218579411677567 2 7 "GO:0006575" "cellular modified amino acid metabolic process" 0.496973909416349
770 0.309102081100983 2 8 "GO:0006576" "cellular biogenic amine metabolic process" 0.567015282529192
-253 0.681822173927136 5 12 "GO:0006584;GO:0009712;GO:0018958" "catecholamine metabolic process" 0.839165752525706
-507 0.188284336293224 2 31 "GO:0006605" "protein targeting" 0.460796391286522
112 0.845126332516982 4 14 "GO:0006606;GO:0017038;GO:0034504;GO:0051170;GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.917847933272986
120 0.846002553048568 3 12 "GO:0006613;GO:0006612;GO:0006614;GO:0045047;GO:0072599;GO:0070972" "protein targeting to membrane" 0.917847933272986
-1068 0.264420129049018 5 5 "GO:0006626;GO:0072655;GO:0070585;GO:0045039;GO:0007007;GO:0051204;GO:0090151;GO:0007006;GO:0007005;GO:0061024" "protein targeting to mitochondrion" 0.547863288964872
363 0.0311501368146204 2 165 "GO:0006629" "lipid metabolic process" 0.190877434098099
367 0.298473401719211 3 37 "GO:0006631;GO:0006633;GO:0072330" "fatty acid metabolic process" 0.559654417023414
548 0.442497863378925 4 9 "GO:0006636;GO:0033559" "unsaturated fatty acid metabolic process" 0.69977113211047
27 0.957826082739626 3 18 "GO:0006643" "membrane lipid metabolic process" 0.983341835345112
352 0.402535572403877 3 26 "GO:0006644" "phospholipid metabolic process" 0.658694573024526
-379 0.575405819451051 4 10 "GO:0006665" "sphingolipid metabolic process" 0.774377925242536
-1761 8.15829666692602e-05 2 23 "GO:0006730" "one-carbon metabolic process" 0.00293698680009337
-34 0.962082052218862 2 9 "GO:0006733" "oxidoreduction coenzyme metabolic process" 0.983341835345112
1335 0.024621691478184 4 13 "GO:0006779;GO:0006778;GO:0033014;GO:0033013" "porphyrin-containing compound metabolic process" 0.16620533597951
1544 0.0304783949507388 5 9 "GO:0006783;GO:0042168" "heme metabolic process" 0.190821255343756
350 0.464802011527983 2 20 "GO:0006790" "sulfur compound metabolic process" 0.69977113211047
-809 0.28528543451963 4 8 "GO:0006801;GO:0072593" "reactive oxygen species metabolic process" 0.548722385196614
185 0.0476793201479586 2 567 "GO:0006811" "ion transport" 0.221991687180608
128 0.274820153986759 5 348 "GO:0006812" "cation transport" 0.548722385196614
273 0.220877293073933 2 93 "GO:0006813" "potassium ion transport" 0.496973909416349
15 0.969684309854208 2 28 "GO:0006814" "sodium ion transport" 0.983341835345112
-11 0.973999414014129 3 43 "GO:0006816;GO:0070838;GO:0072511" "divalent inorganic cation transport" 0.984252039424804
405 0.0456427818288212 2 113 "GO:0006817;GO:0015698" "inorganic anion transport" 0.221991687180608
165 0.308944934026069 2 179 "GO:0006820" "anion transport" 0.567015282529192
317 0.593367443845096 2 13 "GO:0006821" "chloride transport" 0.783898274437558
-1166 0.14974502458399 8 7 "GO:0006825" "copper ion transport" 0.398654988486275
-625 0.474444485883186 3 6 "GO:0006835" "dicarboxylic acid transport" 0.69977113211047
-200 0.635054107139918 2 26 "GO:0006836" "neurotransmitter transport" 0.806469926990806
-146 0.799129328367704 4 14 "GO:0006839" "mitochondrial transport" 0.906436899715778
949 0.160957182978368 4 10 "GO:0006857" "oligopeptide transport" 0.421415169979727
1857 0.0524630848788279 5 5 "GO:0006869" "lipid transport" 0.221991687180608
852 0.329638320085805 5 6 "GO:0006885;GO:0055067" "regulation of pH" 0.581528940946914
-521 0.000244089412455577 4 234 "GO:0006886;GO:0046907;GO:0051641;GO:0051649" "cellular localization" 0.00724049727603246
529 0.512975250925823 2 7 "GO:0006888" "endoplasmic reticulum to Golgi vesicle-mediated transport" 0.734408131386659
545 0.471300072737782 3 8 "GO:0006904;GO:0048278;GO:0140029;GO:0140056;GO:0022406;GO:0051640" "organelle localization" 0.69977113211047
442 0.333167622417503 2 22 "GO:0006914;GO:0061919" "autophagy" 0.581528940946914
-81 0.710579115272887 5 97 "GO:0006915;GO:0012501;GO:0008219;GO:0042981;GO:0043067;GO:0010941" "regulation of programmed cell death" 0.859124060862722
61 0.451256106060605 2 776 "GO:0006950" "response to stress" 0.69977113211047
116 0.332628240515946 3 336 "GO:0006952;GO:0045087;GO:0098542;GO:0051707;GO:0043207;GO:0051704;GO:0009605;GO:0009607;GO:0006955;GO:0002376" "defense response" 0.581528940946914
104 0.494322536312727 3 204 "GO:0006959" "humoral immune response" 0.72266441856886
-156 0.463500555779617 2 102 "GO:0006979" "response to oxidative stress" 0.69977113211047
-326 0.204595858095063 3 70 "GO:0006996" "organelle organization" 0.475190380091759
-956 0.00935617114068723 4 34 "GO:0007010" "cytoskeleton organization" 0.0842055402661851
-323 0.0514371550046785 2 170 "GO:0007018;GO:0006928;GO:0007017" "microtubule-based process" 0.221991687180608
478 0.295891150023464 2 22 "GO:0007049" "cell cycle" 0.559654417023414
465 0.400596317816912 3 15 "GO:0007050;GO:0022402;GO:0045786;GO:0051726" "regulation of cell cycle" 0.658694573024526
202 0.190798129696368 2 198 "GO:0007155;GO:0022610" "cell adhesion" 0.460796391286522
490 0.129902581760891 4 44 "GO:0007156;GO:0098742;GO:0098609" "homophilic cell adhesion via plasma membrane adhesion molecules" 0.374119435471366
-896 0.131430922374162 4 13 "GO:0007160;GO:0031589" "cell-matrix adhesion" 0.374773323205531
358 0.0569940040125625 3 132 "GO:0007166" "cell surface receptor signaling pathway" 0.22688502536403
-265 0.710075233613391 5 9 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 0.859124060862722
621 7.61064179469977e-08 3 361 "GO:0007186" "G protein-coupled receptor signaling pathway" 5.47966209218383e-06
1597 0.00526936295826941 2 14 "GO:0007205" "protein kinase C-activating G protein-coupled receptor signaling pathway" 0.0562065382215404
508 0.0568859704802964 2 65 "GO:0007218" "neuropeptide signaling pathway" 0.22688502536403
715 0.102313748629691 8 24 "GO:0007223;GO:0035567;GO:0016055;GO:1905114" "Wnt signaling pathway, calcium modulating pathway" 0.327403995615011
-521 0.000521635071058695 4 209 "GO:0007264;GO:0035556" "intracellular signal transduction" 0.0115562231126849
143 0.258122256107528 4 298 "GO:0007268;GO:0098916;GO:0099537;GO:0099536;GO:0007267;GO:0007154;GO:0023052" "cell communication" 0.539775735702426
409 0.0531855083870207 2 104 "GO:0007275" "multicellular organism development" 0.221991687180608
-357 0.709476635755337 4 5 "GO:0007596" "blood coagulation" 0.859124060862722
486 0.00477657858176265 2 158 "GO:0007600;GO:0050877;GO:0003008" "sensory perception" 0.0550261852619057
465 0.471611420113994 2 11 "GO:0008202" "steroid metabolic process" 0.69977113211047
1701 0.0246572960471649 3 8 "GO:0008299;GO:0006720" "isoprenoid biosynthetic process" 0.16620533597951
-322 0.712953647729828 2 6 "GO:0008380" "RNA splicing" 0.859124060862722
599 0.0404370546738248 2 54 "GO:0008610" "lipid biosynthetic process" 0.207961995465385
-14 0.966992679187469 3 40 "GO:0008643" "carbohydrate transport" 0.983341835345112
528 0.323948043983308 2 16 "GO:0008654" "phospholipid biosynthetic process" 0.579484699796228
218 0.167249491595156 2 188 "GO:0009057" "macromolecule catabolic process" 0.430070121244687
1410 0.106682420343193 2 6 "GO:0009065" "glutamine family amino acid catabolic process" 0.337632275371864
-408 0.614508904194142 2 7 "GO:0009067;GO:0009066" "aspartate family amino acid metabolic process" 0.793625849362838
-718 0.0765641281749544 2 28 "GO:0009069" "serine family amino acid metabolic process" 0.279119859675783
45 0.936874432402792 2 14 "GO:0009072" "aromatic amino acid family metabolic process" 0.983341835345112
-660 0.45026923772266 2 6 "GO:0009074" "aromatic amino acid family catabolic process" 0.69977113211047
-340 0.437580720065097 2 24 "GO:0009084;GO:0009064" "glutamine family amino acid metabolic process" 0.69977113211047
255 0.507890848442243 3 31 "GO:0009108;GO:0006732" "coenzyme metabolic process" 0.734408131386659
-928 0.0159358201297779 4 31 "GO:0009116;GO:1901657;GO:0034404" "nucleoside metabolic process" 0.131129034210744
-425 0.00294602279839226 5 231 "GO:0009117;GO:0006753;GO:0019637;GO:0055086" "organophosphate metabolic process" 0.038567485281436
-776 0.00414943561939579 2 63 "GO:0009141;GO:0009206;GO:0009145;GO:0009201;GO:0009205;GO:0009142;GO:0009144;GO:0009199;GO:0055085;GO:0015986;GO:0006754;GO:0015985;GO:1902600;GO:0098662;GO:0098655;GO:0098660;GO:0034220" "nucleoside triphosphate metabolic process" 0.0497932274327495
-1246 0.0243099931373498 3 15 "GO:0009147;GO:0006220;GO:0006221" "pyrimidine nucleotide metabolic process" 0.16620533597951
-959 3.09074970860291e-06 3 110 "GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693" "purine-containing compound metabolic process" 0.000178027183215528
-702 0.00279448781811273 3 84 "GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390;GO:1901137" "carbohydrate derivative biosynthetic process" 0.038567485281436
-179 0.355849853299881 4 124 "GO:0009165;GO:1901293;GO:0090407" "organophosphate biosynthetic process" 0.610028319942653
377 0.665863585025485 5 6 "GO:0009166;GO:1901292;GO:0034655" "nucleotide catabolic process" 0.826589277962671
-376 0.511723232362147 4 14 "GO:0009168;GO:0009127;GO:0009156;GO:0009167;GO:0009124;GO:0009126;GO:0009161;GO:0009123" "nucleoside monophosphate biosynthetic process" 0.734408131386659
595 0.173711628720448 2 24 "GO:0009190;GO:0009187" "cyclic nucleotide biosynthetic process" 0.435367449198908
278 0.750426976716871 2 6 "GO:0009225" "nucleotide-sugar metabolic process" 0.896775806201074
-1966 0.0400072144841941 2 5 "GO:0009262" "deoxyribonucleotide metabolic process" 0.207961995465385
68 0.919488364422592 2 10 "GO:0009395" "phospholipid catabolic process" 0.97716844632364
779 0.0955981385045845 6 21 "GO:0009401" "phosphoenolpyruvate-dependent sugar phosphotransferase system" 0.316462803325521
612 0.522608423882948 3 5 "GO:0009435;GO:0019359;GO:0019363;GO:0046496;GO:0019362" "nicotinamide nucleotide biosynthetic process" 0.737586309262599
5 0.996163336836837 2 5 "GO:0009451" "RNA modification" 0.998451804629859
133 0.610578756077486 3 68 "GO:0009682;GO:0042742;GO:0009617" "response to bacterium" 0.792102170046468
514 0.0221053110483695 2 92 "GO:0009719;GO:0033209;GO:0019221" "response to endogenous stimulus" 0.163257628539844
-528 2.41144408944956e-05 2 306 "GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0008104;GO:0033036" "peptide transport" 0.00115749316293579
-183 0.821458440367424 2 7 "GO:0015074" "DNA integration" 0.906436899715778
50 0.770263323595524 2 160 "GO:0015672" "monovalent inorganic cation transport" 0.905452396716371
-1055 0.139538443995563 5 9 "GO:0015780;GO:1901264" "carbohydrate derivative transport" 0.386414152603098
1536 0.0173866541550652 3 11 "GO:0015850" "organic hydroxy compound transport" 0.139093233240522
1159 0.0726206838688914 2 11 "GO:0015893" "drug transport" 0.271620220184944
1209 0.11033113351494 3 8 "GO:0015904;GO:0042891" "antibiotic transport" 0.337652258030893
-458 0.423390718826739 2 14 "GO:0015931" "nucleobase-containing compound transport" 0.685036668663488
691 0.0258330560103665 3 48 "GO:0016042" "lipid catabolic process" 0.169089093886035
-145 0.191033307521782 2 391 "GO:0016043" "cellular component organization" 0.460796391286522
-652 0.173844641173175 2 20 "GO:0016051" "carbohydrate biosynthetic process" 0.435367449198908
-157 0.220586276144888 4 289 "GO:0016070" "RNA metabolic process" 0.496973909416349
-694 0.0266585302875458 6 47 "GO:0016071" "mRNA metabolic process" 0.170614593840293
265 0.513031908040297 2 28 "GO:0016192" "vesicle-mediated transport" 0.734408131386659
59 0.527784634229761 2 567 "GO:0016310;GO:0006468" "phosphorylation" 0.73787366338918
-617 0.281215699906947 2 14 "GO:0016485;GO:0051604" "protein maturation" 0.548722385196614
80 0.926927975109184 6 6 "GO:0016539;GO:0030908" "intein-mediated protein splicing" 0.981453150115607
158 0.217150759105997 3 292 "GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation" 0.496973909416349
1446 0.0980233910202055 3 6 "GO:0016999;GO:0046677" "antibiotic metabolic process" 0.320803825157036
133 0.545753026609885 2 95 "GO:0017144" "drug metabolic process" 0.748461293636414
36 0.967038988930538 2 6 "GO:0018193" "peptidyl-amino acid modification" 0.983341835345112
