"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-31 0.749970669241719 6 8 "GO:0000041;GO:0006825" "transition metal ion transport" 0.843196334026342
379 0.000734058143514909 -1 6 "GO:0000059" "obsolete protein import into nucleus, docking" 0.0355284141461216
-31 0.801384945562226 5 5 "GO:0000096" "sulfur amino acid metabolic process" 0.843196334026342
-31 0.491164324857038 2 37 "GO:0000160" "phosphorelay signal transduction system" 0.843196334026342
-31 0.708402130900809 2 11 "GO:0000226" "microtubule cytoskeleton organization" 0.843196334026342
-4 0.892009036737481 4 92 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048583" "regulation of response to stimulus" 0.914687232586739
-32 0.182240103135449 2 136 "GO:0005975" "carbohydrate metabolic process" 0.843196334026342
-31 0.69600360579091 2 12 "GO:0006006" "glucose metabolic process" 0.843196334026342
-31 0.782746658497909 2 6 "GO:0006066" "alcohol metabolic process" 0.843196334026342
19 0.631323969713541 2 49 "GO:0006091" "generation of precursor metabolites and energy" 0.843196334026342
-31 0.749970669241719 4 8 "GO:0006094;GO:0019319;GO:0046364" "hexose biosynthetic process" 0.843196334026342
-31 0.509426943132273 6 34 "GO:0006096;GO:0006090;GO:0006757;GO:0016052;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "nucleoside diphosphate metabolic process" 0.843196334026342
-31 0.721459240276613 3 10 "GO:0006099" "tricarboxylic acid cycle" 0.843196334026342
-31 0.765718635109017 -1 7 "GO:0006100;GO:0006108" "malate metabolic process" 0.843196334026342
-33 0.0580724305884621 -1 267 "GO:0006118" "obsolete electron transport" 0.565747726385739
-24 0.0538097710594146 3 531 "GO:0006139;GO:0046483" "heterocycle metabolic process" 0.565747726385739
-31 0.708402130900809 5 11 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0009220;GO:0046051;GO:0009148;GO:0009208;GO:0009147;GO:0006221;GO:0009218;GO:0006220;GO:0006241;GO:0046036" "pyrimidine nucleotide metabolic process" 0.843196334026342
-32 0.168011180910588 2 145 "GO:0006259" "DNA metabolic process" 0.843196334026342
-31 0.509426943132273 5 34 "GO:0006260" "DNA replication" 0.843196334026342
-31 0.735273283694628 2 9 "GO:0006270" "DNA replication initiation" 0.843196334026342
-31 0.765718635109017 6 7 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 0.843196334026342
-32 0.2695608778971 3 94 "GO:0006281;GO:0006974" "DNA repair" 0.843196334026342
-31 0.672883662109869 2 14 "GO:0006289" "nucleotide-excision repair" 0.843196334026342
-31 0.579845821242823 3 24 "GO:0006306;GO:0006305;GO:0043414;GO:0044728;GO:0006304;GO:0032259" "DNA modification" 0.843196334026342
-31 0.631910075849958 2 18 "GO:0006310" "DNA recombination" 0.843196334026342
-32 0.192468429113107 2 130 "GO:0006325" "chromatin organization" 0.843196334026342
-31 0.65162858629071 3 16 "GO:0006333" "chromatin assembly or disassembly" 0.843196334026342
-31 0.579845821242823 4 24 "GO:0006334;GO:0034728;GO:0065004;GO:0071824" "protein-DNA complex subunit organization" 0.843196334026342
-31 0.708402130900809 6 11 "GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:0010605;GO:0009892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172;GO:0034401" "negative regulation of metabolic process" 0.843196334026342
-31 0.641593898075073 3 17 "GO:0006352" "DNA-templated transcription, initiation" 0.843196334026342
-31 0.735273283694628 3 9 "GO:0006354" "DNA-templated transcription, elongation" 0.843196334026342
-31 0.801384945562226 3 5 "GO:0006364;GO:0016072" "rRNA processing" 0.843196334026342
-31 0.452440443828429 3 44 "GO:0006366;GO:0006351;GO:0097659" "nucleic acid-templated transcription" 0.843196334026342
-31 0.801384945562226 4 5 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 0.843196334026342
-32 0.277492009220171 6 91 "GO:0006396" "RNA processing" 0.843196334026342
-31 0.485315496048698 7 38 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.843196334026342
58 0.118915712961331 2 56 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.843196334026342
-17 0.187147065563713 3 483 "GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:0043603" "cellular amide metabolic process" 0.843196334026342
-31 0.596180693285426 2 22 "GO:0006413" "translational initiation" 0.843196334026342
-31 0.587899347487744 4 23 "GO:0006414" "translational elongation" 0.843196334026342
115 0.0153585525708407 6 34 "GO:0006418;GO:0043039;GO:0043038" "amino acid activation" 0.320909740697739
-31 0.735273283694628 6 9 "GO:0006446;GO:0006417;GO:0010608;GO:0032268;GO:0034248;GO:0051246" "regulation of protein metabolic process" 0.843196334026342
-1 0.966724174594543 2 162 "GO:0006457" "protein folding" 0.968493562277769
-31 0.782746658497909 3 6 "GO:0006465" "signal peptide processing" 0.843196334026342
1 0.968493562277769 4 77 "GO:0006470;GO:0016311" "dephosphorylation" 0.968493562277769
-31 0.749970669241719 4 8 "GO:0006471" "protein ADP-ribosylation" 0.843196334026342
-31 0.54256942099286 4 29 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.843196334026342
-31 0.721459240276613 5 10 "GO:0006487" "protein N-linked glycosylation" 0.843196334026342
35 0.0159128797040201 2 389 "GO:0006508" "proteolysis" 0.320909740697739
-31 0.801384945562226 -1 5 "GO:0006510" "obsolete ATP-dependent proteolysis" 0.843196334026342
6 0.864338456476105 5 68 "GO:0006511;GO:0019941;GO:0043632;GO:0051603;GO:0044265" "cellular macromolecule catabolic process" 0.901594424427661
-2 0.958002403708163 -1 84 "GO:0006512" "obsolete ubiquitin cycle" 0.965985757072398
15 0.567505355841782 2 107 "GO:0006520" "cellular amino acid metabolic process" 0.843196334026342
-31 0.765718635109017 3 7 "GO:0006525" "arginine metabolic process" 0.843196334026342
-31 0.801384945562226 3 5 "GO:0006526" "arginine biosynthetic process" 0.843196334026342
-31 0.65162858629071 2 16 "GO:0006544;GO:0042133;GO:0001505" "regulation of neurotransmitter levels" 0.843196334026342
-31 0.749970669241719 4 8 "GO:0006546;GO:0009071;GO:0042135;GO:0042737" "drug catabolic process" 0.843196334026342
-31 0.782746658497909 2 6 "GO:0006560" "proline metabolic process" 0.843196334026342
-31 0.641593898075073 2 17 "GO:0006563;GO:0009070" "L-serine metabolic process" 0.843196334026342
-31 0.721459240276613 2 10 "GO:0006564" "L-serine biosynthetic process" 0.843196334026342
-31 0.749970669241719 3 8 "GO:0006576;GO:0044106;GO:0009308" "amine metabolic process" 0.843196334026342
-31 0.69600360579091 3 12 "GO:0006584;GO:0009712;GO:0018958" "catecholamine metabolic process" 0.843196334026342
-31 0.587899347487744 2 23 "GO:0006605" "protein targeting" 0.843196334026342
-31 0.749970669241719 5 8 "GO:0006606;GO:0017038;GO:0034504;GO:0051170" "protein localization to nucleus" 0.843196334026342
-31 0.749970669241719 6 8 "GO:0006613;GO:0006612;GO:0006614;GO:0045047;GO:0072599;GO:0070972" "cotranslational protein targeting to membrane" 0.843196334026342
-31 0.801384945562226 5 5 "GO:0006626;GO:0072655;GO:0070585;GO:0045039;GO:0007007;GO:0051204;GO:0090151;GO:0007006;GO:0007005;GO:0061024" "protein targeting to mitochondrion" 0.843196334026342
-10 0.702908668386585 2 116 "GO:0006629" "lipid metabolic process" 0.843196334026342
-31 0.535641925602599 5 30 "GO:0006631" "fatty acid metabolic process" 0.843196334026342
-31 0.587899347487744 5 23 "GO:0006633;GO:0072330" "monocarboxylic acid biosynthetic process" 0.843196334026342
-31 0.765718635109017 2 7 "GO:0006636;GO:0033559" "unsaturated fatty acid biosynthetic process" 0.843196334026342
217 0.0124537183865458 3 10 "GO:0006643" "membrane lipid metabolic process" 0.301379984954408
107 0.0987227820052447 2 18 "GO:0006644" "phospholipid metabolic process" 0.843196334026342
383 0.000651454409446159 4 6 "GO:0006665" "sphingolipid metabolic process" 0.0355284141461216
-31 0.672883662109869 2 14 "GO:0006730" "one-carbon metabolic process" 0.843196334026342
-31 0.765718635109017 2 7 "GO:0006733" "oxidoreduction coenzyme metabolic process" 0.843196334026342
-31 0.735273283694628 4 9 "GO:0006779;GO:0006778;GO:0033014;GO:0033013" "tetrapyrrole metabolic process" 0.843196334026342
-31 0.782746658497909 2 6 "GO:0006783;GO:0042168" "heme metabolic process" 0.843196334026342
-31 0.765718635109017 3 7 "GO:0006801;GO:0072593" "reactive oxygen species metabolic process" 0.843196334026342
8 0.617497727677498 2 321 "GO:0006811" "ion transport" 0.843196334026342
35 0.0876115699436579 2 192 "GO:0006812" "cation transport" 0.815461535629431
96 0.029604122744775 2 39 "GO:0006813" "potassium ion transport" 0.403442347005955
-31 0.735273283694628 2 9 "GO:0006814" "sodium ion transport" 0.843196334026342
-31 0.549660911819539 2 28 "GO:0006816;GO:0070838;GO:0072511" "divalent inorganic cation transport" 0.843196334026342
-31 0.328301949943408 3 74 "GO:0006817;GO:0015698" "inorganic anion transport" 0.843196334026342
-32 0.22515155567524 2 113 "GO:0006820" "anion transport" 0.843196334026342
-31 0.765718635109017 3 7 "GO:0006821" "chloride transport" 0.843196334026342
-31 0.631910075849958 2 18 "GO:0006836" "neurotransmitter transport" 0.843196334026342
-31 0.721459240276613 2 10 "GO:0006839" "mitochondrial transport" 0.843196334026342
320 0.00211154748024102 2 7 "GO:0006857" "oligopeptide transport" 0.0729992128883324
-31 0.801384945562226 5 5 "GO:0006869" "lipid transport" 0.843196334026342
-32 0.119948793433991 4 183 "GO:0006886;GO:0046907;GO:0051641;GO:0051649" "cellular localization" 0.843196334026342
-31 0.782746658497909 4 6 "GO:0006904;GO:0048278;GO:0140029;GO:0140056;GO:0022406;GO:0051640" "vesicle docking involved in exocytosis" 0.843196334026342
-31 0.708402130900809 2 11 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.843196334026342
-31 0.66204607922163 2 15 "GO:0006914;GO:0061919" "autophagy" 0.843196334026342
-31 0.363810258170961 4 64 "GO:0006915;GO:0012501;GO:0008219;GO:1900117;GO:0042981;GO:0043067;GO:0010941" "apoptotic process" 0.843196334026342
-2 0.899612792120517 2 501 "GO:0006950" "response to stress" 0.918591964950064
15 0.437037323773447 2 220 "GO:0006952;GO:0045087;GO:0098542;GO:0051707;GO:0043207;GO:0051704;GO:0009605;GO:0009607;GO:0006955;GO:0002376" "defense response" 0.843196334026342
28 0.255182689575703 2 128 "GO:0006959" "humoral immune response" 0.843196334026342
-31 0.318534268592296 2 77 "GO:0006979" "response to oxidative stress" 0.843196334026342
-31 0.427585481421371 3 49 "GO:0006996" "organelle organization" 0.843196334026342
-31 0.564370034049951 2 26 "GO:0007010" "cytoskeleton organization" 0.843196334026342
