"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-47 0.695207705587243 7 8 "GO:0000041;GO:0006825" "transition metal ion transport" 0.81061229401357
-47 0.734545184402174 -1 6 "GO:0000059" "obsolete protein import into nucleus, docking" 0.81061229401357
-47 0.757018092756474 2 5 "GO:0000096" "sulfur amino acid metabolic process" 0.81061229401357
20 0.717168989858607 4 37 "GO:0000160" "phosphorelay signal transduction system" 0.81061229401357
178 0.0785252401390874 2 11 "GO:0000226" "microtubule cytoskeleton organization" 0.395898085701232
-20 0.571900263149334 7 92 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048583" "regulation of response to stimulus" 0.81061229401357
-29 0.322526416212113 2 136 "GO:0005975" "carbohydrate metabolic process" 0.81061229401357
-47 0.631040712887607 2 12 "GO:0006006" "glucose metabolic process" 0.81061229401357
-47 0.734545184402174 2 6 "GO:0006066" "alcohol metabolic process" 0.81061229401357
108 0.0250379285803899 3 49 "GO:0006091" "generation of precursor metabolites and energy" 0.222211797699951
-47 0.695207705587243 2 8 "GO:0006094;GO:0019319;GO:0046364" "hexose biosynthetic process" 0.81061229401357
27 0.635171831069795 4 34 "GO:0006096;GO:0006090;GO:0006757;GO:0016052;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "nucleoside diphosphate metabolic process" 0.81061229401357
202 0.057781264675917 2 10 "GO:0006099" "tricarboxylic acid cycle" 0.318784481689865
309 0.0150526932336313 -1 7 "GO:0006100;GO:0006108" "malate metabolic process" 0.145710070501551
108 2.93612834377167e-07 -1 267 "GO:0006118" "obsolete electron transport" 2.36847686397581e-05
21 0.176161072490716 2 531 "GO:0006139;GO:0046483" "heterocycle metabolic process" 0.699159057793144
-47 0.645708462881881 3 11 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0009220;GO:0046051;GO:0009148;GO:0009208;GO:0009147;GO:0006221;GO:0009218;GO:0006220;GO:0006241;GO:0046036" "guanosine-containing compound biosynthetic process" 0.81061229401357
57 0.043022341922139 3 145 "GO:0006259" "DNA metabolic process" 0.286132680956632
100 0.0838395098108673 5 34 "GO:0006260" "DNA replication" 0.405783227484598
