"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-14 0.831408112802188 7 8 "GO:0000041;GO:0006825" "transition metal ion transport" 0.885022204248457
396 0.000000165748313308852 -1 6 "GO:0000059" "obsolete protein import into nucleus, docking" 0.0000200555459103711
-14 0.866736621516051 2 5 "GO:0000096" "sulfur amino acid metabolic process" 0.885022204248457
-14 0.644929172331422 2 37 "GO:0000160" "phosphorelay signal transduction system" 0.885022204248457
-14 0.802568699842524 2 11 "GO:0000226" "microtubule cytoskeleton organization" 0.885022204248457
-14 0.46466700920046 7 92 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048583" "regulation of response to stimulus" 0.885022204248457
-14 0.37176051833793 2 136 "GO:0005975" "carbohydrate metabolic process" 0.885022204248457
-14 0.793908130632066 2 12 "GO:0006006" "glucose metabolic process" 0.885022204248457
-14 0.85396611396404 2 6 "GO:0006066" "alcohol metabolic process" 0.885022204248457
36 0.170890137470172 3 49 "GO:0006091" "generation of precursor metabolites and energy" 0.885022204248457
-14 0.831408112802188 4 8 "GO:0006094;GO:0019319;GO:0046364" "monosaccharide biosynthetic process" 0.885022204248457
-14 0.658801538436065 3 34 "GO:0006096;GO:0006090;GO:0006757;GO:0016052;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "nucleoside diphosphate metabolic process" 0.885022204248457
-14 0.811658671183548 2 10 "GO:0006099" "tricarboxylic acid cycle" 0.885022204248457
-14 0.842264185016747 -1 7 "GO:0006100;GO:0006108" "malate metabolic process" 0.885022204248457
-15 0.204407458346221 -1 267 "GO:0006118" "obsolete electron transport" 0.885022204248457
-10 0.217795314326442 2 531 "GO:0006139;GO:0046483" "heterocycle metabolic process" 0.885022204248457
-14 0.802568699842524 6 11 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0009220;GO:0046051;GO:0009148;GO:0009208;GO:0009147;GO:0006221;GO:0009218;GO:0006220;GO:0006241;GO:0046036" "guanosine-containing compound metabolic process" 0.885022204248457
-14 0.355933055625362 2 145 "GO:0006259" "DNA metabolic process" 0.885022204248457
-14 0.658801538436065 2 34 "GO:0006260" "DNA replication" 0.885022204248457
-14 0.821243639479406 5 9 "GO:0006270" "DNA replication initiation" 0.885022204248457
-14 0.842264185016747 4 7 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 0.885022204248457
-14 0.459756809253853 5 94 "GO:0006281;GO:0006974" "DNA repair" 0.885022204248457
-14 0.777676542545141 2 14 "GO:0006289" "nucleotide-excision repair" 0.885022204248457
