"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-197 0.352137382454251 2 23 "GO:0000015" "phosphopyruvate hydratase complex" 0.603932684155112
160 0.00165760800450386 2 454 "GO:0000151;GO:1990234" "transferase complex" 0.0172391232468401
413 0.281410069653001 4 7 "GO:0000159" "protein phosphatase type 2A complex" 0.541974948961335
205 0.226945624859546 4 36 "GO:0000785" "chromatin" 0.49748528450791
-341 0.0366810939747232 3 39 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 0.173401535153237
516 0.0421514037307594 2 16 "GO:0000922;GO:0005815" "spindle pole" 0.190597651652129
91 0.666904996900516 6 23 "GO:0001518;GO:0034706" "sodium channel complex" 0.815678690612247
357 1.98864156042995e-05 1 153 "GO:0005576" "extracellular region" 0.000344697870474525
81 0.720475826003675 2 20 "GO:0005581" "collagen trimer" 0.841904336004294
147 0.454255629814322 4 27 "GO:0005643" "nuclear pore" 0.684675152183906
906 0.000555645803926984 4 15 "GO:0005663" "DNA replication factor C complex" 0.00722339545105079
191 0.378220583280987 2 22 "GO:0005667" "transcription factor complex" 0.614608447831604
497 0.194954933061157 3 7 "GO:0005669" "transcription factor TFIID complex" 0.460802569053644
-244 0.30871811724853 6 18 "GO:0005677;GO:0090568;GO:0017053" "chromatin silencing complex" 0.577067732983711
320 0.440052281792125 4 6 "GO:0005680;GO:0000152;GO:0031461" "anaphase-promoting complex" 0.684675152183906
510 0.021603184156052 4 21 "GO:0005694" "chromosome" 0.124818397346078
-298 0.115324260914205 3 29 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.33315897597437
27 0.626789533808924 2 369 "GO:0005737" "cytoplasm" 0.804766808841088
318 0.0923292356160799 3 29 "GO:0005739" "mitochondrion" 0.319330783156124
111 0.662357609530392 3 16 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.815678690612247
-357 0.22297337299212 4 12 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 0.49748528450791
-142 0.576907914582878 2 16 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.749980288957741
810 0.0505412748188026 2 6 "GO:0005777" "peroxisome" 0.219012190881478
-338 0.0297751367823094 4 43 "GO:0005783" "endoplasmic reticulum" 0.147457820255247
112 0.659133457146509 3 16 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.815678690612247
-1051 0.0205184812344901 2 5 "GO:0005787;GO:1905368" "signal peptidase complex" 0.124818397346078
68 0.869529457188212 2 6 "GO:0005789" "endoplasmic reticulum membrane" 0.948410065458563
-597 0.0279405558566677 -1 14 "GO:0005792" "obsolete microsome" 0.145290890454672
87 0.786863011603189 3 10 "GO:0005834;GO:1905360" "heterotrimeric G-protein complex" 0.889497317464474
108 0.562886894513861 2 30 "GO:0005839" "proteasome core complex" 0.741015658600526
-413 6.04384997023154e-20 3 611 "GO:0005840;GO:0043232;GO:1990904;GO:0043228" "non-membrane-bounded organelle" 3.1428019845204e-18
-769 0.023024800389045 2 9 "GO:0005853" "eukaryotic translation elongation factor 1 complex" 0.126030486340036
116 0.393901911326323 2 56 "GO:0005856" "cytoskeleton" 0.630243058122117
-689 0.0964096308346585 2 6 "GO:0005862;GO:0044449" "muscle thin filament tropomyosin" 0.319330783156124
175 0.452697697854176 3 19 "GO:0005871" "kinesin complex" 0.684675152183906
-412 0.000895290737591067 3 68 "GO:0005874" "microtubule" 0.0103455818566079
104 0.132632888497654 2 229 "GO:0005875" "microtubule associated complex" 0.362995273783053
-455 0.012836706282356 3 31 "GO:0005884" "actin filament" 0.0890011635576683
57 0.759355098054297 4 30 "GO:0005887;GO:0031226" "integral component of plasma membrane" 0.874230470482875
225 0.311170303671027 3 21 "GO:0005891;GO:0034704" "voltage-gated calcium channel complex" 0.577067732983711
541 0.158294888791003 3 7 "GO:0005942" "phosphatidylinositol 3-kinase complex" 0.401528498396691
94 0.102221536946434 2 345 "GO:0005952;GO:0005956" "cAMP-dependent protein kinase complex" 0.322152722497853
91 0.517587777644259 2 53 "GO:0005954" "calcium- and calmodulin-dependent protein kinase complex" 0.717369993729144
-39 0.932096064087924 3 5 "GO:0005971" "ribonucleoside-diphosphate reductase complex" 0.969379906651441
400 0.00724187711058372 5 47 "GO:0008021;GO:0070382;GO:0097458;GO:0030133;GO:0099503;GO:0031410;GO:0097708;GO:0031982" "exocytic vesicle" 0.0597467922822092
130 0.23917561755188 5 86 "GO:0008076;GO:0034705" "potassium channel complex" 0.49748528450791
260 0.0982556255864996 2 42 "GO:0008091;GO:0044448" "cell cortex part" 0.319330783156124
-476 0.250228961612899 2 6 "GO:0008250" "oligosaccharyltransferase complex" 0.50245330091616
-66 0.508572973619156 2 108 "GO:0008287;GO:1903293;GO:0005963;GO:0017023" "protein serine/threonine phosphatase complex" 0.717369993729144
-569 0.0632666528312861 3 11 "GO:0008305;GO:0098636;GO:0098802;GO:0043235" "plasma membrane receptor complex" 0.253066611325144
-302 0.234933451391524 2 16 "GO:0009288;GO:0042995" "bacterial-type flagellum" 0.49748528450791
-32 0.902786697818025 3 15 "GO:0009341" "beta-galactosidase complex" 0.948410065458563
-32 0.944036679361813 3 5 "GO:0009342;GO:0031026" "glutamate synthase complex" 0.97109181983003
348 0.200327679482155 5 14 "GO:0015629" "actin cytoskeleton" 0.462979525914314
-730 2.88186706156043e-13 2 106 "GO:0015935;GO:0022627" "small ribosomal subunit" 7.49285436005712e-12
-399 0.335059812960617 3 6 "GO:0016011" "dystroglycan complex" 0.590613907591596
-173 0.538027495296858 3 13 "GO:0016222" "procollagen-proline 4-dioxygenase complex" 0.717369993729144
60 0.884465079885093 2 6 "GO:0016272" "prefoldin complex" 0.948410065458563
167 0.25122665045808 2 49 "GO:0016459" "myosin complex" 0.50245330091616
-34 0.799597304023742 2 59 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.894173329230851
689 0.0724931859711235 4 7 "GO:0017059;GO:0031211;GO:1905961;GO:0002178" "palmitoyltransferase complex" 0.275737873644632
-432 0.260301952963001 2 7 "GO:0017086" "3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex" 0.510781190719851
315 0.156144669268024 2 21 "GO:0017090" "meprin A complex" 0.401528498396691
88 0.468387199853186 2 71 "GO:0019866;GO:0005743;GO:0031966" "mitochondrial membrane" 0.695889554067591
-674 3.48703312624947e-18 2 180 "GO:0022625;GO:0015934" "large ribosomal subunit" 1.20883815043315e-16
26 0.874291761669438 4 40 "GO:0030125;GO:0030118;GO:0030120;GO:0030117;GO:0044433" "vesicle coat" 0.948410065458563
186 0.682346596954476 3 5 "GO:0030127" "COPII vesicle coat" 0.815678690612247
122 0.704031314678051 2 10 "GO:0030130" "clathrin coat of trans-Golgi network vesicle" 0.832037008255879
-222 0.354229747437133 3 18 "GO:0030173;GO:0031228" "intrinsic component of Golgi membrane" 0.603932684155112
-256 0.504551944649071 3 7 "GO:0030176;GO:0031227" "intrinsic component of endoplasmic reticulum membrane" 0.717369993729144
130 0.238524362298303 3 87 "GO:0030286" "dynein complex" 0.49748528450791
-433 0.0879199520579943 2 16 "GO:0030532;GO:0120114" "small nuclear ribonucleoprotein complex" 0.315299138414876
518 0.0196533954847739 2 21 "GO:0031012;GO:0044421" "extracellular matrix" 0.124818397346078
45 0.652428688301817 2 106 "GO:0031090" "organelle membrane" 0.815678690612247
-178 0.372075687934246 2 26 "GO:0031301;GO:0031300" "integral component of organelle membrane" 0.614220183256533
-700 0.122773690306711 3 5 "GO:0031967;GO:0031975" "organelle envelope" 0.345093615997242
-153 0.512730730313552 2 19 "GO:0042555" "MCM complex" 0.717369993729144
494 0.14431103509024 3 9 "GO:0042579" "microbody" 0.384829426907307
-384 0.316277507500688 4 7 "GO:0042721;GO:0098800" "inner mitochondrial membrane protein complex" 0.577067732983711
183 0.074237119827401 2 101 "GO:0044427" "chromosomal part" 0.275737873644632
-4 0.966947470107674 2 99 "GO:0044428" "nuclear part" 0.97109181983003
89 0.334554891633887 2 124 "GO:0044429" "mitochondrial part" 0.590613907591596
-15 0.764951661672516 3 443 "GO:0044430" "cytoskeletal part" 0.874230470482875
5 0.966314155894606 3 66 "GO:0044431" "Golgi apparatus part" 0.97109181983003
-102 0.483374255370521 2 49 "GO:0044432" "endoplasmic reticulum part" 0.708041162796256
-677 5.66402075623349e-30 2 319 "GO:0044445;GO:0044391" "cytosolic part" 5.89058158648283e-28
-133 0.452817911841955 4 33 "GO:0044451" "nucleoplasm part" 0.684675152183906
1095 0.00227055186746541 4 8 "GO:0044454" "nuclear chromosome part" 0.0214670358378548
-12 0.97109181983003 2 10 "GO:0044455" "mitochondrial membrane part" 0.97109181983003
344 0.000151721922880853 1 129 "GO:0044456" "synapse part" 0.00225415428280124
124 0.0531307619066453 2 273 "GO:0044459" "plasma membrane part" 0.221023969531644
303 0.00746834903527615 4 82 "GO:0045211;GO:0097060;GO:0098590" "postsynaptic membrane" 0.0597467922822092
565 0.172747892472985 2 6 "GO:0045239" "tricarboxylic acid cycle enzyme complex" 0.417808856213731
-1069 0.00988777772128235 2 6 "GO:0048269" "methionine adenosyltransferase complex" 0.0734520630723832
613 0.109916872898424 5 7 "GO:0055029;GO:0000428;GO:0030880" "DNA-directed RNA polymerase complex" 0.32661013661246
365 0.108213159070368 2 20 "GO:0061695" "transferase complex, transferring phosphorus-containing groups" 0.32661013661246
-38 0.900073427013604 3 11 "GO:0090575;GO:0044798" "nuclear transcription factor complex" 0.948410065458563
-153 0.367658316394195 3 36 "GO:0098588;GO:0000139" "bounding membrane of organelle" 0.614220183256533
37 0.533214065272671 2 322 "GO:0098796" "membrane protein complex" 0.717369993729144
33 0.682311894340324 2 161 "GO:0098797;GO:0034703;GO:0034702;GO:1902495;GO:1990351" "plasma membrane protein complex" 0.815678690612247
95 0.525668155735543 2 46 "GO:0098798" "mitochondrial protein complex" 0.717369993729144
-535 0.163251015608607 2 7 "GO:0098805" "whole membrane" 0.404240610078455
-463 5.43155786720707e-06 2 102 "GO:0099513;GO:0099512;GO:0099081;GO:0099080" "polymeric cytoskeletal fiber" 0.000112976403637907
-22 0.902813427696132 2 32 "GO:1990204" "oxidoreductase complex" 0.948410065458563
