"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-11 0.779211333036879 3 6 "GO:0000015" "phosphopyruvate hydratase complex" 0.808229215712153
-11 0.66636960047137 3 14 "GO:0000139;GO:0098588" "bounding membrane of organelle" 0.808229215712153
11 0.129346847470667 2 207 "GO:0000151;GO:1990234" "transferase complex" 0.808229215712153
-11 0.57902594749864 4 23 "GO:0000785" "chromatin" 0.808229215712153
-11 0.58754255984443 4 22 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 0.808229215712153
-11 0.761714540222544 2 7 "GO:0000922;GO:0005815" "spindle pole" 0.808229215712153
24 0.035103100547359 1 74 "GO:0005576" "extracellular region" 0.411207749269063
-11 0.644534522953329 2 16 "GO:0005581" "collagen trimer" 0.808229215712153
82 0.00999076710540718 2 9 "GO:0005643" "nuclear pore" 0.204810725660847
-11 0.745538054202749 4 8 "GO:0005663" "DNA replication factor C complex" 0.808229215712153
-11 0.624272629811355 2 18 "GO:0005667" "transcription factor complex" 0.808229215712153
-11 0.798372761862005 2 5 "GO:0005669" "transcription factor TFIID complex" 0.808229215712153
-11 0.716257013123508 6 10 "GO:0005677;GO:0090568;GO:0017053" "chromatin silencing complex" 0.808229215712153
-11 0.702848241503973 2 11 "GO:0005694" "chromosome" 0.808229215712153
-11 0.605337505657515 2 20 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.808229215712153
-3 0.721912239706064 3 192 "GO:0005737" "cytoplasm" 0.808229215712153
-11 0.634224016832261 3 17 "GO:0005739" "mitochondrion" 0.808229215712153
-11 0.473410451555433 4 38 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 0.808229215712153
-11 0.779211333036879 4 6 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.808229215712153
-11 0.779211333036879 2 6 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.808229215712153
-11 0.730443347050591 2 9 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.808229215712153
-11 0.554820760044682 3 26 "GO:0005783" "endoplasmic reticulum" 0.808229215712153
-11 0.716257013123508 3 10 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.808229215712153
-11 0.761714540222544 -1 7 "GO:0005792" "obsolete microsome" 0.808229215712153
