"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-11 0.784299812903949 4 6 "GO:0000015" "phosphopyruvate hydratase complex" 0.823130211376617
-11 0.673731549369082 2 14 "GO:0000139;GO:0098588" "bounding membrane of organelle" 0.823130211376617
20 0.00342281138628363 3 207 "GO:0000151;GO:1990234" "transferase complex" 0.0561341067350515
26 0.177705658509674 2 23 "GO:0000785" "chromatin" 0.823130211376617
-11 0.596306452879495 2 22 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 0.823130211376617
110 0.00180248411002206 3 7 "GO:0000922;GO:0005815" "spindle pole" 0.0369509242554522
1 0.945187762313065 1 74 "GO:0005576" "extracellular region" 0.945187762313065
-11 0.652303260923844 2 16 "GO:0005581" "collagen trimer" 0.823130211376617
-11 0.736544714685563 4 9 "GO:0005643" "nuclear pore" 0.823130211376617
94 0.00437087257602186 2 8 "GO:0005663" "DNA replication factor C complex" 0.0597352585389654
-11 0.63240681189839 2 18 "GO:0005667" "transcription factor complex" 0.823130211376617
-11 0.803053864757675 2 5 "GO:0005669" "transcription factor TFIID complex" 0.823130211376617
-11 0.722645162569706 4 10 "GO:0005677;GO:0090568;GO:0017053" "nuclear transcriptional repressor complex" 0.823130211376617
-11 0.709503680625438 4 11 "GO:0005694" "chromosome" 0.823130211376617
-11 0.61380185424518 3 20 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.823130211376617
-2 0.785464877770919 2 192 "GO:0005737" "cytoplasm" 0.823130211376617
90 8.26801926634097e-05 2 17 "GO:0005739" "mitochondrion" 0.0033898878991998
-11 0.483797205322912 2 38 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 0.823130211376617
-11 0.784299812903949 5 6 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 0.823130211376617
-11 0.784299812903949 5 6 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.823130211376617
-11 0.736544714685563 2 9 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.823130211376617
-11 0.564105871822164 4 26 "GO:0005783" "endoplasmic reticulum" 0.823130211376617
-11 0.722645162569706 4 10 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.823130211376617
-11 0.767170771285693 -1 7 "GO:0005792" "obsolete microsome" 0.823130211376617
-11 0.751330110281538 3 8 "GO:0005834;GO:1905360" "heterotrimeric G-protein complex" 0.823130211376617
-11 0.604925102274877 2 21 "GO:0005839" "proteasome core complex" 0.823130211376617
-10 0.0725681341796059 3 345 "GO:0005840;GO:0043232;GO:1990904;GO:0043228" "ribonucleoprotein complex" 0.743823375340961
-11 0.803053864757675 3 5 "GO:0005853" "eukaryotic translation elongation factor 1 complex" 0.823130211376617
-11 0.461046149326739 4 42 "GO:0005856" "cytoskeleton" 0.823130211376617
-11 0.784299812903949 3 6 "GO:0005862;GO:0044449" "contractile fiber part" 0.823130211376617
-11 0.767170771285693 4 7 "GO:0005871" "kinesin complex" 0.823130211376617
-11 0.564105871822164 4 26 "GO:0005874" "microtubule" 0.823130211376617
-11 0.306259256616533 3 79 "GO:0005875" "microtubule associated complex" 0.823130211376617
-11 0.642180226119154 4 17 "GO:0005884" "actin filament" 0.823130211376617
