"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 NA 2 6 "GO:0000015" "phosphopyruvate hydratase complex" NA
0 NA 3 14 "GO:0000139;GO:0098588" "bounding membrane of organelle" NA
0 NA 3 207 "GO:0000151;GO:1990234" "transferase complex" NA
0 NA 3 23 "GO:0000785" "chromatin" NA
0 NA 4 22 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" NA
0 NA 2 7 "GO:0000922;GO:0005815" "spindle pole" NA
0 NA 1 74 "GO:0005576" "extracellular region" NA
0 NA 2 16 "GO:0005581" "collagen trimer" NA
0 NA 4 9 "GO:0005643" "nuclear pore" NA
0 NA 4 8 "GO:0005663" "DNA replication factor C complex" NA
0 NA 2 18 "GO:0005667" "transcription factor complex" NA
0 NA 2 5 "GO:0005669" "transcription factor TFIID complex" NA
0 NA 6 10 "GO:0005677;GO:0090568;GO:0017053" "chromatin silencing complex" NA
0 NA 2 11 "GO:0005694" "chromosome" NA
0 NA 3 20 "GO:0005732" "small nucleolar ribonucleoprotein complex" NA
0 NA 2 192 "GO:0005737" "cytoplasm" NA
0 NA 3 17 "GO:0005739" "mitochondrion" NA
0 NA 3 38 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" NA
0 NA 3 6 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" NA
0 NA 2 6 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" NA
0 NA 2 9 "GO:0005764;GO:0000323;GO:0005773" "vacuole" NA
0 NA 3 26 "GO:0005783" "endoplasmic reticulum" NA
0 NA 3 10 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" NA
0 NA -1 7 "GO:0005792" "obsolete microsome" NA
0 NA 3 8 "GO:0005834;GO:1905360" "heterotrimeric G-protein complex" NA
0 NA 2 21 "GO:0005839" "proteasome core complex" NA
0 NA 3 345 "GO:0005840;GO:0043232;GO:1990904;GO:0043228" "ribonucleoprotein complex" NA
0 NA 2 5 "GO:0005853" "eukaryotic translation elongation factor 1 complex" NA
0 NA 2 42 "GO:0005856" "cytoskeleton" NA
0 NA 2 6 "GO:0005862;GO:0044449" "muscle thin filament tropomyosin" NA
0 NA 3 7 "GO:0005871" "kinesin complex" NA
0 NA 2 26 "GO:0005874" "microtubule" NA
0 NA 2 79 "GO:0005875" "microtubule associated complex" NA
0 NA 2 17 "GO:0005884" "actin filament" NA
0 NA 3 16 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" NA
0 NA 5 6 "GO:0005891;GO:0034704" "voltage-gated calcium channel complex" NA
0 NA 2 145 "GO:0005952;GO:0005956" "cAMP-dependent protein kinase complex" NA
0 NA 2 17 "GO:0005954" "calcium- and calmodulin-dependent protein kinase complex" NA
0 NA 4 23 "GO:0008021;GO:0070382;GO:0097458;GO:0030133;GO:0099503;GO:0031410;GO:0097708;GO:0031982" "synaptic vesicle" NA
0 NA 5 23 "GO:0008076;GO:0034705" "potassium channel complex" NA
0 NA 2 29 "GO:0008091;GO:0044448" "cell cortex part" NA
0 NA 2 6 "GO:0008250" "oligosaccharyltransferase complex" NA
0 NA 3 55 "GO:0008287;GO:1903293;GO:0005963;GO:0017023" "protein serine/threonine phosphatase complex" NA
0 NA 4 9 "GO:0008305;GO:0098636;GO:0098802;GO:0043235" "integrin complex" NA
0 NA 2 7 "GO:0009341" "beta-galactosidase complex" NA
0 NA 3 9 "GO:0015629" "actin cytoskeleton" NA
0 NA 2 58 "GO:0015935;GO:0022627" "small ribosomal subunit" NA
