"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-4 0.868076674006259 4 6 "GO:0000015" "phosphopyruvate hydratase complex" 0.890887998324319
-4 0.796850479310591 4 14 "GO:0000139;GO:0098588" "bounding membrane of organelle" 0.890887998324319
9 0.029154784960416 3 207 "GO:0000151;GO:1990234" "transferase complex" 0.478138473350822
-4 0.739879514779619 4 23 "GO:0000785" "chromatin" 0.890887998324319
-4 0.745531880545347 4 22 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 0.890887998324319
-4 0.857144923822335 2 7 "GO:0000922;GO:0005815" "spindle pole" 0.890887998324319
8 0.264970205304822 1 74 "GO:0005576" "extracellular region" 0.890887998324319
-4 0.782798048597075 2 16 "GO:0005581" "collagen trimer" 0.890887998324319
90 0.00000366170690354348 4 9 "GO:0005643" "nuclear pore" 0.000150129983045283
-4 0.847011049384752 4 8 "GO:0005663" "DNA replication factor C complex" 0.890887998324319
-4 0.769653050613943 2 18 "GO:0005667" "transcription factor complex" 0.890887998324319
-4 0.880023510539876 5 5 "GO:0005669" "transcription factor TFIID complex" 0.890887998324319
-4 0.828582086124336 6 10 "GO:0005677;GO:0090568;GO:0017053" "chromatin silencing complex" 0.890887998324319
-4 0.82009876811626 4 11 "GO:0005694" "chromosome" 0.890887998324319
-4 0.757268001232697 2 20 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.890887998324319
0 0.926615679884884 2 192 "GO:0005737" "cytoplasm" 0.926615679884884
-4 0.776122369203838 2 17 "GO:0005739" "mitochondrion" 0.890887998324319
-4 0.667466606786934 2 38 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 0.890887998324319
-4 0.868076674006259 4 6 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.890887998324319
-4 0.868076674006259 4 6 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.890887998324319
-4 0.83752596340094 2 9 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.890887998324319
-4 0.72367988174146 2 26 "GO:0005783" "endoplasmic reticulum" 0.890887998324319
-4 0.828582086124336 3 10 "GO:0005786;GO:0048500" "signal recognition particle" 0.890887998324319
-4 0.857144923822335 -1 7 "GO:0005792" "obsolete microsome" 0.890887998324319
-4 0.847011049384752 3 8 "GO:0005834;GO:1905360" "heterotrimeric G-protein complex" 0.890887998324319
-4 0.751324688935505 2 21 "GO:0005839" "proteasome core complex" 0.890887998324319
-2 0.573381626613946 3 345 "GO:0005840;GO:0043232;GO:1990904;GO:0043228" "ribonucleoprotein complex" 0.890887998324319
-4 0.880023510539876 2 5 "GO:0005853" "eukaryotic translation elongation factor 1 complex" 0.890887998324319
-4 0.651004747705975 4 42 "GO:0005856" "cytoskeleton" 0.890887998324319
-4 0.868076674006259 4 6 "GO:0005862;GO:0044449" "muscle thin filament tropomyosin" 0.890887998324319
