"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
6 0.9898971568547 3 79 "GO:0000026;GO:0004376;GO:0000009;GO:0000033;GO:0003980;GO:0004576;GO:0004583;GO:0008417;GO:0008921;GO:0016759;GO:0018715;GO:0018716;GO:0019112;GO:0018717;GO:0018718;GO:0019187;GO:0042281;GO:0042283;GO:0046920;GO:0046921" "fucosyltransferase activity" 0.998891270698014
618 0.247864776783831 2 62 "GO:0000030" "mannosyltransferase activity" 0.620815847247277
484 0.778220446964468 2 6 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.955225085907462
52 0.970651974658945 2 9 "GO:0000155;GO:0004673;GO:0140299" "phosphorelay sensor kinase activity" 0.997938390231927
125 0.841751145051974 4 45 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.974289367099895
-1737 0.0888190302043013 3 17 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.394654176295919
-1741 0.354580773180716 2 5 "GO:0000234" "phosphoethanolamine N-methyltransferase activity" 0.71861221608925
314 0.867585760757803 2 5 "GO:0000252;GO:0000253;GO:0004495;GO:0018451;GO:0018452;GO:0018453;GO:0048258" "C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity" 0.979372554550512
-808 0.506023728834386 3 12 "GO:0000287" "magnesium ion binding" 0.82836636702106
142 0.763778664458359 7 80 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0004551;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleotide diphosphatase activity" 0.945741108039485
853 0.542900753920727 2 9 "GO:0001517;GO:0001537;GO:0004394;GO:0015016;GO:0016232;GO:0017095;GO:0018721;GO:0018722;GO:0019111;GO:0018723;GO:0018724;GO:0018725;GO:0018726;GO:0018727;GO:0050659;GO:0050698" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.840577900447246
862 2.19818442998194e-05 -1 442 "GO:0001584" "obsolete rhodopsin-like receptor activity" 0.00358743698973053
831 0.377459981122977 2 20 "GO:0001641;GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.736859676067821
2189 0.244597922253015 4 5 "GO:0001727" "lipid kinase activity" 0.616024396785371
414 0.00295892527555755 2 977 "GO:0003677" "DNA binding" 0.0689852292815703
