"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-47 0.550628764322481 6 25 "GO:0000026;GO:0000030" "mannosyltransferase activity" 0.828490606405532
-47 0.790205458235221 2 5 "GO:0000049" "tRNA binding" 0.828490606405532
-47 0.644216331798238 4 15 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.828490606405532
-47 0.752739916314393 2 7 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.828490606405532
-47 0.527527078228526 4 28 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "bis(5'-nucleosyl)-tetraphosphatase activity" 0.828490606405532
99 0.00677046624957063 -1 116 "GO:0001584" "obsolete rhodopsin-like receptor activity" 0.161861624214678
-47 0.752739916314393 2 7 "GO:0001641;GO:0001640;GO:0098988" "group II metabotropic glutamate receptor activity" 0.828490606405532
-35 0.057646684678506 3 480 "GO:0003677" "DNA binding" 0.588431253039089
-47 0.63335178862714 2 16 "GO:0003682" "chromatin binding" 0.828490606405532
-47 0.692658804706453 2 11 "GO:0003684" "damaged DNA binding" 0.828490606405532
-1 0.971462190031027 2 221 "GO:0003700;GO:0140110" "transcription regulator activity" 0.976879265440122
-47 0.752739916314393 -1 7 "GO:0003702" "obsolete RNA polymerase II transcription factor activity" 0.828490606405532
-47 0.736214947488082 3 8 "GO:0003713;GO:0003712" "transcription coregulator activity" 0.828490606405532
-15 0.584153025703763 3 209 "GO:0003723" "RNA binding" 0.828490606405532
163 0.0952307890439662 2 16 "GO:0003725" "double-stranded RNA binding" 0.780603892011905
-33 0.199018669078945 2 232 "GO:0003735" "structural constituent of ribosome" 0.828490606405532
17 0.758428600869413 5 53 "GO:0003743" "translation initiation factor activity" 0.828490606405532
-47 0.50608522830822 2 31 "GO:0003746" "translation elongation factor activity" 0.828490606405532
-47 0.388303145753802 3 52 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 0.828490606405532
-47 0.550628764322481 2 25 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.828490606405532
-47 0.655527909946986 -1 14 "GO:0003763" "obsolete chaperonin ATPase activity" 0.828490606405532
-20 0.574437555378702 4 123 "GO:0003774" "motor activity" 0.828490606405532
-4 0.937237381057993 5 77 "GO:0003777" "microtubule motor activity" 0.94421866508822
-47 0.349765027897918 4 61 "GO:0003779" "actin binding" 0.828490606405532
-47 0.790205458235221 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.828490606405532
429 0.00364928054908087 -1 7 "GO:0003812" "obsolete alternative-complement-pathway C3/C5 convertase activity" 0.118622998585782
-47 0.790205458235221 5 5 "GO:0003834" "beta-carotene 15,15'-monooxygenase activity" 0.828490606405532
-47 0.720803669669782 -1 9 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.828490606405532
-47 0.736214947488082 4 8 "GO:0003841;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 0.828490606405532
-47 0.790205458235221 3 5 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 0.828490606405532
-47 0.33055581915434 2 66 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.828490606405532
-47 0.790205458235221 3 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.828490606405532
-47 0.736214947488082 3 8 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.828490606405532
