"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
200 0.0332304232433458 2 25 "GO:0000026;GO:0000030" "mannosyltransferase activity" 0.365404220623468
-68 0.747623610540999 4 5 "GO:0000049" "tRNA binding" 0.812177456431085
-68 0.576638259198212 4 15 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.812177456431085
-68 0.703242254614828 3 7 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.812177456431085
-68 0.44503980673424 3 28 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "bis(5'-nucleosyl)-tetraphosphatase activity" 0.812177456431085
47 0.28749183502532 -1 116 "GO:0001584" "obsolete rhodopsin-like receptor activity" 0.812177456431085
-68 0.703242254614828 7 7 "GO:0001641;GO:0001640;GO:0098988" "group II metabotropic glutamate receptor activity" 0.812177456431085
-5 0.808014825173739 4 480 "GO:0003677" "DNA binding" 0.860503977202742
140 0.233022116665818 2 16 "GO:0003682" "chromatin binding" 0.812177456431085
533 0.000161468741632093 2 11 "GO:0003684" "damaged DNA binding" 0.00671958378638172
-23 0.469457774207613 2 221 "GO:0003700;GO:0140110" "transcription regulator activity" 0.812177456431085
-68 0.703242254614828 -1 7 "GO:0003702" "obsolete RNA polymerase II transcription factor activity" 0.812177456431085
-68 0.683762269533417 2 8 "GO:0003713;GO:0003712" "transcription coregulator activity" 0.812177456431085
12 0.708871671537691 3 209 "GO:0003723" "RNA binding" 0.812177456431085
141 0.2286559259629 4 16 "GO:0003725" "double-stranded RNA binding" 0.812177456431085
-55 0.0786922345837993 2 232 "GO:0003735" "structural constituent of ribosome" 0.545801268074813
58 0.368231973647856 5 53 "GO:0003743" "translation initiation factor activity" 0.812177456431085
40 0.637603442529154 2 31 "GO:0003746" "translation elongation factor activity" 0.812177456431085
-68 0.297048409860902 3 52 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 0.812177456431085
-68 0.470631501246057 3 25 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.812177456431085
172 0.170649882795693 -1 14 "GO:0003763" "obsolete chaperonin ATPase activity" 0.812177456431085
-69 0.106825065399574 5 123 "GO:0003774" "motor activity" 0.667182980677484
-68 0.203584596802565 2 77 "GO:0003777" "microtubule motor activity" 0.812177456431085
-68 0.258382846175233 2 61 "GO:0003779" "actin binding" 0.812177456431085
-68 0.747623610540999 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.812177456431085
-68 0.703242254614828 -1 7 "GO:0003812" "obsolete alternative-complement-pathway C3/C5 convertase activity" 0.812177456431085
-68 0.747623610540999 2 5 "GO:0003834" "beta-carotene 15,15'-monooxygenase activity" 0.812177456431085
-68 0.665653731693781 -1 9 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.812177456431085
-68 0.683762269533417 2 8 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 0.812177456431085
-68 0.747623610540999 2 5 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 0.812177456431085
-18 0.759301598278604 2 66 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.823210750839128
586 0.00522460728128696 5 5 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.11777135579901
355 0.0323458006378774 5 8 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.365404220623468
-68 0.724388385471629 4 6 "GO:0003884" "D-amino-acid oxidase activity" 0.812177456431085
129 0.10835457094872 2 34 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.667182980677484
-68 0.258382846175233 4 61 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.812177456431085
-68 0.379636627687104 -1 37 "GO:0003900;GO:0003901;GO:0003902" "obsolete DNA-directed RNA polymerase I activity" 0.812177456431085
-68 0.703242254614828 2 7 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.812177456431085
-68 0.617648595371769 2 12 "GO:0003909;GO:0003910" "DNA ligase activity" 0.812177456431085
878 7.27290730020261e-07 3 7 "GO:0003913;GO:0003904" "deoxyribodipyrimidine photo-lyase activity" 4.91830356176201e-05
-69 0.152943940808485 4 97 "GO:0003924" "GTPase activity" 0.812177456431085
-68 0.297048409860902 -1 52 "GO:0003925" "obsolete small monomeric GTPase activity" 0.812177456431085
-68 0.479682396464213 -1 24 "GO:0003936" "obsolete hydrogen-transporting two-sector ATPase activity" 0.812177456431085
-68 0.603319526879764 2 13 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.812177456431085
267 0.0718105707207928 5 10 "GO:0003960" "NADPH:quinone reductase activity" 0.528118043151636
-68 0.683762269533417 4 8 "GO:0003964" "RNA-directed DNA polymerase activity" 0.812177456431085
-68 0.724388385471629 6 6 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.812177456431085
-68 0.552189740192395 2 17 "GO:0003993" "acid phosphatase activity" 0.812177456431085
