"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2 0.903082555350662 2 25 "GO:0000026;GO:0000030" "mannosyltransferase activity" 0.958387405621387
-2 0.958387405621387 2 5 "GO:0000049" "tRNA binding" 0.958387405621387
-2 0.925414699504703 4 15 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.958387405621387
-2 0.950025415393452 3 7 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.958387405621387
-2 0.897329046345463 7 28 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleoside-diphosphatase activity" 0.958387405621387
27 0.000387073085060807 -1 116 "GO:0001584" "obsolete rhodopsin-like receptor activity" 0.0299152198596995
-2 0.950025415393452 2 7 "GO:0001641;GO:0001640;GO:0098988" "group II metabotropic glutamate receptor activity" 0.958387405621387
5 0.170296415028538 3 480 "GO:0003677" "DNA binding" 0.958387405621387
-2 0.922888982193922 2 16 "GO:0003682" "chromatin binding" 0.958387405621387
-2 0.936516210370522 5 11 "GO:0003684" "damaged DNA binding" 0.958387405621387
13 0.015745612083892 2 221 "GO:0003700;GO:0140110" "transcription regulator activity" 0.774397830671416
-2 0.950025415393452 -1 7 "GO:0003702" "obsolete RNA polymerase II transcription factor activity" 0.958387405621387
-2 0.946328931680248 2 8 "GO:0003713;GO:0003712" "transcription coregulator activity" 0.958387405621387
-2 0.718656598431099 3 209 "GO:0003723" "RNA binding" 0.958387405621387
-2 0.922888982193922 2 16 "GO:0003725" "double-stranded RNA binding" 0.958387405621387
-2 0.703733066859692 2 232 "GO:0003735" "structural constituent of ribosome" 0.958387405621387
-2 0.858234571128979 2 53 "GO:0003743" "translation initiation factor activity" 0.958387405621387
-2 0.891882817263917 2 31 "GO:0003746" "translation elongation factor activity" 0.958387405621387
-2 0.859587536150487 2 52 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 0.958387405621387
-2 0.903082555350662 3 25 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.958387405621387
-2 0.928029169989943 -1 14 "GO:0003763" "obsolete chaperonin ATPase activity" 0.958387405621387
-2 0.783847253930357 4 123 "GO:0003774" "motor activity" 0.958387405621387
-2 0.828979064085818 2 77 "GO:0003777" "microtubule motor activity" 0.958387405621387
-2 0.847848012114851 2 61 "GO:0003779" "actin binding" 0.958387405621387
-2 0.958387405621387 3 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.958387405621387
-2 0.950025415393452 -1 7 "GO:0003812" "obsolete alternative-complement-pathway C3/C5 convertase activity" 0.958387405621387
-2 0.958387405621387 5 5 "GO:0003834" "beta-carotene 15,15'-monooxygenase activity" 0.958387405621387
-2 0.942870633978743 -1 9 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.958387405621387
-2 0.946328931680248 6 8 "GO:0003841;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 0.958387405621387
-2 0.958387405621387 7 5 "GO:0003846" "2-acylglycerol O-acyltransferase activity" 0.958387405621387
-2 0.84170618881715 2 66 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.958387405621387
