"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-18 0.711773623090547 2 25 "GO:0000026;GO:0000030" "mannosyltransferase activity" 0.879285402251181
-18 0.869533623298303 2 5 "GO:0000049" "tRNA binding" 0.879285402251181
-18 0.775057369942699 3 15 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.879285402251181
-18 0.845640448472678 6 7 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.879285402251181
-18 0.695685598484988 5 28 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleoside-diphosphatase activity" 0.879285402251181
40 0.0808447281155297 -1 116 "GO:0001584" "obsolete rhodopsin-like receptor activity" 0.879285402251181
-18 0.845640448472678 3 7 "GO:0001641;GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.879285402251181
-12 0.30105225388064 2 480 "GO:0003677" "DNA binding" 0.879285402251181
-18 0.767845426229691 2 16 "GO:0003682" "chromatin binding" 0.879285402251181
-18 0.806861840323324 2 11 "GO:0003684" "damaged DNA binding" 0.879285402251181
13 0.452727981805278 2 221 "GO:0003700;GO:0140110" "transcription regulator activity" 0.879285402251181
-18 0.845640448472678 -1 7 "GO:0003702" "obsolete RNA polymerase II transcription factor activity" 0.879285402251181
-18 0.835037555506634 3 8 "GO:0003713;GO:0003712" "transcription coregulator activity" 0.879285402251181
-2 0.90087529254122 2 209 "GO:0003723" "RNA binding" 0.909278979971642
191 0.00179391544483186 3 16 "GO:0003725" "double-stranded RNA binding" 0.044114011620638
-4 0.814676217057513 2 232 "GO:0003735" "structural constituent of ribosome" 0.879285402251181
-18 0.589594870326089 2 53 "GO:0003743" "translation initiation factor activity" 0.879285402251181
-18 0.680555322532048 2 31 "GO:0003746" "translation elongation factor activity" 0.879285402251181
-18 0.593158809796436 3 52 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 0.879285402251181
-18 0.711773623090547 4 25 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.879285402251181
-18 0.782533674735037 -1 14 "GO:0003763" "obsolete chaperonin ATPase activity" 0.879285402251181
-18 0.408572683502211 2 123 "GO:0003774" "motor activity" 0.879285402251181
-18 0.514736861421606 6 77 "GO:0003777" "microtubule motor activity" 0.879285402251181
-18 0.562524506353966 4 61 "GO:0003779" "actin binding" 0.879285402251181
-18 0.869533623298303 3 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.879285402251181
-18 0.845640448472678 -1 7 "GO:0003812" "obsolete alternative-complement-pathway C3/C5 convertase activity" 0.879285402251181
-18 0.869533623298303 3 5 "GO:0003834" "beta-carotene 15,15'-monooxygenase activity" 0.879285402251181
-18 0.825108382737381 -1 9 "GO:0003840" "obsolete gamma-glutamyltransferase activity" 0.879285402251181
-18 0.835037555506634 5 8 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 0.879285402251181
