gene,logP
isogroup0,-0.743015559690364
isogroup1,-0.612047828883363
isogroup10,0.277853386549439
isogroup100,0.0600900813991755
isogroup1000,0.735796331331896
isogroup10000,-0.920858158500138
isogroup10001,1.77990786163905
isogroup10002,1.97952375916568
isogroup10003,0.128582098470364
isogroup10004,-0.067386543445692
isogroup10005,-0.0590808356849229
isogroup10007,-0.041422668287741
isogroup10008,-0.384058758954126
isogroup10009,-0.0200235585058745
isogroup1001,-2.11363882861926
isogroup10010,0.231078076406164
isogroup10011,0.0178408679542695
isogroup10012,1.95326930210288
isogroup10013,1.40144880887823
isogroup10014,-0.186759055348734
isogroup10015,-0.0726597382374784
isogroup10016,0.0595944354758633
isogroup10017,0.320780992811708
isogroup10018,0.116851608262284
isogroup10019,-0.566714433614851
isogroup1002,-2.46867966307043
isogroup10020,0.0229197949498149
isogroup10021,0.415351656256703
isogroup10022,-0.619925916986869
isogroup10023,-0.963077188033226
isogroup10024,-0.788396062059434
isogroup10025,0.455375853157903
isogroup10026,0.091628671706604
isogroup10027,1.18584599917327
isogroup10029,0.408926504153161
isogroup1003,-2.03721457726416
isogroup10030,0.28584689235884
isogroup10031,0.315406450018844
isogroup10032,-0.00122392903955926
isogroup10033,0.596666997422324
isogroup10034,5.06511206637798
isogroup10035,-0.02761623907149
isogroup10036,0.584769582568008
isogroup10037,-0.0088499519705578
isogroup10038,-0.887724452381457
isogroup10039,0.0457498727942299
isogroup1004,0.177845112312498
isogroup10041,-0.278450956726836
isogroup10042,0.495929736485362
isogroup10044,0.802817509025049
isogroup10045,-0.0603696653427665
isogroup10047,-0.117457488815312
isogroup10048,-1.54307161426845
isogroup10049,0.050792308609762
isogroup1005,-1.74395437799516
isogroup10050,0.38917908303852
isogroup10051,-0.00922808799799011
isogroup10052,-1.53258839433007
isogroup10053,1.08923094964124
isogroup10054,-0.166161548732188
isogroup10055,0.480149046874716
isogroup10058,0.443498492312507
isogroup10059,0.08823984403973
isogroup1006,0.308307529653182
isogroup10060,-0.263981813315055
isogroup10061,-0.0749591599849965
isogroup10062,0.0327107276249995
isogroup10063,-0.289476013541319
isogroup10064,0.272105540911325
isogroup10065,0.0264390766091894
isogroup10066,0.708425956140816
isogroup10067,-0.554365450495322
isogroup10068,-0.199200944246002
isogroup10069,-0.332938509618926
isogroup1007,-0.603860345514133
isogroup10070,0.515120698671763
isogroup10071,0.323888828942626
isogroup10072,0.410485062910797
isogroup10073,1.58500964920379
isogroup10074,-2.31654429099888
isogroup10075,0.306075975378447
isogroup10077,0.0018079612290747
isogroup10078,-0.131272048623141
isogroup10079,0.933721118970917
isogroup1008,-0.354868445136569
isogroup10080,0.196475434299853
isogroup10081,-0.28599014443156
isogroup10082,0.23132057281397
isogroup10083,-0.488571737355849
isogroup10084,-0.527811814841327
isogroup10086,-0.258605753586258
isogroup10087,0.344390145686027
isogroup10088,-0.0805105288937705
isogroup10089,-0.0836627571529992
isogroup1009,0.123969097851114
isogroup10090,0.777770033350899
isogroup10092,0.0506578980946427
isogroup10093,-0.443929941453966
isogroup10094,0.386928026615366
isogroup10095,-0.197659253785541
isogroup10096,-1.54453084519563
isogroup10098,-0.156293002677836
isogroup101,-0.348576493907395
isogroup1010,-0.587472002931812
