gene,Fish_kME
isogroup0,0
isogroup1,0
isogroup10,0
isogroup100,0
isogroup1000,0
isogroup10000,0
isogroup10001,0
isogroup10002,0.906745061428605
isogroup10003,0
isogroup10004,0
isogroup10005,0
isogroup10008,0
isogroup10009,0
isogroup1001,0
isogroup10011,0
isogroup10012,0
isogroup10013,0.659816268556558
isogroup10014,0
isogroup10015,0
isogroup10016,0
isogroup10017,0
isogroup10018,0
isogroup1002,0
isogroup10020,0
isogroup10021,0
isogroup10022,0
isogroup10023,0
isogroup10024,0
isogroup10025,0
isogroup10026,0
isogroup10027,0
isogroup10029,0
isogroup1003,0
isogroup10030,0
isogroup10031,0
isogroup10032,0
isogroup10034,0.661499327483203
isogroup10035,0
isogroup10036,0
isogroup10037,0
isogroup10038,0
isogroup10039,0
isogroup1004,0
isogroup10041,0
isogroup10042,0
isogroup10044,0
isogroup10045,0
isogroup10047,0
isogroup10048,0
isogroup10049,0
isogroup1005,0
isogroup10050,0
isogroup10051,0
isogroup10052,0
isogroup10055,0
isogroup10058,0
isogroup1006,0
isogroup10060,0
isogroup10061,0
isogroup10062,0
isogroup10063,0
isogroup10064,0
isogroup10065,0
isogroup10066,0
isogroup10067,0
isogroup10068,0
isogroup1007,0
isogroup10070,0
isogroup10071,0
isogroup10073,0.683191237589475
isogroup10074,0
isogroup10075,0
isogroup10077,0
isogroup10078,0
isogroup10079,0
isogroup1008,0
isogroup10080,0
isogroup10081,0
isogroup10082,0
isogroup10083,0
isogroup10084,0
isogroup10086,0
isogroup10087,0
isogroup10088,0
isogroup1009,0
isogroup10090,0
isogroup10092,0
isogroup10093,0
isogroup10094,0
isogroup10095,0
isogroup10096,0
isogroup10098,0
isogroup101,0
isogroup1010,0
isogroup10102,0
isogroup10103,0
isogroup10104,0
isogroup10105,0
isogroup10107,0
isogroup10108,0
isogroup10109,0
isogroup1011,0
isogroup10110,0
isogroup10111,0
isogroup10112,0
isogroup10113,0
isogroup10114,0
isogroup10115,0
isogroup10116,0
isogroup10117,0
isogroup10118,0
isogroup10119,0
isogroup1012,0
isogroup10120,0
isogroup10121,0
isogroup10123,0
isogroup10124,0
isogroup10125,0
isogroup10126,0
isogroup10127,0
isogroup1013,0
isogroup10130,0
isogroup10132,0
isogroup10133,0
isogroup10134,0
isogroup10139,0
isogroup1014,0
isogroup10140,0
isogroup10142,0
isogroup10143,0.621612750253323
isogroup10144,0
isogroup10145,0
isogroup10147,0
isogroup10148,0
isogroup10149,0
isogroup1015,0
isogroup10150,0
isogroup10151,0
isogroup10152,0
isogroup10154,0
isogroup10155,0
isogroup10157,0
isogroup1016,0
isogroup10160,0
isogroup10162,0
isogroup10164,0
isogroup10165,0
isogroup10167,0
isogroup10168,0
isogroup10169,0
isogroup1017,0
isogroup10170,0
isogroup10171,0
isogroup10172,0
isogroup10176,0
isogroup10177,0
isogroup10178,0
isogroup10179,0
isogroup1018,0
isogroup10180,0
isogroup10181,0
isogroup10182,0
isogroup10183,0
isogroup10184,0
isogroup10185,0
isogroup10187,0
isogroup10189,0
isogroup1019,0
isogroup10190,0
isogroup10191,0
isogroup10192,0
isogroup10193,0
isogroup10194,0
isogroup10195,0
isogroup10197,0
isogroup10198,0
isogroup102,0
isogroup1020,0
