name	term	lev	seq	value
"superoxide metabolic process"	GO:0006801	2	comp10308_c0_seq1	-0.232884060728745
"superoxide metabolic process"	GO:0006801	2	comp1159_c0_seq1	-0.00569969743589749
"superoxide metabolic process"	GO:0006801	2	comp1297_c0_seq1	-0.0783775384615386
"superoxide metabolic process"	GO:0006801	2	comp3419_c0_seq1	-0.16260335096154
"superoxide metabolic process"	GO:0006801	2	comp35777_c0_seq1	0.146414748251748
"superoxide metabolic process"	GO:0006801	2	comp9451_c0_seq1	0.106246060625815
"glycerol-3-phosphate metabolic process"	GO:0006072;GO:0052646	2	comp31076_c0_seq1	-0.55540251153846
"glycerol-3-phosphate metabolic process"	GO:0006072;GO:0052646	2	comp3910_c0_seq1	-0.804189282051283
"glycerol-3-phosphate metabolic process"	GO:0006072;GO:0052646	2	comp9906_c0_seq1	5.62980567521368
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp10611_c0_seq1	-0.038954911455451
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp12515_c0_seq1	-0.242870431318682
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp19173_c0_seq1	-0.157838723646719
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp25979_c0_seq1	0.138107948717948
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp29548_c0_seq1	1.45207864615385
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp41688_c0_seq1	3.70553664102563
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp49681_c0_seq1	-1.10283976923077
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp51599_c0_seq1	-0.270996692307691
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp53031_c0_seq1	-0.151584097902098
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp85084_c0_seq1	0.837870625174825
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp11797_c0_seq1	-0.0558800323639774
"pyrimidine nucleobase biosynthetic process"	GO:0006207;GO:0019856;GO:0006206	6	comp22709_c0_seq1	-0.0227178765652951
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp10073_c0_seq1	0.643390480769231
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp10743_c0_seq1	-0.100152482517483
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp10758_c0_seq1	-0.0518903487179472
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp1146_c0_seq1	-0.155020155870446
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp11688_c0_seq1	0.235100146520147
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp1960_c0_seq1	0.00336337499999995
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp1992_c0_seq1	-0.636177820512821
"cellular protein localization"	GO:0072594;GO:0033365;GO:0034613;GO:0070727	2	comp23987_c0_seq1	-0.0492349960552267
