name	term	lev	seq	value
"tRNA modification"	GO:0006400;GO:0008616;GO:0046116	2	comp14704_c0_seq1	-0.00494353028023337
"tRNA modification"	GO:0006400;GO:0008616;GO:0046116	2	comp25213_c0_seq1	0.140187133015069
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10013_c0_seq1	0.00917154797010446
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10015_c0_seq1	0.00851608363453059
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10021_c0_seq1	0.0162564956898151
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10050_c0_seq1	0.0235811119427102
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10130_c0_seq1	-0.0476071405747415
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10181_c0_seq1	0.0185031144571663
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10239_c0_seq1	0.12294861391709
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10247_c0_seq1	0.0551034319811843
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10313_c0_seq1	-0.00441423546748322
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10457_c0_seq1	-0.00767879252147761
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10495_c0_seq1	0.0161705629762122
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1054_c0_seq1	-0.0486604467950966
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10611_c0_seq1	-0.0519807852597333
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10661_c0_seq1	-0.0132685787752578
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1067_c0_seq1	-0.130138683268185
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10951_c0_seq1	-0.0231442899007034
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp10964_c0_seq1	0.0165046596892699
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11001_c0_seq1	0.0222630355937038
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11097_c0_seq1	0.00775060872862063
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11135_c0_seq1	0.00338519918026317
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11199_c0_seq1	-0.661518087657569
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11238_c0_seq1	0.00854816531629293
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11292_c0_seq1	-0.0514961417615625
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11389_c0_seq1	-0.0308162703923208
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11430_c0_seq1	0.0197047883478965
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11434_c0_seq1	-0.0278095439020197
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11448_c0_seq1	0.0290513402087259
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11493_c0_seq1	0.184798108185236
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11675_c0_seq1	0.0495176110587441
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11797_c0_seq1	-0.0225983648403896
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11860_c0_seq1	0.0264621991600093
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp11979_c0_seq1	0.0717040391059895
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12274_c0_seq1	-0.00301033129889836
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12288_c0_seq1	-0.00145411553862425
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12302_c0_seq1	-0.0496297578030194
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12495_c0_seq1	0.00828906571862138
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12515_c0_seq1	-0.169825773102699
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12588_c0_seq1	-0.00613055130912371
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12652_c0_seq1	0.0905065624847786
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12655_c0_seq1	0.0197256530863235
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12694_c0_seq1	-0.145224585242022
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12734_c0_seq1	0.0138440407105467
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12767_c0_seq1	-0.0206983944592742
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12768_c0_seq1	-0.28996618446023
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12793_c0_seq1	-0.0568360856910275
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12849_c0_seq1	0.117100827509393
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12903_c0_seq1	-0.125651555570176
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12909_c0_seq1	-0.0131819164869165
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp12963_c0_seq1	0.00968108213840038
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1299_c0_seq1	-0.02135013161589
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13219_c0_seq1	-0.038778158435896
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13243_c0_seq1	-0.0752512562374425
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1328_c0_seq1	-0.0184751213728718
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13298_c0_seq1	0.021514946107785
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1333_c0_seq1	0.00814703088002148
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13433_c0_seq1	0.500515101860527
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13446_c0_seq1	-0.294207459964013
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13458_c0_seq1	-0.0498227071632388
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13477_c0_seq1	-0.0472406121725634
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13502_c0_seq1	0.0655379656680303
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13524_c0_seq1	-0.0459548230599636
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13574_c0_seq1	-0.0402870000513605
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13580_c0_seq1	-0.0676492226243419
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13589_c0_seq1	-0.0747616387120652
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13642_c0_seq1	-0.00880294254661138
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13701_c0_seq1	-0.150388563358399
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13774_c0_seq1	-0.0281820015074105
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp13824_c0_seq1	0.00109103917892588
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1383_c0_seq1	-0.0477613170120879
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14043_c0_seq1	-0.00584360852354053
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14083_c0_seq1	-0.00602302216395235
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14092_c0_seq1	-0.0777259691597996
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1412_c0_seq1	-0.00978429497838972
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14188_c0_seq1	-0.0254512675039651
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1420_c0_seq1	-0.0164892704039625
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1423_c0_seq1	-0.00890331939705571
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1425_c0_seq1	-0.0198286274656519
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14267_c0_seq1	-0.000308879807558767
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14330_c0_seq1	-0.0420570276111988
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1435_c0_seq1	-0.0230638521513125
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1442_c0_seq1	-0.0224813782486131
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1454_c0_seq1	0.180748058121096
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1462_c0_seq1	0.0405342717815909
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1463_c0_seq1	-0.0221809011332163
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14704_c0_seq1	-0.00494353028023337
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14718_c0_seq1	-0.0129732993764244
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp14727_c0_seq1	0.0172973095531583
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1485_c0_seq1	-0.0457381102163061
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15029_c0_seq1	-0.0176080868121675
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15042_c0_seq1	-0.0454663833812492
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15071_c0_seq1	0.00816756859872281
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15319_c0_seq1	0.209171995157405
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15345_c0_seq1	0.0336605741050106
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15385_c0_seq1	-0.0517928415846666
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15396_c0_seq1	0.0283847238948682
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15420_c0_seq1	-0.183143460508795
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp1547_c0_seq1	0.0393125964231526
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15667_c0_seq1	-0.132588247162513
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15688_c0_seq1	-0.00380834624875546
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15746_c0_seq1	-0.146304777673976
"organic cyclic compound metabolic process"	GO:0006139;GO:0006725;GO:0046483;GO:1901360	2	comp15786_c0_seq1	-0.0107784565970526
