name	term	lev	seq	value
"obsolete aminoadipate-semialdehyde dehydrogenase complex"	GO:0005949	-1	comp62140_c0_seq1	0.596916897435889
"obsolete aminoadipate-semialdehyde dehydrogenase complex"	GO:0005949	-1	comp68375_c0_seq1	0.00919241814595662
"obsolete aminoadipate-semialdehyde dehydrogenase complex"	GO:0005949	-1	comp73639_c0_seq1	6.26731930769232
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp24893_c0_seq1	-0.0458324764638347
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp3333_c0_seq1	0.0879590874424725
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp41129_c0_seq1	-0.28448284981685
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp45195_c0_seq1	0.0356584923076921
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp46233_c0_seq1	-0.339715138461538
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp47041_c0_seq1	-0.194957168269231
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp52754_c0_seq1	-0.26142
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp58344_c0_seq1	0.39507578021978
"phosphatidylinositol 3-kinase complex"	GO:0005942	3	comp6264_c0_seq1	0.0783705020242913
"F-actin capping protein complex"	GO:0008290	2	comp803_c0_seq1	0.244769770629372
"F-actin capping protein complex"	GO:0008290	2	comp936_c0_seq1	-0.277838091208789
"succinate-CoA ligase complex (GDP-forming)"	GO:0042709;GO:0045239;GO:0045244;GO:0030062	5	comp2642_c0_seq1	-0.0491035059277642
"succinate-CoA ligase complex (GDP-forming)"	GO:0042709;GO:0045239;GO:0045244;GO:0030062	5	comp3823_c0_seq1	-1.53565986363636
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp10231_c0_seq1	-0.309928041258742
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp10312_c0_seq1	-0.0287124266714593
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp10976_c0_seq1	-0.0166935032967022
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp11121_c1_seq1	-0.514403717948724
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp11121_c0_seq1	-1.57086515384615
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp13885_c0_seq1	-0.549313207692309
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp13900_c0_seq1	0.0816394430769232
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp18392_c0_seq1	-0.416019471794872
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp20996_c0_seq1	0.301044749999999
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp27313_c0_seq1	0.119462118524333
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp3174_c0_seq1	-0.177546119123932
"calcium- and calmodulin-dependent protein kinase complex"	GO:0005954	2	comp36973_c0_seq1	-0.0936915051664754
