"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
711 0.572243086058642 3 3 "GO:0000012" "single strand break repair" 1
228 0.729230768937131 2 11 "GO:0000041" "transition metal ion transport" 1
172 0.759706086136356 -1 15 "GO:0000059" "obsolete protein import into nucleus, docking" 1
-790 0.608457430156987 3 2 "GO:0000087;GO:0000279;GO:0098763;GO:0022403;GO:0044848" "M phase" 1
-1518 0.0490032505675292 5 8 "GO:0000096;GO:0006555" "sulfur amino acid metabolic process" 1
-1571 0.107392488048826 4 5 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 1
-1992 0.113597090462378 2 3 "GO:0000154" "rRNA modification" 1
-378 0.157257886223817 2 67 "GO:0000160" "phosphorelay signal transduction system" 1
-583 0.221524037498084 2 21 "GO:0000226" "microtubule cytoskeleton organization" 1
1635 0.0663554641394622 3 6 "GO:0000278" "mitotic cell cycle" 1
-197 0.898447168770508 5 2 "GO:0000280" "nuclear division" 1
365 0.812969040968159 7 2 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
-1241 0.324345750325326 4 3 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "tRNA 5'-leader removal" 1
8 0.960033194396362 5 212 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048518;GO:0048583" "positive regulation of biological process" 1
432 0.731930796654085 2 3 "GO:0003006;GO:0022414" "developmental process involved in reproduction" 1
245 0.12547412662925 2 191 "GO:0005975" "carbohydrate metabolic process" 1
147 0.849142165059028 3 8 "GO:0005976;GO:0044264" "polysaccharide metabolic process" 1
-435 0.689738448088704 4 4 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "cellular glucan metabolic process" 1
507 0.742377334435681 4 2 "GO:0005978;GO:0009250" "glycogen biosynthetic process" 1
2138 0.0896151674084951 2 3 "GO:0006003" "fructose 2,6-bisphosphate metabolic process" 1
262 0.691008618042523 4 11 "GO:0006006" "glucose metabolic process" 1
80 0.928288826173766 3 6 "GO:0006012" "galactose metabolic process" 1
-1591 0.302142103839704 4 2 "GO:0006014;GO:0019321" "D-ribose metabolic process" 1
810 0.457603365029663 2 4 "GO:0006044" "N-acetylglucosamine metabolic process" 1
1167 0.0383794450582817 2 15 "GO:0006066" "alcohol metabolic process" 1
1205 0.118245437170249 4 8 "GO:0006071;GO:0019400" "alditol metabolic process" 1
-821 0.514649253194323 2 3 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 1
2825 0.0248808974115993 5 3 "GO:0006084;GO:0006637;GO:0035383" "acyl-CoA metabolic process" 1
56 0.880581940987154 2 35 "GO:0006091" "generation of precursor metabolites and energy" 1
-326 0.636197697805941 3 10 "GO:0006094;GO:0019319;GO:0046364" "hexose biosynthetic process" 1
-865 0.574848076911775 5 2 "GO:0006097;GO:0046487;GO:0006081" "glyoxylate metabolic process" 1
-655 0.548264160542321 3 4 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "pentose-phosphate shunt" 1
