"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
494 0.694536945827083 6 3 "GO:0000012" "single strand break repair" 1
-494 0.45190993237763 2 11 "GO:0000041" "transition metal ion transport" 1
107 0.848836570702221 -1 15 "GO:0000059" "obsolete protein import into nucleus, docking" 1
1159 0.451749086425307 4 2 "GO:0000087;GO:0000279;GO:0098763;GO:0022403;GO:0044848" "mitotic M phase" 1
-1079 0.161298294025066 2 8 "GO:0000096;GO:0006555" "sulfur amino acid metabolic process" 1
-1253 0.198421153484502 5 5 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 1
-1825 0.146541422402428 4 3 "GO:0000154" "rRNA modification" 1
-188 0.481356710387396 2 67 "GO:0000160" "phosphorelay signal transduction system" 1
-123 0.796007361909272 4 21 "GO:0000226" "microtubule cytoskeleton organization" 1
947 0.286919053666125 3 6 "GO:0000278" "mitotic cell cycle" 1
-970 0.528671118369389 5 2 "GO:0000280" "nuclear division" 1
538 0.727055231876301 9 2 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 1
-1689 0.179238463872053 8 3 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "tRNA 5'-end processing" 1
-19 0.900034273867268 5 212 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048518;GO:0048583" "positive regulation of biological process" 1
2014 0.109157943280206 2 3 "GO:0003006;GO:0022414" "developmental process involved in reproduction" 1
272 0.0880412890981218 3 191 "GO:0005975" "carbohydrate metabolic process" 1
264 0.732018914254702 2 8 "GO:0005976;GO:0044264" "polysaccharide metabolic process" 1
-216 0.843113466024982 4 4 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "glycogen metabolic process" 1
732 0.634726353845879 2 2 "GO:0005978;GO:0009250" "glycogen biosynthetic process" 1
2345 0.0621646657830101 4 3 "GO:0006003" "fructose 2,6-bisphosphate metabolic process" 1
262 0.690439866816475 2 11 "GO:0006006" "glucose metabolic process" 1
86 0.923405891735406 5 6 "GO:0006012" "galactose metabolic process" 1
99 0.949104045623659 4 2 "GO:0006014;GO:0019321" "pentose metabolic process" 1
483 0.657574476249664 3 4 "GO:0006044" "N-acetylglucosamine metabolic process" 1
1046 0.0630666350740848 2 15 "GO:0006066" "alcohol metabolic process" 1
1243 0.106654641291643 4 8 "GO:0006071;GO:0019400" "glycerol metabolic process" 1
851 0.498707237536544 5 3 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 1
2424 0.0538241117273009 5 3 "GO:0006084;GO:0006637;GO:0035383" "acyl-CoA metabolic process" 1
210 0.569828643721208 2 35 "GO:0006091" "generation of precursor metabolites and energy" 1
-512 0.457589795764732 4 10 "GO:0006094;GO:0019319;GO:0046364" "hexose biosynthetic process" 1
448 0.771129154577732 6 2 "GO:0006097;GO:0046487;GO:0006081" "glyoxylate cycle" 1
-55 0.960149227346202 4 4 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "glucose 6-phosphate metabolic process" 1
556 0.444073832156811 3 9 "GO:0006099" "tricarboxylic acid cycle" 1
267 0.806450804746298 -1 4 "GO:0006100;GO:0006108" "malate metabolic process" 1
122 0.294984489457313 -1 370 "GO:0006118" "obsolete electron transport" 1
-154 0.874844087895877 2 5 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 1
954 0.448000120952605 2 3 "GO:0006122" "mitochondrial electron transport, ubiquinol to cytochrome c" 1
101 0.219206204486031 2 785 "GO:0006139;GO:0006725;GO:0046483;GO:1901360" "organic cyclic compound metabolic process" 1
766 0.43180644224077 2 5 "GO:0006144" "purine nucleobase metabolic process" 1
2386 0.121298629599761 3 2 "GO:0006166;GO:0043174" "nucleoside salvage" 1
-1089 0.317247376840393 3 4 "GO:0006189;GO:0006188;GO:0046040" "IMP biosynthetic process" 1
306 0.641490174764176 3 11 "GO:0006207;GO:0019856;GO:0006206" "pyrimidine nucleobase metabolic process" 1
-675 0.201372182374961 3 17 "GO:0006220;GO:0006221" "pyrimidine nucleotide metabolic process" 1
92 0.488462046449744 2 277 "GO:0006259" "DNA metabolic process" 1
-13 0.96412653704271 4 55 "GO:0006260" "DNA replication" 1
1377 0.273475949083882 5 3 "GO:0006265" "DNA topological change" 1
1827 0.235427088690946 4 2 "GO:0006268;GO:0032508;GO:0032392" "DNA unwinding involved in DNA replication" 1
534 0.729007081714717 3 2 "GO:0006269" "DNA replication, synthesis of RNA primer" 1
-251 0.689811399994668 3 12 "GO:0006270" "DNA replication initiation" 1
40 0.952090518893208 4 11 "GO:0006278;GO:0071897" "RNA-dependent DNA biosynthetic process" 1
109 0.497499921149111 3 190 "GO:0006281;GO:0006974" "DNA repair" 1
1275 0.241486462725559 6 4 "GO:0006284" "base-excision repair" 1
153 0.736381397514621 2 23 "GO:0006289" "nucleotide-excision repair" 1
113 0.799943223857487 2 24 "GO:0006298" "mismatch repair" 1
541 0.57838227248211 2 5 "GO:0006303;GO:0000726;GO:0006302" "double-strand break repair" 1
-16 0.96323646008787 4 42 "GO:0006306;GO:0006305;GO:0043414;GO:0044728;GO:0006304;GO:0032259" "DNA modification" 1
-423 0.313234132845028 3 27 "GO:0006310" "DNA recombination" 1
373 0.0286052683318715 3 167 "GO:0006325" "chromatin organization" 1
715 0.152910838642717 2 19 "GO:0006333" "chromatin assembly or disassembly" 1
777 0.0549632737048648 4 29 "GO:0006334;GO:0034728;GO:0065004;GO:0071824" "nucleosome assembly" 1
510 0.417044768755793 6 12 "GO:0006342;GO:0016458;GO:0045814;GO:0045892;GO:0097549;GO:0010629;GO:0010605;GO:0009892;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172;GO:0034401" "negative regulation of metabolic process" 1
241 0.63869814879533 6 18 "GO:0006352" "DNA-templated transcription, initiation" 1
1416 0.357678777519952 3 2 "GO:0006353" "DNA-templated transcription, termination" 1
287 0.662164479373482 2 11 "GO:0006354" "DNA-templated transcription, elongation" 1
-710 0.388519547186827 2 7 "GO:0006364;GO:0016072" "rRNA processing" 1
41 0.893288673209652 7 51 "GO:0006366;GO:0006351;GO:0097659" "transcription, DNA-templated" 1
462 0.63567211318993 2 5 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 1
-230 0.795650538478614 4 6 "GO:0006368" "transcription elongation from RNA polymerase II promoter" 1
1132 0.367908532825731 3 3 "GO:0006370;GO:0009452;GO:0036260" "7-methylguanosine mRNA capping" 1
50 0.803762775133078 3 120 "GO:0006396" "RNA processing" 1
363 0.405096150083703 2 25 "GO:0006397" "mRNA processing" 1
-160 0.512995518931442 2 80 "GO:0006399;GO:0034660" "ncRNA metabolic process" 1
1659 0.281180355601771 2 2 "GO:0006400;GO:0008616;GO:0046116" "tRNA modification" 1
-945 0.539566407927546 2 2 "GO:0006405;GO:0051168" "RNA export from nucleus" 1
