"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
494 0.249287686717451 2 3 "GO:0000015" "phosphopyruvate hydratase complex" 1
-329 0.0245200817766751 4 26 "GO:0000139;GO:0098588" "bounding membrane of organelle" 1
317 0.460844807979958 4 3 "GO:0000145;GO:0099023" "exocyst" 1
52 0.234012858340373 3 328 "GO:0000151;GO:1990234" "transferase complex" 1
-278 0.516986835948379 2 3 "GO:0000159" "protein phosphatase type 2A complex" 1
443 0.399489581063418 2 2 "GO:0000228" "nuclear chromosome" 1
82 0.562295008436888 2 28 "GO:0000785" "chromatin" 1
291 0.0466402222005917 2 26 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 1
-300 0.11939402373779 4 15 "GO:0000922;GO:0005815" "microtubule organizing center" 1
-191 0.336638203656677 6 14 "GO:0001518;GO:0034706" "sodium channel complex" 1
-25 0.703052827076547 1 137 "GO:0005576" "extracellular region" 1
131 0.421549955114478 2 21 "GO:0005581" "collagen trimer" 1
70 0.0554495934681946 2 517 "GO:0005622" "intracellular" 1
-544 0.204524035156161 5 3 "GO:0005638;GO:0005882" "lamin filament" 1
-21 0.898135247625667 2 20 "GO:0005643" "nuclear pore" 1
-296 0.573787273044942 2 2 "GO:0005658" "alpha DNA polymerase:primase complex" 1
-153 0.477875500501921 2 12 "GO:0005663" "DNA replication factor C complex" 1
-436 0.31002503565805 2 3 "GO:0005665" "RNA polymerase II, core complex" 1
28 0.864583184324432 2 21 "GO:0005667" "transcription factor complex" 1
-123 0.686023037212924 5 6 "GO:0005669" "transcription factor TFIID complex" 1
379 0.471151727416892 3 2 "GO:0005674" "transcription factor TFIIF complex" 1
-150 0.50354923286959 4 11 "GO:0005677;GO:0090568;GO:0017053" "chromatin silencing complex" 1
326 0.380134125725071 5 4 "GO:0005680;GO:0000152;GO:0031461" "anaphase-promoting complex" 1
-905 0.0349525512963699 2 3 "GO:0005681" "spliceosomal complex" 1
338 0.115321621713827 2 12 "GO:0005694" "chromosome" 1
-82 0.679855569902493 3 14 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 1 3 251 "GO:0005737" "cytoplasm" 1
