"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
204 0.634745205047141 2 3 "GO:0000015" "phosphopyruvate hydratase complex" 1
-227 0.120416032123672 3 26 "GO:0000139;GO:0098588" "bounding membrane of organelle" 1
267 0.533698841685595 2 3 "GO:0000145;GO:0099023" "exocyst" 1
77 0.078807117205908 3 328 "GO:0000151;GO:1990234" "transferase complex" 1
-147 0.731345673952747 2 3 "GO:0000159" "protein phosphatase type 2A complex" 1
489 0.35134676628513 3 2 "GO:0000228" "nuclear chromosome" 1
82 0.562394356486643 4 28 "GO:0000785" "chromatin" 1
319 0.0291089839452244 2 26 "GO:0000786;GO:0032993;GO:0044815" "nucleosome" 1
-143 0.455808026375855 4 15 "GO:0000922;GO:0005815" "microtubule organizing center" 1
-442 0.0261555672534184 4 14 "GO:0001518;GO:0034706" "voltage-gated sodium channel complex" 1
-137 0.0359654293977112 1 137 "GO:0005576" "extracellular region" 1
-94 0.561792178133941 2 21 "GO:0005581" "collagen trimer" 1
69 0.0594947215447444 2 515 "GO:0005622" "intracellular" 1
-386 0.367373961605624 2 3 "GO:0005638;GO:0005882" "lamin filament" 1
19 0.908971945641444 2 20 "GO:0005643" "nuclear pore" 1
155 0.768425439887385 2 2 "GO:0005658" "alpha DNA polymerase:primase complex" 1
28 0.895174790951993 2 12 "GO:0005663" "DNA replication factor C complex" 1
-230 0.590982725866205 2 3 "GO:0005665" "RNA polymerase II, core complex" 1
265 0.103356402651191 2 21 "GO:0005667" "transcription factor complex" 1
244 0.42090426586421 3 6 "GO:0005669" "transcription factor TFIID complex" 1
700 0.181961229833185 2 2 "GO:0005674" "transcription factor TFIIF complex" 1
178 0.427698677093778 3 11 "GO:0005677;GO:0090568;GO:0017053" "chromatin silencing complex" 1
351 0.34439212290415 3 4 "GO:0005680;GO:0000152;GO:0031461" "anaphase-promoting complex" 1
-805 0.0602717716465716 2 3 "GO:0005681" "spliceosomal complex" 1
429 0.0456050597779639 2 12 "GO:0005694" "chromosome" 1
80 0.687228773080276 2 14 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
-15 0.755068245393213 3 251 "GO:0005737" "cytoplasm" 1
