"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-383 0.349386548665172 3 54 "GO:0000030" "mannosyltransferase activity" 1
531 0.723250313737842 2 4 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 1
2567 0.0868296602668749 4 4 "GO:0000155;GO:0004673;GO:0140299" "protein histidine kinase activity" 1
250 0.90637783926999 2 2 "GO:0000156" "phosphorelay response regulator activity" 1
397 0.427215340380053 4 36 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
1064 0.239532303592377 4 11 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 1
-3784 0.0742792482429185 5 2 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 1
1462 0.490514726361221 2 2 "GO:0000225" "N-acetylglucosaminylphosphatidylinositol deacetylase activity" 1
71 0.962540725854923 3 4 "GO:0000234" "phosphoethanolamine N-methyltransferase activity" 1
-2533 0.232056816720243 5 2 "GO:0000250;GO:0031559" "lanosterol synthase activity" 1
2045 0.172619602538105 5 4 "GO:0000252;GO:0000253;GO:0004495;GO:0018451;GO:0018452;GO:0018453;GO:0048258" "5-exo-hydroxycamphor dehydrogenase activity" 1
121 0.954564431530209 6 2 "GO:0000285" "1-phosphatidylinositol-3-phosphate 5-kinase activity" 1
-3639 0.0152057791903166 2 4 "GO:0000287" "magnesium ion binding" 1
-236 0.561019450552434 2 55 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0004551;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleotide diphosphatase activity" 1
1234 0.560628216662049 6 2 "GO:0000827;GO:0000832;GO:0000828;GO:0033857" "inositol hexakisphosphate 5-kinase activity" 1
500 0.813582522357238 2 2 "GO:0001509;GO:0003923" "GPI-anchor transamidase activity" 1
990 0.350668421069808 2 8 "GO:0001517;GO:0001537;GO:0004394;GO:0015016;GO:0016232;GO:0017095;GO:0018721;GO:0018722;GO:0019111;GO:0018723;GO:0018724;GO:0018725;GO:0018726;GO:0018727;GO:0050659;GO:0050698" "N-acetylgalactosamine 4-O-sulfotransferase activity" 1
120 0.414157320281496 -1 434 "GO:0001584" "obsolete rhodopsin-like receptor activity" 1
4 0.998386094715647 4 3 "GO:0001614;GO:0016502;GO:0035586" "nucleotide receptor activity" 1
-332 0.621159018602096 2 20 "GO:0001641;GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 1
-1173 0.497893592271035 2 3 "GO:0001642" "group III metabotropic glutamate receptor activity" 1
2631 0.049704800894552 5 5 "GO:0001727" "lipid kinase activity" 1
1135 0.511922784690324 6 3 "GO:0001729" "ceramide kinase activity" 1
420 0.779573925362541 2 4 "GO:0001733" "galactosylceramide sulfotransferase activity" 1
-3987 0.0212612123118852 5 3 "GO:0001735" "prenylcysteine oxidase activity" 1
32 0.786220492441175 2 709 "GO:0003677" "DNA binding" 1
688 0.31742758723515 2 19 "GO:0003682" "chromatin binding" 1
-604 0.314015744406606 5 25 "GO:0003684" "damaged DNA binding" 1
