"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-363 0.37401117610687 2 54 "GO:0000030" "mannosyltransferase activity" 1
1162 0.437413012740979 2 4 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 1
3559 0.0173906770132263 4 4 "GO:0000155;GO:0004673;GO:0140299" "phosphorelay sensor kinase activity" 1
1062 0.615934743369707 2 2 "GO:0000156" "phosphorelay response regulator activity" 1
542 0.277755332969484 3 36 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
661 0.463748168639921 3 11 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 1
-1307 0.536799202111209 5 2 "GO:0000224" "peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity" 1
2008 0.3427400566282 2 2 "GO:0000225" "N-acetylglucosaminylphosphatidylinositol deacetylase activity" 1
-188 0.89991774198354 2 4 "GO:0000234" "phosphoethanolamine N-methyltransferase activity" 1
-974 0.645328462418145 4 2 "GO:0000250;GO:0031559" "oxidosqualene cyclase activity" 1
1175 0.432301202737338 5 4 "GO:0000252;GO:0000253;GO:0004495;GO:0018451;GO:0018452;GO:0018453;GO:0048258" "mevaldate reductase activity" 1
-977 0.644311099054699 2 2 "GO:0000285" "1-phosphatidylinositol-3-phosphate 5-kinase activity" 1
-860 0.56573642856886 2 4 "GO:0000287" "magnesium ion binding" 1
313 0.43879360012796 7 55 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0004551;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleotide diphosphatase activity" 1
-57 0.978788631306222 5 2 "GO:0000827;GO:0000832;GO:0000828;GO:0033857" "inositol-1,3,4,5,6-pentakisphosphate kinase activity" 1
-103 0.961452909716055 3 2 "GO:0001509;GO:0003923" "GPI-anchor transamidase activity" 1
802 0.448399853574228 5 8 "GO:0001517;GO:0001537;GO:0004394;GO:0015016;GO:0016232;GO:0017095;GO:0018721;GO:0018722;GO:0019111;GO:0018723;GO:0018724;GO:0018725;GO:0018726;GO:0018727;GO:0050659;GO:0050698" "N-acetylgalactosamine 4-O-sulfotransferase activity" 1
-359 0.014455587282743 -1 434 "GO:0001584" "obsolete rhodopsin-like receptor activity" 1
1305 0.450122774957708 3 3 "GO:0001614;GO:0016502;GO:0035586" "purinergic nucleotide receptor activity" 1
-1081 0.106574197829923 2 20 "GO:0001641;GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 1
-3067 0.075883544270888 4 3 "GO:0001642" "group III metabotropic glutamate receptor activity" 1
1087 0.416894696174218 2 5 "GO:0001727" "lipid kinase activity" 1
210 0.903312283856782 6 3 "GO:0001729" "ceramide kinase activity" 1
-435 0.771263573902282 2 4 "GO:0001733" "galactosylceramide sulfotransferase activity" 1
-4938 0.00426749863342185 2 3 "GO:0001735" "prenylcysteine oxidase activity" 1
127 0.276934189887151 3 708 "GO:0003677" "DNA binding" 1
1008 0.14231320853801 2 19 "GO:0003682" "chromatin binding" 1
-59 0.921503962828282 4 25 "GO:0003684" "damaged DNA binding" 1
255 0.849129273029704 5 5 "GO:0003697" "single-stranded DNA binding" 1
125 0.455997107388109 2 330 "GO:0003700;GO:0140110" "transcription regulator activity" 1
586 0.604547116102724 -1 7 "GO:0003702" "obsolete RNA polymerase II transcription factor activity" 1
-617 0.514741200065325 2 10 "GO:0003713;GO:0003712" "transcription coregulator activity" 1
1962 0.353792216426992 -1 2 "GO:0003715" "obsolete transcription termination factor activity" 1
223 0.251149974757794 3 243 "GO:0003723" "RNA binding" 1
545 0.383175806141121 2 23 "GO:0003725" "double-stranded RNA binding" 1
1078 0.279855390950706 5 9 "GO:0003726" "double-stranded RNA adenosine deaminase activity" 1
402 0.0977120149678222 2 154 "GO:0003735" "structural constituent of ribosome" 1
