Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
M001	30916321.0	7538566.0	4883.0	3799648.0	14732150.0	27643627.0	2519813.0	75.45222051656266	1.4	1.5	11.1	0.0	0.0	directional	15480035.0	15431403.0	1494585275.0	40974700.0	259257719.0	968077648.0	221074483.0
M002	35071826.0	8730408.0	5428.0	4417528.0	16942125.0	32157961.0	3426010.0	74.26027950562803	1.5	1.5	11.2	0.0	0.0	directional	17569880.0	17496518.0	1692445659.0	47228244.0	296132518.0	1088542544.0	254252983.0
M003	32921898.0	8784604.0	5062.0	3933952.0	15110503.0	28080811.0	2981102.0	73.67120868686537	1.4	1.5	10.4	0.0	0.0	directional	16488167.0	16428669.0	1589611308.0	44687604.0	278000689.0	1022858942.0	241626411.0
M004	29328107.0	7506533.0	4503.0	3705837.0	14204868.0	25695567.0	3050341.0	73.53170608254771	1.5	1.5	10.7	0.0	0.0	directional	14693833.0	14629771.0	1417585859.0	39884981.0	247957715.0	911801385.0	214220487.0
M005	32760043.0	8538756.0	5359.0	4188012.0	16098299.0	28590675.0	2744800.0	74.38094012253632	1.5	1.6	10.7	0.0	0.0	directional	16435515.0	16319169.0	1581039135.0	44043599.0	276400532.0	1016126509.0	239635108.0
M006	32744050.0	8415166.0	5484.0	4139045.0	15878554.0	28443540.0	2785948.0	74.51115667698953	1.5	1.5	10.6	0.0	0.0	directional	16422683.0	16315883.0	1585630088.0	43945164.0	277282897.0	1018949494.0	240936558.0
M007	31405476.0	7959922.0	4615.0	3923172.0	15055405.0	26820333.0	2662480.0	74.72534302112517	1.5	1.5	10.4	0.0	0.0	directional	15732233.0	15668628.0	1520799066.0	42027878.0	266141669.0	978169240.0	230689247.0
M008	35555387.0	8365754.0	5489.0	3971536.0	15692322.0	29268766.0	2981523.0	75.80675374857172	1.3	1.4	10.6	0.0	0.0	directional	17803513.0	17746385.0	1716439561.0	46902664.0	293239104.0	1127233499.0	247034334.0
M009	26847578.0	7045793.0	4100.0	3456014.0	13314762.0	24761097.0	2354139.0	74.0673718001595	1.5	1.6	11.3	0.0	0.0	directional	13447921.0	13395557.0	1296019770.0	36247510.0	226221007.0	833803891.0	194462999.0
M010	28736249.0	6987597.0	4595.0	3752963.0	14374313.0	27039188.0	2687746.0	74.81139808003792	1.5	1.6	11.4	0.0	0.0	directional	14393107.0	14338547.0	1392368218.0	38411592.0	243394506.0	894667137.0	209140111.0
