Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
M001_R1_001_val_1	30911438.0	26388388.0	85.37	4523050.0	14.63
M002_R1_001_val_1	35066398.0	29599036.0	84.41	5467362.0	15.59
M003_R1_001_val_1	32916836.0	27257658.0	82.81	5659178.0	17.19
M004_R1_001_val_1	29323604.0	25009433.0	85.29	4314171.0	14.71
M005_R1_001_val_1	32754684.0	27803217.0	84.88	4951467.0	15.12
M006_R1_001_val_1	32738566.0	27597890.0	84.3	5140676.0	15.7
M007_R1_001_val_1	31400861.0	26368443.0	83.97	5032418.0	16.03
M008_R1_001_val_1	35549898.0	30413328.0	85.55	5136570.0	14.45
M009_R1_001_val_1	26843478.0	22989976.0	85.64	3853502.0	14.36
M010_R1_001_val_1	28731654.0	24569621.0	85.51	4162033.0	14.49
M011-RESUB_R1_001_val_1	31101818.0	26487656.0	85.16	4614162.0	14.84
M012_R1_001_val_1	27572142.0	23806685.0	86.34	3765457.0	13.66
M013_R1_001_val_1	25041870.0	21356949.0	85.28	3684921.0	14.72
M014_R1_001_val_1	27014298.0	23262706.0	86.11	3751592.0	13.89
M015_R1_001_val_1	28508737.0	24370162.0	85.48	4138575.0	14.52
M016_R1_001_val_1	30010873.0	25218473.0	84.03	4792400.0	15.97
M017_R1_001_val_1	31409450.0	27084639.0	86.23	4324811.0	13.77
M018_R1_001_val_1	32777469.0	28050873.0	85.58	4726596.0	14.42
M019_R1_001_val_1	31154788.0	26498187.0	85.05	4656601.0	14.95
M020_R1_001_val_1	33362887.0	28145764.0	84.36	5217123.0	15.64
M021-RESUB_R1_001_val_1	31593962.0	27145258.0	85.92	4448704.0	14.08
M022_R1_001_val_1	22054621.0	19004406.0	86.17	3050215.0	13.83
M023_R1_001_val_1	29102800.0	24786251.0	85.17	4316549.0	14.83
M024_R1_001_val_1	29683652.0	25221401.0	84.97	4462251.0	15.03
M025_R1_001_val_1	29592889.0	25374558.0	85.75	4218331.0	14.25
M026_R1_001_val_1	27702526.0	23521848.0	84.91	4180678.0	15.09
