Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
M001_R1_001_val_1	2375975.0	9180986.0	17477229.0	1.4	1.5	11.1	940622994.0	163529269.0	608498393.0	139561142.0
M002_R1_001_val_1	2742770.0	10516931.0	20138499.0	1.5	1.5	11.2	1061171990.0	185654909.0	682981624.0	159137257.0
M003_R1_001_val_1	2388369.0	9168761.0	17206313.0	1.4	1.4	10.4	974661567.0	170481404.0	627537578.0	147879142.0
M004_R1_001_val_1	2322774.0	8906419.0	16251581.0	1.5	1.5	10.7	897061678.0	156951087.0	577237216.0	135392601.0
M005_R1_001_val_1	2598787.0	9977300.0	17902031.0	1.5	1.5	10.7	990200744.0	173181316.0	636754405.0	149786905.0
M006_R1_001_val_1	2567968.0	9829019.0	17789725.0	1.5	1.5	10.6	991175368.0	173468328.0	637080935.0	150439393.0
M007_R1_001_val_1	2438096.0	9356134.0	16802903.0	1.4	1.5	10.4	953232307.0	166778821.0	613489627.0	144366726.0
M008_R1_001_val_1	2541799.0	10001925.0	18921011.0	1.3	1.4	10.6	1104003886.0	189200867.0	723837602.0	159500682.0
M009_R1_001_val_1	2170790.0	8346817.0	15741786.0	1.5	1.6	11.3	822016308.0	143641996.0	528825512.0	123289407.0
M010_R1_001_val_1	2397037.0	9179231.0	17400705.0	1.5	1.6	11.4	897390627.0	156847002.0	576972803.0	134593849.0
M011-RESUB_R1_001_val_1	1513727.0	5851145.0	16803324.0	0.9	1.0	10.5	943326350.0	165288595.0	609975716.0	143893843.0
M012_R1_001_val_1	2258251.0	8685384.0	15959544.0	1.5	1.6	11.1	855910066.0	149318156.0	551275474.0	128413257.0
M013_R1_001_val_1	1235252.0	4759583.0	13332058.0	0.9	0.9	10.1	782127427.0	137410141.0	506659236.0	118731157.0
M014_R1_001_val_1	1346244.0	5184186.0	14631940.0	0.9	0.9	10.1	861625055.0	151356059.0	558420133.0	130686493.0
M015_R1_001_val_1	1423138.0	5466926.0	15051733.0	0.9	0.9	9.9	897469254.0	157791139.0	581117904.0	136618414.0
M016_R1_001_val_1	1368948.0	5276004.0	15314980.0	0.8	0.9	9.9	907217070.0	159814486.0	586731641.0	138711011.0
M017_R1_001_val_1	1361888.0	5249197.0	15699557.0	0.8	0.8	9.8	952751301.0	167671580.0	617901476.0	144867603.0
M018_R1_001_val_1	1585594.0	6103145.0	17406954.0	0.9	0.9	10.1	1021704215.0	179638413.0	662310334.0	154659775.0
M019_R1_001_val_1	1531590.0	5870877.0	16939966.0	0.9	0.9	10.4	964902381.0	169998401.0	624110761.0	146450786.0
M020_R1_001_val_1	1608180.0	6184785.0	17422066.0	0.9	0.9	10.0	1033464414.0	181783838.0	668959188.0	157506357.0
M021-RESUB_R1_001_val_1	1609140.0	6290258.0	17775047.0	0.9	1.0	10.8	997578470.0	173464160.0	651435901.0	147003964.0
M022_R1_001_val_1	1094235.0	4198227.0	12419855.0	0.9	0.9	10.6	691289012.0	121487248.0	447702560.0	104386887.0
M023_R1_001_val_1	1383480.0	5335199.0	15490409.0	0.9	0.9	10.3	888462023.0	156237010.0	575656844.0	134359081.0
M024_R1_001_val_1	1447286.0	5574668.0	15400476.0	0.9	0.9	9.9	919774399.0	161664772.0	595694476.0	139992721.0
M025_R1_001_val_1	1472994.0	5695647.0	15916715.0	0.9	1.0	10.4	913298918.0	159950161.0	592499420.0	137763981.0
M026_R1_001_val_1	1378864.0	5329037.0	15319613.0	0.9	1.0	10.8	843478890.0	147681306.0	547848038.0	125922032.0
