Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
M001_R1_001_val_1	11.1	1.4	1.5	940622994.0	14.63	26388388.0	30916321.0	75.45222051656266
M002_R1_001_val_1	11.2	1.5	1.5	1061171990.0	15.59	29599036.0	35071826.0	74.26027950562803
M003_R1_001_val_1	10.4	1.4	1.4	974661567.0	17.19	27257658.0	32921898.0	73.67120868686537
M004_R1_001_val_1	10.7	1.5	1.5	897061678.0	14.71	25009433.0	29328107.0	73.53170608254771
M005_R1_001_val_1	10.7	1.5	1.5	990200744.0	15.12	27803217.0	32760043.0	74.38094012253632
M006_R1_001_val_1	10.6	1.5	1.5	991175368.0	15.7	27597890.0	32744050.0	74.51115667698953
M007_R1_001_val_1	10.4	1.4	1.5	953232307.0	16.03	26368443.0	31405476.0	74.72534302112517
M008_R1_001_val_1	10.6	1.3	1.4	1104003886.0	14.45	30413328.0	35555387.0	75.80675374857172
M009_R1_001_val_1	11.3	1.5	1.6	822016308.0	14.36	22989976.0	26847578.0	74.0673718001595
M010_R1_001_val_1	11.4	1.5	1.6	897390627.0	14.49	24569621.0	28736249.0	74.81139808003792
M011-RESUB_R1_001_val_1	10.5	0.9	1.0	943326350.0	14.84	26487656.0	31106568.0	74.6138666185273
M012_R1_001_val_1	11.1	1.5	1.6	855910066.0	13.66	23806685.0	27576372.0	75.12054306385855
M013_R1_001_val_1	10.1	0.9	0.9	782127427.0	14.72	21356949.0	25045830.0	74.42926650182123
M014_R1_001_val_1	10.1	0.9	0.9	861625055.0	13.89	23262706.0	27018652.0	74.84903053341793
M015_R1_001_val_1	9.9	0.9	0.9	897469254.0	14.52	24370162.0	28513268.0	74.39584568610299
M016_R1_001_val_1	9.9	0.8	0.9	907217070.0	15.97	25218473.0	30015628.0	74.22488976171478
M017_R1_001_val_1	9.8	0.8	0.8	952751301.0	13.77	27084639.0	31414168.0	75.53847082761169
M018_R1_001_val_1	10.1	0.9	0.9	1021704215.0	14.42	28050873.0	32782456.0	75.64790123145696
M019_R1_001_val_1	10.4	0.9	0.9	964902381.0	14.95	26498187.0	31159671.0	75.76818590616132
M020_R1_001_val_1	10.0	0.9	0.9	1033464414.0	15.64	28145764.0	33368168.0	74.85579765418618
M021-RESUB_R1_001_val_1	10.8	0.9	1.0	997578470.0	14.08	27145258.0	31598978.0	74.97893937199073
M022_R1_001_val_1	10.6	0.9	0.9	691289012.0	13.83	19004406.0	22057948.0	74.06561198526663
M023_R1_001_val_1	10.3	0.9	0.9	888462023.0	14.83	24786251.0	29107338.0	73.97435256864424
M024_R1_001_val_1	9.9	0.9	0.9	919774399.0	15.03	25221401.0	29688230.0	74.7090921503895
M025_R1_001_val_1	10.4	0.9	1.0	913298918.0	14.25	25374558.0	29597534.0	74.43910366443436
M026_R1_001_val_1	10.8	0.9	1.0	843478890.0	15.09	23521848.0	27706649.0	75.31602236224016
