Module	Section	Sample Name	Source
Bismark	alignment	M006_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M006_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M020_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M020_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M013_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M013_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M018_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M018_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M007_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M007_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M023_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M023_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M008_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M008_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M012_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M012_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M019_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M019_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M003_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M003_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M021-RESUB_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M021-RESUB_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M011-RESUB_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M011-RESUB_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M026_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M026_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M004_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M004_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M010_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M010_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M016_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M016_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M024_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M024_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M025_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M025_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M002_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M002_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M009_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M009_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M022_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M022_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M005_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M005_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M015_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M015_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M001_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M001_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M014_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M014_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	alignment	M017_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M017_R1_001_val_1_bismark_bt2_PE_report.txt
Bismark	deduplication	M015_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M015_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M013_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M013_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M010_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M010_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M004_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M004_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M026_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M026_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M007_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M007_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M018_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M018_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M002_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M002_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M016_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M016_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M012_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M012_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M017_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M017_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M009_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M009_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M022_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M022_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M006_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M006_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M014_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M014_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M011-RESUB_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M011-RESUB_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M008_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M008_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
Bismark	deduplication	M021-RESUB_R1_001_val_1	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/2020-12-09-Bismark/20201221_L,0,-0.9/M021-RESUB_R1_001_val_1_bismark_bt2_pe.deduplication_report.txt
