Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M001_R1_001_val_1	M001_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40974700.0	0.0	20-130	21.0	80.29928662534512	125.69996758975661	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	warn
M001_R2_001_val_2	M001_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40974700.0	0.0	20-130	21.0	84.36860632111564	124.80695868426126	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M002_R1_001_val_1	M002_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47228244.0	0.0	20-130	21.0	79.07572677556132	125.41762710889695	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M002_R2_001_val_2	M002_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47228244.0	0.0	20-130	21.0	83.4669671804285	124.49737483358476	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M003_R1_001_val_1	M003_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44687604.0	0.0	20-130	21.0	77.4195174287957	125.49066566647879	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M003_R2_001_val_2	M003_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44687604.0	0.0	20-130	21.0	81.81959459613574	124.57808156373746	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M004_R1_001_val_1	M004_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39884981.0	0.0	20-130	21.0	80.2942518407117	125.71822629174626	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M004_R2_001_val_2	M004_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39884981.0	0.0	20-130	21.0	83.82235528107509	124.83483900869854	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M005_R1_001_val_1	M005_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44043599.0	0.0	20-130	21.0	78.39020191056296	125.19085976602412	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M005_R2_001_val_2	M005_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44043599.0	0.0	20-130	21.0	82.90400958009276	124.29155110598478	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M006_R1_001_val_1	M006_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43945164.0	0.0	20-130	21.0	78.31870104217988	125.62478540300816	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	warn
M006_R2_001_val_2	M006_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43945164.0	0.0	20-130	21.0	82.61351237573771	124.7163296284433	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M007_R1_001_val_1	M007_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42027878.0	0.0	20-130	21.0	79.07084024536259	125.6974706883845	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M007_R2_001_val_2	M007_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42027878.0	0.0	20-130	21.0	83.3301639837031	124.76629590958649	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M008_R1_001_val_1	M008_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46902664.0	0.0	20-130	20.0	80.36327972180482	125.70451371376261	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail
M008_R2_001_val_2	M008_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46902664.0	0.0	20-130	20.0	84.78433002821883	124.75276050417946	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass	fail
M009_R1_001_val_1	M009_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36247510.0	0.0	20-130	21.0	80.64373624280024	125.42238360648773	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M009_R2_001_val_2	M009_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36247510.0	0.0	20-130	21.0	84.45447669216114	124.47967016217115	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	fail
M010_R1_001_val_1	M010_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38411592.0	0.0	20-130	21.0	81.21562304431164	125.82320540111954	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
M010_R2_001_val_2	M010_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38411592.0	0.0	20-130	21.0	85.11326058825368	124.84182959664885	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	warn
M011-RESUB_R1_001_val_1	M011-RESUB_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41690063.0	0.0	20-130	21.0	78.19276939098788	125.8828186227495	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
