Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
M001_R1_001	41028992	18359558	41028992	6154348800	5031429	5997805433	2.543621950709066
M001_R2_001	41028992	23318252	41028992	6154348800	39677201	5967818151	3.0308754843404393
M002_R1_001	47298613	21378005	47298613	7094791950	6008498	6900325009	2.740981587204964
M002_R2_001	47298613	27054047	47298613	7094791950	48600398	6863765445	3.256283011935255
M003_R1_001	44749074	20196403	44749074	6712361100	5416684	6531930307	2.6880376414790916
M003_R2_001	44749074	25607370	44749074	6712361100	44770901	6498141326	3.191422076503006
M004_R1_001	39937202	17828811	39937202	5990580300	4796474	5838788936	2.5338340594482975
M004_R2_001	39937202	22656261	39937202	5990580300	37507033	5810174400	3.0114928932677856
M005_R1_001	44107707	20193967	44107707	6616156050	5604589	6424580544	2.8955711526786008
M005_R2_001	44107707	25492134	44107707	6616156050	44423388	6391490361	3.395713270698928
M006_R1_001	44008502	19694569	44008502	6601275300	5609467	6429501847	2.6021252741875496
M006_R2_001	44008502	25089751	44008502	6601275300	43294168	6396546957	3.1013453264098834
M007_R1_001	42091093	18709716	42091093	6313663950	5377629	6152577874	2.551388184035357
M007_R2_001	42091093	23897342	42091093	6313663950	42652889	6119879069	3.06929355972454
M008_R1_001	46973849	21013100	46973849	7046077350	6032810	6867551318	2.5336938999115586
M008_R2_001	46973849	26673083	46973849	7046077350	50179341	6829193170	3.0780840065572086
M009_R1_001	36306159	16374246	36306159	5445923850	4977659	5296257550	2.7482260883982064
M009_R2_001	36306159	20699330	36306159	5445923850	38243970	5267448552	3.2772272054446736
M010_R1_001	38476994	16962161	38476994	5771549100	5096298	5628904475	2.4715136703939677
M010_R2_001	38476994	21639750	38476994	5771549100	41485715	5596535665	3.0323476759471735
M011-RESUB_R1_001	41744299	18485302	41744299	6261644850	4459869	6110338969	2.416391932544689
M011-RESUB_R2_001	41744299	23413463	41744299	6261644850	40720829	6078418799	2.9261648558685023
M012_R1_001	36775518	16415756	36775518	5516327700	5583105	5368615838	2.6777209410528675
M012_R2_001	36775518	20815545	36775518	5516327700	40995143	5337736021	3.237510327749383
M013_R1_001	33703918	14701965	33703918	5055587700	4649489	4937615512	2.333500969630099
M013_R2_001	33703918	18836411	33703918	5055587700	34042508	4911039505	2.8591768865961913
M014_R1_001	36156118	15481980	36156118	5423417700	4785843	5309286307	2.1044182711576873
M014_R2_001	36156118	19974990	36156118	5423417700	37746571	5279139017	2.6602908162504244
M015_R1_001	38390122	16672479	38390122	5758518300	4835961	5629229928	2.2451673375770986
M015_R2_001	38390122	21412765	38390122	5758518300	41942079	5595706999	2.8273123834650313
M016_R1_001	40498558	17991814	40498558	6074783700	4912056	5922361948	2.509089368893908
M016_R2_001	40498558	22934462	40498558	6074783700	42156993	5889662729	3.047367283217014
M017_R1_001	41642013	18922039	41642013	6246301950	5105388	6075752154	2.7304122881859723
M017_R2_001	41642013	23901656	41642013	6246301950	39276939	6046370125	3.2008030767708884
M018_R1_001	43402573	19104775	43402573	6510385950	5392265	6354130278	2.400098445776475
M018_R2_001	43402573	24421585	43402573	6510385950	45992450	6317905307	2.9565166255619606
M019_R1_001	41186599	18143307	41186599	6177989850	5137717	6028432884	2.420803038386345
M019_R2_001	41186599	23228668	41186599	6177989850	42662633	5995032436	2.961439213112336
M020_R1_001	44644380	19367930	44644380	6696657000	5361550	6547714854	2.224126844185091
M020_R2_001	44644380	24940138	44644380	6696657000	48454130	6508800248	2.8052318044660196
M021-RESUB_R1_001	42199084	18287728	42199084	6329862600	4584707	6194945176	2.1314431690823747
M021-RESUB_R2_001	42199084	23423009	42199084	6329862600	40812374	6162040827	2.6512703925042547
M022_R1_001	29831834	13136324	29831834	4474775100	4048288	4366531212	2.4189794030095504
M022_R2_001	29831834	16798579	29831834	4474775100	34504130	4339544028	3.022075277034593
M023_R1_001	39406869	17798264	39406869	5911030350	5034133	5750724915	2.711971103311963
M023_R2_001	39406869	22565919	39406869	5911030350	42202473	5718532345	3.2565896908311425
M024_R1_001	39802113	17484161	39802113	5970316950	4939971	5830164788	2.3474827747629043
M024_R2_001	39802113	22365972	39802113	5970316950	43527974	5795667493	2.9252962357383723
M025_R1_001	39821033	17463317	39821033	5973154950	4927295	5835714498	2.300969138595676
M025_R2_001	39821033	22348324	39821033	5973154950	43657309	5801246933	2.8780103385732527
M026_R1_001	36838492	16271736	36838492	5525773800	4630683	5393049031	2.4019218629615273
M026_R2_001	36838492	20772897	36838492	5525773800	37128445	5364103229	2.92575441651267
