Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
M001_R1_001	2.543621950709066
M001_R2_001	3.0308754843404393
M002_R1_001	2.740981587204964
M002_R2_001	3.256283011935255
M003_R1_001	2.6880376414790916
M003_R2_001	3.191422076503006
M004_R1_001	2.5338340594482975
M004_R2_001	3.0114928932677856
M005_R1_001	2.8955711526786008
M005_R2_001	3.395713270698928
M006_R1_001	2.6021252741875496
M006_R2_001	3.1013453264098834
M007_R1_001	2.551388184035357
M007_R2_001	3.06929355972454
M008_R1_001	2.5336938999115586
M008_R2_001	3.0780840065572086
M009_R1_001	2.7482260883982064
M009_R2_001	3.2772272054446736
M010_R1_001	2.4715136703939677
M010_R2_001	3.0323476759471735
M011-RESUB_R1_001	2.416391932544689
M011-RESUB_R2_001	2.9261648558685023
M012_R1_001	2.6777209410528675
M012_R2_001	3.237510327749383
M013_R1_001	2.333500969630099
M013_R2_001	2.8591768865961913
M014_R1_001	2.1044182711576873
M014_R2_001	2.6602908162504244
M015_R1_001	2.2451673375770986
M015_R2_001	2.8273123834650313
M016_R1_001	2.509089368893908
M016_R2_001	3.047367283217014
M017_R1_001	2.7304122881859723
M017_R2_001	3.2008030767708884
M018_R1_001	2.400098445776475
M018_R2_001	2.9565166255619606
M019_R1_001	2.420803038386345
M019_R2_001	2.961439213112336
M020_R1_001	2.224126844185091
M020_R2_001	2.8052318044660196
M021-RESUB_R1_001	2.1314431690823747
M021-RESUB_R2_001	2.6512703925042547
M022_R1_001	2.4189794030095504
M022_R2_001	3.022075277034593
M023_R1_001	2.711971103311963
M023_R2_001	3.2565896908311425
M024_R1_001	2.3474827747629043
M024_R2_001	2.9252962357383723
M025_R1_001	2.300969138595676
M025_R2_001	2.8780103385732527
M026_R1_001	2.4019218629615273
M026_R2_001	2.92575441651267
