Module	Section	Sample Name	Source
Cutadapt	all_sections	M016_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M016_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M016_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M016_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M017_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M017_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M017_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M017_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M018_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M018_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M018_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M018_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M019_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M019_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M019_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M019_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M020_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M020_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M020_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M020_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M021-RESUB_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M021-RESUB_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M021-RESUB_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M021-RESUB_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M022_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M022_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M022_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M022_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M023_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M023_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M023_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M023_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M024_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M024_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M024_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M024_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M025_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M025_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M025_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M025_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M026_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M026_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M026_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/M026_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	M004_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M010_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M008_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M002_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M005_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M007_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M008_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M014_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M002_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M015_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M014_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M010_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M012_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M001_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M004_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M013_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M001_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M003_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M013_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M012_R1_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
Cutadapt	all_sections	M009_R2_001	/scratch/jeirinlo/jrodr979/Clonal_divergence_paper/2020-12-08-WGBS-analysis/WGBSequences/Trimmed_reads/trim_galore_JRC_WGBS.e2306284
