"gene_id"	"adj.pval"	"iso"	"gene"	"GO"	"kog"	"chr"	"start"	"end"
"comp4722_c0_seq1"	0	"isogroup4722"	NA	NA	NA	"Segkk2616_pilon"	13543	16146
"comp8042_c0_seq1"	2.00111818502677e-196	"isogroup8042"	"Nuclear protein ES2 ; protein DGCR14 E=4e-77"	NA	NA	"Segkk76_pilon"	3606	35264
"comp4043_c0_seq1"	2.27302082583463e-123	"isogroup4043"	NA	NA	NA	"Segkk76_pilon"	8039	11784
"comp1601_c0_seq1"	3.59254451906227e-114	"isogroup1601"	"Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein ; talin E=2e-138"	"GO:0005509"	"Cell cycle control, cell division, chromosome partitioning"	"Segkk3933_pilon"	150761	166740
"comp16283_c0_seq1"	5.21943562937104e-103	"isogroup16283"	NA	NA	NA	"Segkk1415_pilon"	9938	65123
"comp13345_c0_seq1"	1.44408990151862e-87	"isogroup13345"	"Fibrillins and related proteins containing Ca2+-binding EGF-like domains ; latent transforming growth factor beta binding protein E=2e-08"	"GO:0004888;GO:0007596;GO:0016020;GO:0005509"	"Signal transduction mechanisms"	"Segkk4309_pilon"	60992	86191
"comp23314_c0_seq1"	1.10048936959839e-76	"isogroup23314"	NA	NA	NA	"Segkk3937_pilon"	218677	222116
"comp86243_c0_seq1"	7.54378733507302e-76	"isogroup86243"	"E3 ubiquitin ligase interacting with arginine methyltransferase"	"GO:0003676;GO:0010992"	"Posttranslational modification, protein turnover, chaperones"	"Segkk1478_pilon"	328292	328510
"comp91804_c0_seq1"	5.7725150932543e-73	"isogroup91804"	NA	NA	NA	"Segkk1478_pilon"	328005	328257
"comp27856_c0_seq1"	8.99683574655083e-71	"isogroup27856"	NA	NA	NA	"Segkk3394_pilon"	60954	88645
"comp3119_c1_seq1"	1.16363857844087e-70	"isogroup3119"	"Collagens (type IV and type XIII), and related proteins ; collagen, type IV, alpha E=9e-165"	"GO:0005201;GO:0005581"	"Extracellular structures"	"Segkk557_pilon"	6942	27211
"comp12838_c0_seq1"	4.60576195338033e-70	"isogroup12838"	NA	NA	NA	"Segkk76_pilon"	8177	8866
"comp34021_c0_seq1"	4.88315091646863e-63	"isogroup34021"	NA	NA	NA	"Segkk3727_pilon"	11916	12267
"comp678_c0_seq1"	9.95155352216548e-57	"isogroup678"	"FOG: Immunoglobin and related proteins ; brain-specific angiogenesis inhibitor 3 E=2e-43"	NA	"Inorganic ion transport and metabolism"	"Segkk1799_pilon"	81804	91247
"comp14992_c0_seq1"	2.83256793546404e-56	"isogroup14992"	NA	NA	NA	"Segkk3363_pilon"	218235	243345
