V1	V2
isogroup10	GO:0005488;GO:0006826;GO:0006879;GO:0008199;GO:0004322;GO:0006950;GO:0006979
isogroup100	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0042254
isogroup1000	GO:0016020;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808;GO:0004275
isogroup10001	GO:0005515;GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0008076;GO:0005261;GO:0006812;GO:0005216;GO:0006811;GO:0007268
isogroup10002	GO:0004408;GO:0005739
isogroup10003	GO:0005515
isogroup10006	GO:0004519
isogroup10007	GO:0007242;GO:0004726
isogroup10008	GO:0004565;GO:0005975;GO:0009341
isogroup10013	GO:0003913;GO:0006281;GO:0003904
isogroup10014	GO:0046582
isogroup10015	GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0009328
isogroup10017	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111
isogroup10021	GO:0001104;GO:0006366
isogroup10023	GO:0003777;GO:0005524;GO:0005875;GO:0007018;GO:0008574
isogroup10029	GO:0003676
isogroup10031	GO:0005856;GO:0003779
isogroup10033	GO:0005007
isogroup10034	GO:0005524;GO:0016887;GO:0000166;GO:0017111;GO:0031177
isogroup10036	GO:0007155;GO:0005267;GO:0006813;GO:0016020;GO:0005001
isogroup10037	GO:0004014;GO:0006597;GO:0008295
isogroup10038	GO:0004618;GO:0006096
isogroup10039	GO:0005554
isogroup10041	GO:0008152;GO:0016491;GO:0051341
isogroup10042	GO:0005509
isogroup10045	GO:0003676
isogroup1005	GO:0005525;GO:0007264;GO:0015031
isogroup10050	GO:0006350;GO:0006952;GO:0005634;GO:0016021;GO:0045449;GO:0006366
isogroup10051	GO:0008570
isogroup10053	GO:0004287
isogroup10058	GO:0003677;GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
isogroup10063	GO:0003700;GO:0005634;GO:0006355;GO:0003677;GO:0007275;GO:0004722
isogroup10071	GO:0004143;GO:0007205
isogroup10072	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004707;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup10073	GO:0006626;GO:0042721;GO:0045039
isogroup10076	GO:0005509
isogroup10078	GO:0004861;GO:0005634;GO:0007050
isogroup10081	GO:0004842;GO:0005622;GO:0006464;GO:0006512;GO:0010992
isogroup10087	GO:0004888;GO:0016020;GO:0002226;GO:0009682
isogroup10089	GO:0004402
isogroup10090	GO:0030144
isogroup10093	GO:0008152;GO:0016836;GO:0016829;GO:0003994;GO:0005739;GO:0006099;GO:0006950;GO:0006979;GO:0034599
isogroup10097	GO:0003774;GO:0005524;GO:0016459
isogroup101	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
isogroup1010	GO:0003677;GO:0005634;GO:0006355
isogroup10101	GO:0006118;GO:0016491;GO:0005506;GO:0006814;GO:0016021;GO:0016655;GO:0019866
isogroup10104	GO:0008757
isogroup10105	GO:0004672;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0008091
isogroup10106	GO:0005525;GO:0006412;GO:0003746
isogroup1011	GO:0005509
isogroup10111	GO:0006508;GO:0030693;GO:0004197;GO:0016946;GO:0006915;GO:1900119
isogroup10113	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0015935;GO:0042254
isogroup10115	GO:0007155;GO:0002226;GO:0042381
isogroup10118	GO:0005525;GO:0003924
isogroup10128	GO:0008152;GO:0008484;GO:0004065
isogroup1013	GO:0004866;GO:0002226;GO:0009682
isogroup10130	GO:0004672;GO:0005524;GO:0006468;GO:0007242;GO:0009190;GO:0016849;GO:0004016;GO:0008294;GO:0004383
isogroup10132	GO:0016787
isogroup10135	GO:0003723;GO:0004521
isogroup10136	GO:0006810;GO:0008519;GO:0016020
isogroup10138	GO:0003676;GO:0005634;GO:0008270
isogroup10140	GO:0003700;GO:0005634;GO:0006355
isogroup10145	GO:0003735;GO:0005622;GO:0005840;GO:0006412
isogroup10149	GO:0003677;GO:0003700;GO:0005634;GO:0006355
isogroup10150	GO:0016251
isogroup10151	GO:0000159;GO:0007165;GO:0008601
isogroup10152	GO:0000145;GO:0006904
isogroup10153	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup10155	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup10157	GO:0004835;GO:0006464
isogroup10158	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0007268
isogroup10159	GO:0005215;GO:0006810;GO:0016021;GO:0016020;GO:0015101;GO:0015226
isogroup10160	GO:0005488;GO:0006810;GO:0016020;GO:0005743
isogroup10167	GO:0005509;GO:0005544;GO:0050819;GO:0047394
isogroup1017	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
isogroup10170	GO:0005507;GO:0006950;GO:0006979;GO:0034599
isogroup10175	GO:0005099
isogroup10177	GO:0003993;GO:0004871;GO:0005834;GO:0007186
isogroup10179	GO:0003847
isogroup1018	GO:0003779;GO:0005737;GO:0007010
isogroup10180	GO:0016874;GO:0004658
isogroup10182	GO:0004653
isogroup10184	GO:0004867;GO:0002226;GO:0042381
isogroup10185	GO:0005215;GO:0006810;GO:0016021
isogroup10186	GO:0003677;GO:0005634
isogroup10187	GO:0003676;GO:0005622;GO:0008408
isogroup10191	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004675;GO:0004676;GO:0004677;GO:0004679;GO:0004680;GO:0004681;GO:0004683;GO:0004686;GO:0004688;GO:0004689;GO:0004690;GO:0004692;GO:0004693;GO:0004694;GO:0004695;GO:0004696;GO:0004697;GO:0004698;GO:0004700;GO:0004701;GO:0004702;GO:0004703;GO:0004704;GO:0004705;GO:0004706;GO:0004707;GO:0004708;GO:0004709;GO:0004710;GO:0004711;GO:0004712;GO:0004714;GO:0004715;GO:0004716;GO:0004718;GO:0008338;GO:0008339;GO:0008349;GO:0008384;GO:0008443;GO:0008545;GO:0008607;GO:0008819;GO:0016307;GO:0016538;GO:0016773;GO:0016908;GO:0016909;GO:0018720;GO:0019199;GO:0019912;GO:0019914;GO:0035004;GO:0042556;GO:0042557
isogroup10192	GO:0003676;GO:0005634
isogroup10195	GO:0018024;GO:0040029;GO:0016570
isogroup102	GO:0005515;GO:0003774;GO:0005200;GO:0005884
isogroup10201	GO:0003840
isogroup10206	GO:0004672;GO:0005524;GO:0006468;GO:0006457;GO:0031072;GO:0051082;GO:0006950;GO:0033554;GO:0061077
isogroup10208	GO:0003950
isogroup10212	GO:0004221;GO:0007268;GO:0048167
